time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
0,-0.0863581111459568,-0.000396949483198743,-0.00121379829088717,-0.0834459597194721,-0.160547376937883,0.0566649382051091,-0.0794060044382107,-0.11306120558776,-1.97557270310484e-05,-0.06890162482447,-0.313562982961865,0.0897988911230148
0.005,-0.0870488426359611,-0.00315325701931555,-0.00129929136424538,-0.0856422682445155,-0.165088398623357,0.0571140150249194,-0.0774477307676309,-0.109803059740029,-6.1847807118375e-05,-0.068921107564996,-0.315002573884996,0.0904651427024938
0.01,-0.0877450855684419,-0.00584514831899164,-0.00138191830282283,-0.087841270189283,-0.16963918476677,0.0575679720503042,-0.0755609610991531,-0.106528322281001,-0.00010478861811636,-0.0689886546298516,-0.316469423164134,0.0911288081248145
0.015,-0.0884528218781951,-0.00844894826419648,-0.00146074388849089,-0.0900462334074053,-0.174201812405426,0.0580308702103211,-0.0737801398595344,-0.103250797109678,-0.000148475698559941,-0.0691222006078956,-0.317960095789231,0.0917814559603202
0.02,-0.0891784688538588,-0.0109438942132448,-0.00153491688804126,-0.0922620552968783,-0.178781506660422,0.0585072699317638,-0.0721377554763274,-0.0999833034068153,-0.000192794999513858,-0.0693390784847041,-0.319470994717815,0.0924149317954236
0.025,-0.0899286749296117,-0.0133128131220532,-0.00160369785358185,-0.0944950677507855,-0.18338634618665,0.059002102799682,-0.0706633832585891,-0.0967375703489856,-0.000237617300148872,-0.0696554278135621,-0.320998251369791,0.0930215482167899
0.03,-0.0907101178963571,-0.0155427140416319,-0.00166648576328472,-0.0967528091259481,-0.188026893193013,0.0595205319205908,-0.0693828102816432,-0.0935241754298703,-0.000282794698715846,-0.0700856272476688,-0.32253759916808,0.0935942511812849
0.035,-0.0915293134226232,-0.017625274732989,-0.0017228426840739,-0.099043772342927,-0.192715763386138,0.060067805538541,-0.0683172733641395,-0.0903525245926937,-0.000328157390219195,-0.0706417720756843,-0.324084236302381,0.0941267572190334
0.04,-0.0923924407629977,-0.019557204305708,-0.00177251562545551,-0.101377138072066,-0.197467151885103,0.0606491084051251,-0.0674828365149781,-0.0872308705886472,-0.000373510937895555,-0.0713332157158725,-0.325632685533579,0.0946136576689649
0.045,-0.0933051911818577,-0.0213404674966863,-0.00181545476738062,-0.103762501415164,-0.202296331190108,0.0612694152225875,-0.0668899286066634,-0.0841663643683852,-0.000418634232607466,-0.07216619175771,-0.32717666014868,0.0950504880291909
0.05,-0.094272643025853,-0.0229823602827029,-0.00185182728810555,-0.106209599646848,-0.207219136750993,0.0619333501959257,-0.0665430558284449,-0.0811651329855428,-0.000463278312896143,-0.0731435302163091,-0.328708945965916,0.0954337623791867
