time,hip_angle_l,hip_angle_l_velocity,hip_angle_l_velocity_filt,hip_angle_l_torque_estimated,hip_angle_l_torque_desired,hip_angle_l_torque_measured,hip_angle_l_torque_interaction,knee_angle_l,knee_angle_l_velocity,knee_angle_l_velocity_filt,knee_angle_l_torque_estimated,knee_angle_l_torque_desired,knee_angle_l_torque_measured,knee_angle_l_torque_interaction,thigh_imu_l_accel_x,thigh_imu_l_accel_y,thigh_imu_l_accel_z,thigh_imu_l_gyro_x,thigh_imu_l_gyro_y,thigh_imu_l_gyro_z,shank_imu_l_accel_x,shank_imu_l_accel_y,shank_imu_l_accel_z,shank_imu_l_gyro_x,shank_imu_l_gyro_y,shank_imu_l_gyro_z,foot_imu_l_accel_x,foot_imu_l_accel_y,foot_imu_l_accel_z,foot_imu_l_gyro_x,foot_imu_l_gyro_y,foot_imu_l_gyro_z,insole_l_force_y,insole_l_cop_x,insole_l_cop_z,hip_angle_r,hip_angle_r_velocity,hip_angle_r_velocity_filt,hip_angle_r_torque_estimated,hip_angle_r_torque_desired,hip_angle_r_torque_measured,hip_angle_r_torque_interaction,knee_angle_r,knee_angle_r_velocity,knee_angle_r_velocity_filt,knee_angle_r_torque_estimated,knee_angle_r_torque_desired,knee_angle_r_torque_measured,knee_angle_r_torque_interaction,thigh_imu_r_accel_x,thigh_imu_r_accel_y,thigh_imu_r_accel_z,thigh_imu_r_gyro_x,thigh_imu_r_gyro_y,thigh_imu_r_gyro_z,shank_imu_r_accel_x,shank_imu_r_accel_y,shank_imu_r_accel_z,shank_imu_r_gyro_x,shank_imu_r_gyro_y,shank_imu_r_gyro_z,foot_imu_r_accel_x,foot_imu_r_accel_y,foot_imu_r_accel_z,foot_imu_r_gyro_x,foot_imu_r_gyro_y,foot_imu_r_gyro_z,insole_r_force_y,insole_r_cop_x,insole_r_cop_z
0,-19.7526899175336,-23.6689709989698,-32.2289654953135,0.10413779951124,1.31992658976168,-0.0769302978886256,-0.0777553068977688,-26.2831937971275,-32.098906722513,-47.7145374532038,0.0567738390671596,0.175434678329222,-0.191216012812961,-0.190763409795591,3.31283663415604,8.77293516122611,-0.807327577627393,-8.59530918259022,-10.2050469474915,40.7410036761815,-3.41188420581212,8.76713052348726,-3.07171999402867,-6.98500377201777,-29.9535863656916,-34.057334362959,-2.19383788108826,9.39326667785645,-0.634680211544037,-0.21000000834465,-1.75,-6.30000019073486,281,-0.232076466083527,-0.013281992636621,2.10551804225465,-7.71126612942595,-7.51090179379217,-0.0636331126041806,-0.926966083121976,-0.0241830426974186,-0.0240689893545697,-0.941285860521398,-4.12145221794905,-6.29286107357701,-0.0877019617535596,-0.966286155354384,-0.0154207062505694,-0.0161689613987648,-1.81026273885352,9.62250821058917,-0.775213475318463,-8.93841873820478,-10.0815901573681,11.5600051849886,-1.84745894705415,9.48504926353504,2.04221262937897,-6.48144093536211,-5.3030825494417,-2.3262482061414,-2.13635754585266,9.58965873718262,0.112565919756889,0.699999988079071,3.28999996185303,5.03999996185303,573,-0.101569406688213,0.0498276017606258
0.005,-19.9351677206159,-21.048285022378,-30.5102054126465,0.108362890742955,1.22996420851822,-0.0792239038273692,-0.0843948631235764,-26.562612015605,-29.2910289615393,-44.9456058182813,0.0577871699793506,0.205283501742788,-0.193509618751705,-0.196701857244751,3.41980468749999,8.9112109375,-0.752539062499995,-9.45852623456789,-11.612606095679,36.9016203703704,-3.21621093750002,8.6497265625,-2.82386718750001,-7.12350501543211,-25.0126350308642,-33.6418306327161,-2.19383788108826,9.39326667785645,-0.634680211544037,-0.21000000834465,-1.75,-6.30000019073486,281,-0.232076466083527,-0.013281992636621,2.04849375989288,-7.14969052746892,-7.26293026487117,-0.061597930813089,-0.938619504608607,-0.0264766486361623,-0.0270221367928382,-0.981202677786349,-2.8111091441242,-5.63974177975592,-0.087039787111398,-0.952372881572222,-0.0268887367947173,-0.0289334469050905,-1.89375000000001,9.6251171875,-0.843046875000004,-9.96590470679014,-11.4891493055556,11.0124421296296,-1.83441406250001,9.500703125,1.95089843749998,-6.46855709876544,-6.47873263888889,-2.03636188271606,-2.13635754585266,9.58965873718262,0.112565919756889,0.699999988079071,3.28999996185303,5.03999996185303,573,-0.101569406688213,0.0498276017606258
0.01,-20.1176368226775,-18.4277240069714,-28.791527284971,0.112587780511232,1.1400061169172,-0.0815174004009622,-0.0943028672623713,-26.8420169106885,-26.4832850875463,-42.1768062132862,0.0588004525732643,0.235130901886117,-0.195803115325298,-0.203417914606702,3.52676764032643,9.04948012042198,-0.697753159832788,-10.3217021260911,-13.0200981277522,33.0624201364315,-3.02054699940289,8.53232819964173,-2.57602619924364,-7.26199965474366,-20.0719192935637,-33.2263467147814,-2.19383788108826,9.39326667785645,-0.634680211544037,-0.21000000834465,-1.75,-6.30000019073486,281,-0.232076466083527,-0.013281992636621,1.99147219659855,-6.58814170291042,-7.01497055988346,-0.0595628460648065,-0.950272370429518,-0.0287701452097553,-0.0294958335666623,-1.02111759171269,-1.50082855089605,-4.98665362837684,-0.0863776440434611,-0.938460271211469,-0.0383562205130715,-0.0426774397723077,-1.97723328025479,9.62772604000796,-0.910877040207023,-10.9933416821479,-12.8966413376288,10.4649051835142,-1.8213697999602,9.51635624004776,1.85958859972132,-6.4556738765039,-7.65432667025437,-1.74648938183141,-2.13635754585266,9.58965873718262,0.112565919756889,0.699999988079071,3.28999996185303,5.03999996185303,573,-0.101569406688213,0.0498276017606258
0.015,-20.2766827774048,-16.1435585021973,-27.0576534473119,0.117033088063314,1.05453725950258,-0.0835164859890938,-0.102620394888857,-27.085555229187,-24.0359649658203,-39.4030157489688,0.0602661919320542,0.264522832550006,-0.197802200913429,-0.206418356681,3.6196887712648,9.17746948964499,-0.646265255177492,-11.1320932580448,-14.3060854632369,29.4920415399682,-2.83755085059174,8.43000000000001,-2.3550203402367,-7.39923806865916,-15.5967538089433,-32.6943665420228,-2.19525414374629,9.39334123674229,-0.635127449844903,-0.236143220358283,-1.75435720184768,-6.24880306438692,280.875508505917,-0.232408740266347,-0.0134464920799565,1.941770362854,-6.09867763519287,-6.78882952966068,-0.0576154552077619,-0.96119391874143,-0.0307692307978868,-0.0303843765194245,-1.05590871810913,-0.358745723962784,-4.33841190581856,-0.0859438294224013,-0.924797003935572,-0.0483516491949558,-0.054588851384975,-2.04844385632398,9.63497965976331,-0.977158260909789,-11.9238540924739,-14.3447750018263,9.94615715629337,-1.80906631379438,9.53964809079139,1.77719894138311,-6.48056234704874,-8.86037032471325,-1.43619220952954,-2.14515325346047,9.5728872619437,0.115472975669025,0.698910688544684,3.27148185121777,4.99751723920045,573.715826090976,-0.101336668951908,0.0504040066947139
0.02,-20.2766827774048,-16.1435585021973,-25.2212810916605,0.12297285211841,0.999571254130514,-0.0835164859890938,-0.108428487755035,-27.085555229187,-24.0359649658203,-36.5963793406903,0.0648024814081171,0.290812305529029,-0.197802200913429,-0.2063019440178,3.6172651627219,9.23563609467458,-0.617181952662698,-11.5839017641902,-14.766870297319,27.7476418109431,-2.74060650887575,8.43000000000001,-2.3162426035503,-7.52789876908468,-14.2832178208781,-31.3718542260209,-2.20628290134069,9.39392184364725,-0.638610195633046,-0.439726324382751,-1.78828771798127,-5.85011946370263,279.906065088757,-0.234996234469072,-0.0147274864454183,1.941770362854,-6.09867763519287,-6.71086885482533,-0.0562640183161066,-0.967147522643657,-0.0307692307978868,-0.0289837912006184,-1.05590871810913,-0.358745723962784,-3.72330650488601,-0.0870599774805424,-0.912831250776042,-0.0483516491949558,-0.0563879946613443,-2.03632581360948,9.67375739644971,-1.03290125739647,-12.1961360398861,-16.0682299656659,9.62300935057345,-1.80179548816567,9.61477995562127,1.75538646449702,-6.76182062239756,-10.2726459200818,-0.987375812696322,-2.21364741768005,9.44228399152586,0.138110877463826,0.690428066734203,3.12727713598126,4.66669467078334,579.290125739645,-0.0995242875675566,0.0548926022657353
0.025,-20.2766827774048,-16.1435585021973,-23.3848211687804,0.128912899410551,0.944602627710081,-0.0835164859890938,-0.113587692595735,-27.085555229187,-24.0359649658203,-33.7896090982405,0.0693389871966818,0.317103032118895,-0.197802200913429,-0.205065989760106,3.61484143860948,9.2938054733728,-0.588097263313584,-12.0357318147783,-15.227677103879,26.0031589003945,-2.6436575443787,8.43000000000001,-2.27746301775148,-7.6565656046826,-12.969619196983,-30.0492788461538,-2.21731218484026,9.39450247823839,-0.642093107495567,-0.643319136246807,-1.82221985208807,-5.45141685183143,278.936575443787,-0.237583852056193,-0.0160085418949661,1.941770362854,-6.09867763519287,-6.63290446244313,-0.0549125169813208,-0.973101410442879,-0.0307692307978868,-0.0273229578721698,-1.05590871810913,-0.358745723962784,-3.10817177271503,-0.0881761787620899,-0.90086492703079,-0.0483516491949558,-0.0580137735012003,-2.02420719304734,9.71253698224853,-1.08864691198226,-12.4684309710352,-17.7917671122799,9.29984613558332,-1.79452431582839,9.68991540310648,1.73357294748519,-7.04309230951861,-11.6849888596683,-0.538538014098909,-2.28214484803687,9.31167449330437,0.160749858744668,0.681945040430763,2.98306554435758,4.33585632712575,584.864691198225,-0.0977118197599834,0.0593814118749795
0.03,-20.2766827774048,-16.1435585021973,-21.548448813129,0.134852663465647,0.889636622338019,-0.0835164859890938,-0.11797635519048,-27.085555229187,-24.0359649658203,-30.9829726899621,0.0738752766727446,0.343392505097918,-0.197802200913429,-0.202743634858052,3.61241783006658,9.35197207840239,-0.55901396079879,-12.4875403209237,-15.6884619379611,24.2587591713694,-2.54671320266272,8.43000000000001,-2.23868528106508,-7.78522630510811,-11.6560832089177,-28.7267665301519,-2.22834094243466,9.39508308514336,-0.64557585328371,-0.846902240271275,-1.85615036822167,-5.05273325114715,277.967132026627,-0.240171346258918,-0.0172895362604279,1.941770362854,-6.09867763519287,-6.55494378760778,-0.0535610800896656,-0.979055014345106,-0.0307692307978868,-0.0254359857634474,-1.05590871810913,-0.358745723962784,-2.49306637178248,-0.0892923268202309,-0.88889917387126,-0.0483516491949558,-0.0594117368068199,-2.01208915033284,9.75131471893492,-1.14438990846893,-12.7407129184473,-19.5152220761195,8.9766983298634,-1.78725349019968,9.76504726793637,1.7117604705991,-7.32435058486744,-13.0972644550369,-0.0897216172656861,-2.35063901225645,9.18107122288653,0.183387760539469,0.673462418620282,2.83886082912106,4.00503375870865,590.438990846893,-0.0958994383756319,0.063870007446001
0.035,-20.2770347651135,-16.1375501043347,-19.7126886696485,0.140793365881391,0.834793310334936,-0.0835164859890938,-0.121493316334448,-27.0860620920774,-24.0281078304847,-28.1781098764483,0.0784116390409839,0.369689470230701,-0.197734244819867,-0.199334468988922,3.60994846662963,9.41010950841209,-0.52985184156012,-12.9416276361577,-16.1495319145751,22.5105181218201,-2.44960061637952,8.43037361693529,-2.20011595008335,-7.9133814298982,-10.341440233578,-27.4003692850634,-2.23926780785232,9.39554659827497,-0.649028696277507,-1.0492559393094,-1.88927851850645,-4.65398564639463,277.018036679634,-0.242757696444752,-0.0185694107410808,1.94160140855722,-6.09821545067102,-6.47686830880097,-0.0522082549147598,-0.984991610132785,-0.0307748938064836,-0.0233658479499219,-1.05593687756814,-0.359207908388643,-1.87845777783565,-0.0904081650294531,-0.876943826164984,-0.0483403231789622,-0.0605196787206562,-1.99994202495832,9.79001288334262,-1.20010306674076,-13.0114708841447,-21.2380511753438,8.65385177949806,-1.7799162582731,9.84001932501387,1.69005153337038,-7.60632999071254,-14.5111273595292,0.358597284362286,-2.41876159248577,9.0509505926831,0.205811237569334,0.664819654641364,2.69450392456514,3.67466176466529,595.998067498611,-0.094097394334622,0.0683444470167348
0.04,-20.4217707306072,-13.6669204656071,-18.1640628588928,0.14700251419311,0.831356101947755,-0.0835164859890938,-0.124060929375744,-27.2944821248922,-20.7972845927838,-26.1558007665756,0.0828889546416554,0.398544207592668,-0.16979096564154,-0.167131439859902,3.58875814681959,9.4551389380084,-0.468929672106283,-14.3216145126753,-16.7185312428075,19.220786373534,-2.28537563785175,8.58400343555803,-2.24779416965593,-7.83162865285333,-8.59847102698109,-24.5063209776745,-2.20818265180159,9.34796732032015,-0.640147241163608,-0.743320708577291,-1.59261403990293,-4.2368011493521,284.434648613146,-0.244824040208146,-0.019364795328212,1.87212806428562,-5.90816698777563,-6.35322933179584,-0.0503124601573027,-0.983834806700205,-0.0331035007335946,-0.0234692842232266,-1.06751593668561,-0.54925633181399,-1.47969835138576,-0.0913750191712091,-0.86949137718905,-0.0436831098181157,-0.056657135316092,-1.97610291517204,9.79531046329512,-1.24248370636083,-12.6517586651472,-22.6703598291702,8.46091522567213,-1.7454819885818,9.84796569494264,1.71124185318041,-8.17859943002672,-16.5484065634877,0.594045282251558,-2.33311885427587,9.12136793416055,0.139834636476596,0.590653527096476,2.49054710144573,3.53560032880319,595.203430505734,-0.096571224883597,0.0669241391053832
0.045,-20.5665135978206,-11.1961730151566,-16.6153632020729,0.153211958587434,0.827918729657642,-0.0835164859890938,-0.125627427810327,-27.502912096195,-17.5663072936057,-24.1333952230988,0.0873664837426655,0.427400320889848,-0.141846353990789,-0.134138957954342,3.5675668165513,9.50017051482848,-0.408004597584998,-15.7016671937267,-17.2875577037149,15.9308977547244,-2.12114282827261,8.73764058000303,-2.29547466275955,-7.7498719774356,-6.855418707075,-21.6121346678867,-2.17709601345837,9.30038577355232,-0.631265362538426,-0.43737088935485,-1.29593541488395,-3.8195967589093,291.851614207043,-0.246890482504932,-0.0201602178431762,1.80265140718468,-5.71810946243863,-6.22958445907867,-0.0484165749990655,-0.982677948105572,-0.0354322187000899,-0.0234641276434191,-1.07909554794933,-0.73931381767906,-1.08091991013322,-0.0923419194173064,-0.862038572843846,-0.0390256743785243,-0.0524301353932112,-1.95226266862023,9.80060829586218,-1.28486636689739,-12.2920292933092,-24.1027367824889,8.26796947168628,-1.71104607689585,9.85591244379325,1.73243318344868,-8.75089615795084,-18.5857829148976,0.829504507454639,-2.24747203220071,9.19178863348176,0.0738548892963532,0.516483862947347,2.28658055266598,3.39653226181067,594.408755620674,-0.0990451733969298,0.0655037634667934
