time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
0,-0.162697430381971,-0.240440041032467,0.00254246692011037,-0.082470520309981,-0.1807928684826,0.0898917133967956,-0.0126284994267406,-0.000348320325025396,0.00134635569630645,-0.0790029338681809,-0.110751751740869,0.0247128693951647
0.005,-0.160750490805596,-0.237827325579676,0.00261883784051526,-0.0786463716839533,-0.186377444675191,0.0910929799669539,-0.0125780697183163,-0.00282869306257609,0.00120440392207452,-0.0775794800561967,-0.110043557519995,0.0245970391768533
0.01,-0.158748454694899,-0.235220326592357,0.00269530937492631,-0.0747998908617268,-0.191982664186899,0.0922959610569873,-0.0125142232979698,-0.00531280441080275,0.0010619333992353,-0.0761546346503326,-0.109344913282722,0.0244844786096534
0.015,-0.156703700676496,-0.232652357789012,0.0027727440814794,-0.070957015145906,-0.197586992214362,0.0934946771505218,-0.0124415193515971,-0.00776900934257123,0.000920182965078507,-0.0747457136561885,-0.10867314129522,0.0243800075249187
0.02,-0.154628652609627,-0.230155936404558,0.00285216023571316,-0.067142941491331,-0.203170439014284,0.0946836186017681,-0.0123644399784365,-0.010167717991601,0.000780236261318087,-0.0733692271023649,-0.108045009982979,0.0242882169965012
0.025,-0.152535627737358,-0.227761988864523,0.00293470704246341,-0.063381732073115,-0.208714678403739,0.0958578245808969,-0.0122872687961017,-0.0124822703234287,0.00064299119983399,-0.0720404635035838,-0.107476233973324,0.0242133178494051
0.03,-0.15043673710713,-0.225499116240779,0.00302163424543241,-0.0596959693576108,-0.214203112077366,0.0970129432300261,-0.0122139826241713,-0.0146896590274236,0.000509140514872653,-0.0707731298348876,-0.106981028397565,0.0241590085916631
0.035,-0.148343837926915,-0.223392940781067,0.00311425683372182,-0.0561064651507421,-0.219620885273741,0.0981452723458496,-0.0121481589785123,-0.0167710727294721,0.000379164488109332,-0.069579058550875,-0.10657173400036,0.0241283679922322
0.04,-0.146268531737353,-0.221465549806487,0.00321391571215864,-0.0526320244851201,-0.224954861078495,0.0992517807851599,-0.0120929016841395,-0.0187122433941944,0.000253336175618099,-0.0684679894530256,-0.106258524722811,0.0241237759586725
0.045,-0.144222196948602,-0.21973504786063,0.00332193535198139,-0.0492892617933392,-0.23019356190427,0.100330111613048,-0.0120507863236171,-0.0205035936906543,0.000131738700060935,-0.0674474302078242,-0.106049204163654,0.0241468647178302
0.05,-0.142216039942945,-0.218215222609687,0.00343957956795444,-0.0460924638708227,-0.235327087344764,0.101378568724027,-0.0120238264165834,-0.0221401911806163,1.42934534112001e-05,-0.0665225953042239,-0.105949092138439,0.0241985006944758
