hip_angle_l,hip_flexion_l_moment
-32.27021149,0.065736688
-32.68236685,0.059985929
-33.09968084,0.055914459
-33.70645821,0.051808352
-34.31320664,0.049443367
-34.919984,0.048734958
-35.43616274,0.049658253
-35.82952127,0.052055907
-36.22286104,0.055515782
-36.61621958,0.059741653
-36.97042435,0.064695405
-37.31562025,0.069786752
-37.66079969,0.074565705
-37.94933153,0.078813202
-38.0159591,0.082640407
-38.08258985,0.085005761
-38.14921742,0.0855625
-38.15814475,0.084386855
-38.12779231,0.081093038
-38.09744132,0.075212065
-38.06708889,0.066601799
-38.02473542,0.054350483
-37.98231258,0.039293734
-37.93989177,0.021512533
-37.8702539,0.000839239
-37.75765892,-0.022688495
-37.64505857,-0.048280002
-37.53246359,-0.075590136
-37.38819361,-0.104179941
-37.23033255,-0.133647881
-37.07246397,-0.163563813
-36.90978486,-0.193509508
-36.70363904,-0.223349474
-36.49750304,-0.252302382
-36.29135722,-0.279977485
-36.05528877,-0.305590648
-35.78864923,-0.328853471
-35.5220224,-0.350010683
-35.25538286,-0.368931859
-34.99923664,-0.385816325
-34.7444003,-0.400481016
-34.48957612,-0.413008254
-34.22795003,-0.423410068
-33.9493416,-0.431675895
-33.67074647,-0.438551447
-33.39213805,-0.444382791
-33.0273394,-0.449103583
-32.62136307,-0.453318035
-32.21540611,-0.457599753
-31.81279191,-0.462218421
-31.45512742,-0.466644289
-31.09744588,-0.471995168
-30.73978139,-0.478429906
-30.50305111,-0.486440712
-30.40593813,-0.496083052
-30.30882052,-0.506781726
-30.21170754,-0.518357475
-30.21414457,-0.531111728
-30.23235835,-0.544257724
-30.250573,-0.557340921
-30.26878139,-0.569664107
-30.28697556,-0.580279838
-30.30516886,-0.589642934
-30.32336302,-0.59739574
-30.38954876,-0.603602791
-30.48055089,-0.607849504
-30.57154869,-0.609789999
-30.65906759,-0.609390101
-30.68831957,-0.607191642
-30.71757015,-0.602755746
-30.74682213,-0.596274753
-30.7181032,-0.588308236
-30.56641508,-0.579505561
-30.4147342,-0.569586392
-30.26304608,-0.558920669
-29.98512254,-0.54679123
-29.65761022,-0.534209451
-29.33011351,-0.52192
-29.02476749,-0.510392028
-28.8913625,-0.501180679
-28.75795114,-0.49289688
-28.62454615,-0.485624592
-28.44947241,-0.47949578
-28.23435194,-0.474460856
-28.01922121,-0.470307939
-27.80410074,-0.466886543
-27.43971924,-0.464845976
-27.04946795,-0.463276208
-26.65919804,-0.461798371
-26.21628814,-0.459581666
-25.48798444,-0.453777224
-24.75971546,-0.447371811
-24.03141175,-0.440167375
-23.4411559,-0.432165588
-22.99208467,-0.423233539
-22.54299203,-0.413094314
-22.0939208,-0.401682203
-21.67219232,-0.392270768
-21.25376912,-0.381953358
-20.83532597,-0.370363612
-20.42376258,-0.356933107
-20.02909073,-0.340823367
-19.6344377,-0.323659754
-19.23976585,-0.30554107
-18.77044941,-0.287363879
-18.26737735,-0.268799684
-17.76432927,-0.249595165
-17.24820245,-0.229956115
-16.58717891,-0.211033063
-15.92612385,-0.191762664
-15.26510031,-0.17223583
-14.56911328,-0.151617124
-13.83510395,-0.129915249
-13.10105962,-0.108234394
-12.3670503,-0.086677115
-11.64960334,-0.065870617
-10.93454862,-0.045495777
-10.21945981,-0.025614904
-9.510681235,-0.006873769
-8.819097981,0.009712042
-8.127481749,0.025325982
-7.435898496,0.039792424
-6.744593687,0.054110493
-6.053477993,0.067520507
-5.362329342,0.079270221
-4.6723507,0.089117066
-3.999904991,0.095516866
-3.327491347,0.099910977
-2.655045638,0.102256756
-2.004060066,0.102888741
-1.378938446,0.101934691
-0.753846633,0.099114774
-0.128725013,0.094606366
0.439792572,0.088408029
0.998463635,0.081013723
1.55710806,0.072815842
2.120193025,0.06416304
2.696351913,0.055395153
3.272538275,0.047121074
3.848697163,0.039819189
4.283470554,0.034276863
4.641476477,0.030818165
4.999499472,0.029711664
5.343432478,0.031280238
5.396818669,0.034489046
5.450207405,0.041044451
5.503593595,0.05113329
5.535481126,0.065288793
5.529412969,0.083849455
5.523344522,0.105957763
5.517276364,0.131427706
5.502007096,0.160300358
5.483826546,0.191989682
5.465645129,0.22594707
5.448412338,0.261657217
5.436424879,0.298552375
5.424437991,0.336002967
5.412450531,0.373358098
5.406533966,0.410079933
5.406533966,0.445499405
5.406533966,0.478841989
5.406533966,0.509489398
5.406533966,0.536867396
5.406533966,0.560465909
5.406533966,0.57984616
