motorPos,motorVel,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
180,-0.0218566,-9.56475,-1.54017,0.6867,-0.56,-0.56,-0.63,0
180,-2.4698,-9.56475,-1.51074,0.69651,-0.56,-0.63,-0.63,0
180,-4.91785,-9.55494,-1.48131,0.69651,-0.14,-0.35,-0.77,0
180,4.87414,-9.53532,-1.46169,0.6867,0.14,-0.35,-0.84,0
180,-0.0218566,-9.52551,-1.45188,0.6867,0.56,-0.35,-1.4,0
180,-0.0218566,-9.52551,-1.46169,0.6867,1.47,-0.14,-1.61,0
180,4.87414,-9.53532,-1.50093,0.67689,1.54,-0.21,-1.68,0
180,2.42609,-9.56475,-1.60884,0.66708,1.61,-0.14,-1.75,0
180,-1.24583,-9.57456,-1.67751,0.65727,1.75,-0.21,-1.54,0
180,-3.69388,-9.57456,-1.71675,0.63765,1.12,-0.21,-1.19,0
180,1.20211,-9.53532,-1.71675,0.62784,1.33,-0.14,-1.05,0
180,-1.24583,-9.53532,-1.73637,0.59841,1.26,-0.21,-1.05,0
180,-3.69388,-9.53532,-1.74618,0.5886,0.56,-0.35,-0.98,0
180,-1.24583,-9.53532,-1.74618,0.59841,0.14,-0.42,-0.98,0
180,-2.4698,-9.53532,-1.72656,0.61803,0,-0.49,-0.91,0
180,-1.24583,-9.5157,-1.67751,0.65727,-0.35,-0.56,-0.84,0
180.167,2.42609,-9.52551,-1.62846,0.69651,-0.42,-0.49,-0.91,0
180.167,-1.24583,-9.52551,-1.58922,0.73575,-0.42,-0.49,-0.91,0
180.167,-1.24583,-9.52551,-1.54017,0.73575,-0.49,-0.42,-1.26,0Filtered
180.167,1.20211,-9.53532,-1.51074,0.74556,0,-0.21,-1.54,0
180.167,1.20211,-9.53532,-1.48131,0.74556,0.14,-0.21,-1.68,0
180.167,3.65017,-9.52551,-1.48131,0.74556,0.7,-0.28,-1.96,0
180.167,6.09811,-9.52551,-1.52055,0.72594,1.12,-0.28,-2.17,0
180.167,7.32208,-9.52551,-1.58922,0.72594,1.54,-0.35,-2.38,0
180.334,3.65017,-9.59418,-1.74618,0.74556,1.61,-0.42,-2.31,0
180.334,-3.69388,-9.68247,-1.85409,0.74556,1.54,-0.28,-1.61,0
180.334,1.20211,-9.59418,-1.73637,0.72594,1.33,0.07,-0.56,0
180.334,-0.0218566,-9.46665,-1.59903,0.73575,1.19,0.28,-0.35,0
180.334,1.20211,-9.47646,-1.59903,0.71613,1.33,0.42,-0.77,0
180.334,-0.0218566,-9.5157,-1.64808,0.69651,1.61,0.56,-1.19,0
180.334,-2.4698,-9.55494,-1.71675,0.6867,1.75,0.7,-1.26,0
180.334,-2.4698,-9.56475,-1.72656,0.6867,1.68,0.49,-0.98,0
180.334,1.20211,-9.56475,-1.70694,0.70632,1.89,0.35,-0.49,0
180.334,-0.0218566,-9.54513,-1.68732,0.6867,2.31,0.42,-0.49,0
180.334,1.20211,-9.53532,-1.75599,0.59841,2.45,0.42,-0.42,0
180.334,-4.91785,-9.52551,-1.80504,0.5886,2.17,0.42,-0.35,0
180.334,3.65017,-9.52551,-1.87371,0.59841,1.61,0.35,-0.14,0
180.334,-0.0218566,-9.53532,-1.91295,0.61803,1.05,0.21,0.07,0
180.334,-1.24583,-9.52551,-1.90314,0.61803,0.35,0.14,0.35,0
180.334,2.42609,-9.50589,-1.88352,0.59841,-0.28,0,0.49,0
180.334,-2.4698,-9.50589,-1.85409,0.57879,-0.42,-0.07,0.42,0
180.334,2.42609,-9.50589,-1.80504,0.56898,-0.98,-0.14,0.28,0
180.334,2.42609,-9.53532,-1.7658,0.56898,-1.12,-0.21,0.21,0
180.334,-1.24583,-9.55494,-1.71675,0.56898,-0.77,-0.21,0.21,0
180.334,-1.24583,-9.56475,-1.67751,0.56898,-0.56,-0.14,0.35,0
180.334,-1.24583,-9.57456,-1.64808,0.57879,-0.63,-0.21,0.42,0
180.334,4.87414,-9.57456,-1.61865,0.5886,-0.84,-0.49,0.7,0
180.334,-0.0218566,-9.56475,-1.58922,0.60822,-0.42,-0.56,0.7,0
180.334,-0.0218566,-9.54513,-1.58922,0.61803,-0.28,-0.63,0.7,0
180.334,2.42609,-9.53532,-1.58922,0.61803,-0.14,-0.63,0.63,0
180.334,3.65017,-9.53532,-1.60884,0.61803,0,-0.56,0.56,0
180.334,-3.69388,-9.56475,-1.65789,0.60822,0.21,-0.49,0.49,0
180.334,-4.91785,-9.54513,-1.69713,0.5886,0,-0.56,0.56,0
180.334,-1.24583,-9.53532,-1.72656,0.57879,-0.35,-0.63,0.63,0
180.334,1.20211,-9.53532,-1.73637,0.57879,-0.56,-0.84,0.77,0
180.167,-3.69388,-9.54513,-1.73637,0.5886,-1.05,-0.98,0.7,0
180.334,1.20211,-9.55494,-1.71675,0.56898,-0.98,-0.98,0.63,0
180.334,-1.24583,-9.56475,-1.6677,0.56898,-0.84,-0.98,0.7,0
180.334,6.09811,-9.56475,-1.62846,0.57879,-0.77,-1.05,0.63,0
180.334,2.42609,-9.56475,-1.58922,0.5886,-0.28,-1.05,0.56,0
180.334,-0.0218566,-9.57456,-1.5696,0.60822,0.07,-0.91,0.49,0
180.334,-0.0218566,-9.56475,-1.5696,0.65727,0.42,-0.84,0.42,0
180.334,1.20211,-9.55494,-1.54017,0.70632,0.28,-0.84,0.42,0
180.334,1.20211,-9.53532,-1.50093,0.73575,0.28,-0.91,0.35,0
180.334,-3.69388,-9.54513,-1.44207,0.76518,0.35,-0.98,0.21,0
180.334,1.20211,-9.54513,-1.39302,0.7848,0.14,-1.05,0.07,0
180.334,1.20211,-9.54513,-1.34397,0.80442,0.49,-0.98,-0.07,0
180.334,2.42609,-9.54513,-1.34397,0.79461,0.7,-0.91,-0.28,0
180.334,2.42609,-9.54513,-1.34397,0.7848,1.26,-0.77,-0.49,0
180.334,2.42609,-9.55494,-1.38321,0.75537,1.75,-0.49,-0.7,0
180.167,-1.24583,-9.54513,-1.42245,0.73575,2.03,-0.42,-0.77,0
180.334,-1.24583,-9.55494,-1.49112,0.71613,2.38,-0.35,-0.91,0
180.167,-4.91785,-9.57456,-1.5696,0.72594,2.24,-0.49,-0.91,0
180.167,-0.0218566,-9.55494,-1.60884,0.72594,1.54,-0.63,-0.77,0
180.334,1.20211,-9.53532,-1.64808,0.72594,1.54,-0.56,-0.77,0
180.167,-0.0218566,-9.53532,-1.69713,0.70632,1.19,-0.49,-0.7,0
180.167,3.65017,-9.52551,-1.71675,0.69651,0.91,-0.49,-0.63,0
180.167,-1.24583,-9.54513,-1.70694,0.6867,0.91,-0.35,-0.63,0
180.167,-0.0218566,-9.53532,-1.70694,0.71613,0.77,-0.35,-0.63,0
180.167,-2.4698,-9.53532,-1.72656,0.70632,0.7,-0.42,-0.63,0
180.167,-0.0218566,-9.53532,-1.70694,0.72594,0.42,-0.42,-0.56,0
180.167,1.20211,-9.5157,-1.71675,0.73575,-0.07,-0.49,-0.49,0
180.167,-0.0218566,-9.53532,-1.74618,0.75537,-0.28,-0.63,-0.49,0
180.167,2.42609,-9.53532,-1.75599,0.76518,0.14,-0.49,-0.35,0
180.167,3.65017,-9.5157,-1.75599,0.7848,-0.14,-0.42,-0.28,0
180.167,1.20211,-9.52551,-1.72656,0.77499,-0.14,-0.21,-0.21,0
180.167,-3.69388,-9.52551,-1.67751,0.77499,-0.35,-0.21,-0.14,0
180.167,2.42609,-9.52551,-1.62846,0.77499,-0.42,-0.07,-0.28,0
180.167,-0.0218566,-9.54513,-1.5696,0.79461,-0.21,-0.14,-0.28,0
180.167,-1.24583,-9.54513,-1.46169,0.7848,0.28,-0.21,-0.35,0
180.167,-2.4698,-9.55494,-1.45188,0.76518,1.19,-0.07,-0.49,0
180.167,-3.69388,-9.54513,-1.4715,0.73575,1.61,0.07,-0.56,0
180.167,-0.0218566,-9.54513,-1.51074,0.73575,2.17,0.14,-0.7,0
180.167,2.42609,-9.54513,-1.55979,0.73575,2.38,0.28,-0.77,0
180.167,3.65017,-9.54513,-1.61865,0.73575,2.66,0.35,-0.84,0
180.167,-4.91785,-9.54513,-1.67751,0.73575,2.38,0.35,-0.77,0
180.167,2.42609,-9.54513,-1.69713,0.72594,1.96,0.35,-0.63,0
180.167,-1.24583,-9.55494,-1.69713,0.72594,1.75,0.42,-0.42,0
180.167,1.20211,-9.55494,-1.67751,0.74556,1.33,0.35,-0.28,0
180.167,1.20211,-9.56475,-1.6677,0.74556,1.05,0.28,0,0
180.167,-3.69388,-9.58437,-1.6677,0.71613,1.26,0.35,0.35,0
180,-7.36579,-9.57456,-1.63827,0.73575,1.68,0.56,0.91,0
180,1.20211,-9.49608,-1.58922,0.6867,1.89,0.49,0.56,0
180,3.65017,-9.47646,-1.70694,0.59841,2.24,0.42,0,0
180,-2.4698,-9.5157,-1.82466,0.59841,1.54,0.21,-0.35,0
180,-3.69388,-9.54513,-1.90314,0.5886,0.98,-0.07,-0.35,0
180,-1.24583,-9.53532,-1.89333,0.59841,0.28,-0.21,-0.07,0
