motorPos,motorVel,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,moment,label
110.533,-51.2545,-4.3164,7.46541,-2.31516,-7.21,0.91,-41.79,-0.850394,0
111.034,-56.1505,-4.23792,7.0632,-2.06991,-7.28,-1.96,-45.36,-0.850394,0
111.535,-47.5826,-4.40469,7.17111,-2.16801,-6.65,2.38,-47.18,-0.850394,0
112.036,-46.3586,-4.44393,6.80814,-2.07972,-7.98,-2.17,-48.3,-0.850394,0
112.37,-47.5826,-4.79709,7.26921,-2.12877,-9.94,2.59,-47.39,-0.850394,0
112.871,-50.0306,-5.09139,7.64199,-2.17782,-10.99,-5.74,-48.86,-0.850394,0
113.372,-52.4785,-5.07177,7.5537,-2.04048,-10.92,-6.65,-50.75,-0.850394,0
113.873,-51.2545,-5.11101,7.61256,-2.09934,-10.15,-8.89,-53.55,-0.850394,0
114.374,-46.3586,-5.23854,7.56351,-2.28573,-10.43,-5.74,-53.83,-0.850394,0
114.875,-46.3586,-5.32683,7.43598,-2.30535,-11.13,-6.79,-52.5,-0.850394,0
115.376,-51.2545,-5.69961,8.11287,-2.54079,-11.97,-5.11,-52.64,-0.850394,0
115.877,-50.0306,-5.6898,7.96572,-2.51136,-12.32,-7.84,-55.16,-0.850394,0
116.378,-54.9266,-5.61132,7.74009,-2.50155,-11.41,-3.78,-55.79,-0.850394,0
116.879,-52.4785,-5.9841,8.0442,-2.75661,-10.99,-0.56,-55.16,-0.850394,0
117.379,-43.9106,-6.12144,7.78914,-2.62908,-11.76,-5.04,-55.51,-0.850394,0
117.88,-40.2824,-6.02334,7.40655,-2.13858,-11.76,-17.43,-54.46,-0.850394,0
118.214,-47.5826,-6.35688,8.10306,-2.12877,-10.22,-11.9,-51.03,-0.850394,0
118.715,-47.5826,-6.5727,8.48565,-2.03067,-7.28,-10.43,-52.15,-0.850394,0
119.216,-39.0583,-5.95467,7.57332,-2.04048,-5.04,-1.12,-50.54,-0.850394,0
119.55,-40.2824,-6.15087,7.71066,-2.52117,-6.23,-9.66,-48.79,-0.850394,0
119.884,-35.3864,-6.02334,7.40655,-2.54079,-9.17,-3.22,-47.32,-0.850394,0
120.218,-29.2665,-5.77809,7.15149,-2.44269,-9.52,-0.91,-45.43,-0.850394,0
120.385,-21.9662,-5.64075,7.0632,-2.51136,-9.59,-3.5,-43.61,-0.850394,0
120.719,-21.9662,-5.67999,7.08282,-2.57022,-11.06,-6.02,-42.28,-0.850394,0
120.886,-28.0425,-5.6898,7.08282,-2.56041,-11.97,-3.08,-41.65,-0.850394,0
121.221,-39.0583,-5.84676,7.41636,-2.67813,-12.6,-10.57,-43.47,-0.850394,0
121.721,-43.9106,-5.71923,7.05339,-2.52117,-12.46,-18.9,-51.73,-0.850394,0
122.055,-39.0583,-5.56227,6.51384,-2.1582,-12.88,-9.03,-53.34,-0.850394,0
122.556,-45.1346,-5.62113,5.886,-2.04048,-14.84,-7.98,-54.81,-0.850394,0
123.057,-51.2545,-5.52303,5.61132,-1.89333,-16.59,-18.48,-56.21,-0.850394,0
123.558,-57.3308,-5.58189,5.89581,-1.8639,-17.22,-9.87,-56.28,-0.850394,0
124.226,-62.2268,-5.91543,6.43536,-1.84428,-16.66,-10.08,-58.52,-0.850394,0
124.894,-73.1989,-5.93505,6.1803,-1.55979,-14.98,-14.35,-62.79,-0.850394,0
125.729,-81.7668,-6.14106,6.23916,-1.58922,-13.09,-22.19,-66.29,-0.850394,0
126.564,-85.4389,-6.12144,5.63094,-1.57941,-11.97,-20.37,-69.44,-0.850394,0
127.566,-95.187,-6.28821,5.56227,-1.64808,-12.25,-26.32,-74.83,-0.850394,0
128.568,-111.055,-6.33726,5.18949,-1.6677,-13.09,-24.01,-78.05,-0.850394,0
129.57,-113.503,-6.61194,5.02272,-1.2753,-13.09,-32.27,-82.11,-0.850394,0
130.906,-131.819,-6.9651,5.05215,-1.18701,-12.95,-23.31,-86.24,-0.850394,0
132.242,-145.239,-7.17111,4.85595,-0.92214,-12.11,-25.41,-91,-0.850394,0
133.744,-164.78,-7.54389,4.94424,-0.91233,-10.85,-36.05,-95.34,-0.850394,0
135.414,-170.856,-7.74009,4.76766,-0.7848,-10.22,-34.16,-99.26,-0.850394,0
137.251,-181.872,-7.76952,4.76766,-0.70632,-8.19,-36.47,-102.27,-0.850394,0
139.088,-189.172,-7.63218,4.59108,-0.77499,-5.95,-36.4,-105.07,-0.850394,0
140.925,-196.516,-7.38693,4.38507,-0.84366,-4.27,-37.87,-107.45,-0.850394,0
142.929,-205.04,-7.00434,4.18887,-0.6867,-2.73,-42.84,-112.21,-0.850394,0
145.099,-213.608,-6.63156,3.70818,-0.72594,-2.38,-41.37,-114.94,-0.850394,0
147.27,-217.28,-6.29802,3.48255,-0.8829,-3.36,-43.82,-118.86,-0.850394,0
149.441,-220.908,-6.1803,3.17844,-0.86328,-4.48,-49.77,-123.13,-0.850394,0
151.779,-238,-6.09201,2.78604,-0.89271,-4.9,-50.68,-126.98,-0.850394,0
154.117,-240.448,-5.91543,2.31516,-0.92214,-5.53,-51.17,-130.41,-0.850394,0
156.622,-241.672,-5.55246,1.90314,-1.05948,-7.7,-47.6,-133.07,-0.850394,0
158.96,-247.792,-4.88538,1.44207,-0.96138,-10.71,-55.3,-135.17,-0.850394,0
161.464,-242.896,-4.01229,0.80442,-1.11834,-14.56,-56.21,-135.87,-0.850394,0
163.969,-257.541,-2.93319,-0.21582,-0.79461,-16.1,-57.68,-131.53,-0.850394,0
166.307,-242.896,-1.83447,-1.09872,-0.33354,-15.12,-53.62,-127.33,-0.850394,0
168.812,-244.12,-5.2974,1.5696,-5.58189,-11.34,-58.52,-122.5,-0.850394,0
171.149,-224.58,-20.5618,13.0571,-5.9841,-28.14,-65.52,-106.26,-0.850394,0
172.986,-157.436,-58.0654,19.5906,4.32621,-70.63,-48.23,-74.62,-0.850394,0
173.988,-53.7025,-57.0452,14.8131,1.97181,-33.95,-10.99,-4.48,-0.850394,0
173.487,111.099,-18.6684,16.5593,-2.97243,27.86,-21.91,79.38,-0.850394,0
171.483,279.572,-1.78542,10.4771,-1.20663,91.07,-17.92,109.06,-0.850394,0
167.977,382.081,1.33416,-1.14777,-5.01291,115.85,12.39,116.97,-0.850394,0
163.468,474.886,1.44207,-8.40717,0.96138,62.93,14.42,145.53,-0.850394,0
158.626,494.426,-1.19682,-14.9701,10.5654,-50.89,19.25,169.19,-0.850394,0
153.95,441.926,-7.00434,-11.8112,8.23059,-70.63,32.55,157.29,-0.850394,0
150.109,311.309,-15.8824,-1.15758,3.61008,-58.1,41.51,126.07,-0.850394,0
148.105,139.163,-17.0694,10.3692,3.924,-50.54,24.99,66.78,-0.850394,0
147.771,-36.6104,-15.5587,17.1086,5.65056,-42.42,0.07,12.81,-0.850394,0
149.107,-175.752,-12.3998,15.9314,4.53222,-22.68,-21,-43.54,-0.850394,0
151.278,-247.792,-9.66285,9.06444,1.42245,5.6,-30.66,-93.24,-0.850394,0
153.95,-270.961,-7.57332,1.75599,0.50031,38.85,-35.7,-121.66,-0.850394,0
156.455,-261.212,-7.27902,-1.11834,-0.52974,55.37,-37.87,-125.23,-0.850394,0
158.96,-239.224,-8.4366,-2.01105,-0.82404,51.52,-34.3,-106.12,-0.850394,0
161.13,-189.172,-8.09325,-2.85471,-0.14715,6.86,-25.48,-97.02,-0.850394,0
162.633,-134.267,-9.80019,-1.12815,-0.10791,-16.59,-13.65,-82.46,-0.850394,0
163.635,-91.5151,-9.66285,0.55917,0.13734,-29.96,0,-62.86,-0.850394,0
164.47,-62.2268,-9.38817,2.78604,-0.11772,-32.97,1.82,-47.81,-0.850394,0
164.804,-28.0425,-9.03501,2.943,-0.34335,-27.72,-0.77,-39.62,-0.850394,0
164.971,-28.0425,-9.30969,4.33602,-1.01043,-25.48,-1.26,-29.33,-0.850394,0
165.305,-39.0583,-9.3195,5.25816,-1.02024,-26.39,-3.78,-27.86,-0.850394,0
165.806,-57.3308,-8.93691,4.1202,-0.18639,-24.08,-5.46,-33.18,-0.850394,0
166.307,-61.0028,-8.51508,3.70818,0.13734,-22.12,-1.61,-36.12,-0.850394,0
167.142,-74.4229,-8.09325,3.58065,0.1962,-19.11,-5.25,-44.45,-0.850394,0
167.81,-74.4229,-7.7499,2.23668,0.7848,-17.78,-11.62,-45.57,-0.850394,0
168.645,-68.3468,-7.91667,2.66832,0.86328,-19.74,-12.32,-42.07,-0.850394,0
