Config,Trial,Hip_RMSE,Knee_RMSE
configs.default_config,BT23/dynamic_walk_1_1,0.13966065645217896,0.09727825969457626
configs.default_config,BT23/jump_1_1,0.0949038490653038,0.10010069608688354
configs.default_config,BT24/incline_walk_1_1,0.12008363008499146,0.08807919174432755
configs.default_config,BT24/ball_toss_1_1,0.1309872418642044,0.15859737992286682
configs.sensor_selection.all_sensors_no_insole_config,BT23/dynamic_walk_1_1,0.1306132674217224,0.10549455881118774
configs.sensor_selection.all_sensors_no_insole_config,BT23/jump_1_1,0.10462212562561035,0.12058313190937042
configs.sensor_selection.all_sensors_no_insole_config,BT24/incline_walk_1_1,0.1108912006020546,0.11022765934467316
configs.sensor_selection.all_sensors_no_insole_config,BT24/ball_toss_1_1,0.17165419459342957,0.167669415473938
configs.sensor_selection.encoders_only_config,BT23/dynamic_walk_1_1,0.13979211449623108,0.13933809101581573
configs.sensor_selection.encoders_only_config,BT23/jump_1_1,0.13837186992168427,0.17994175851345062
configs.sensor_selection.encoders_only_config,BT24/incline_walk_1_1,0.16730189323425293,0.1468362808227539
configs.sensor_selection.encoders_only_config,BT24/ball_toss_1_1,0.20157495141029358,0.1930505782365799
configs.sensor_selection.imus_only_config,BT23/dynamic_walk_1_1,0.14180338382720947,0.12685847282409668
configs.sensor_selection.imus_only_config,BT23/jump_1_1,0.12555156648159027,0.14333730936050415
configs.sensor_selection.imus_only_config,BT24/incline_walk_1_1,0.15976497530937195,0.12323738634586334
configs.sensor_selection.imus_only_config,BT24/ball_toss_1_1,0.2034309059381485,0.1812286078929901
configs.sensor_selection.insole_only_config,BT23/dynamic_walk_1_1,0.16385239362716675,0.167804554104805
configs.sensor_selection.insole_only_config,BT23/jump_1_1,0.26255813241004944,0.2658807039260864
configs.sensor_selection.insole_only_config,BT24/incline_walk_1_1,0.24155941605567932,0.1826421320438385
configs.sensor_selection.insole_only_config,BT24/ball_toss_1_1,0.2851690351963043,0.3567138612270355
configs.sensor_selection.no_insole_or_footimu_config,BT23/dynamic_walk_1_1,0.119839608669281,0.12740471959114075
configs.sensor_selection.no_insole_or_footimu_config,BT23/jump_1_1,0.10191710293292999,0.1331825852394104
configs.sensor_selection.no_insole_or_footimu_config,BT24/incline_walk_1_1,0.10336694121360779,0.0943969264626503
configs.sensor_selection.no_insole_or_footimu_config,BT24/ball_toss_1_1,0.18303097784519196,0.15846621990203857
