timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758077931.70186,1758077930.91568,0.0,0.0,0.0,-27.38738,-24.57989,9.68299,9.95,-1.1,2.01,4.0
1758077931.70283,1758077930.92568,0.0,0.0,0.0,-25.26744,-14.03747,6.47442,9.8,-1.33,2.0,4.0
1758077931.71902,1758077930.93568,0.0,0.0,0.0,-22.63183,-5.09932,5.32851,10.18,-1.5,1.76,4.0
1758077931.7349,1758077930.94568,0.0,0.0,0.0,-20.74107,0.0,4.18259,10.18,-1.5,1.76,4.0
1758077931.73676,1758077930.95568,0.0,0.0,0.0,-17.6471,2.29183,3.95341,9.67,-1.76,1.85,4.0
1758077931.75089,1758077930.96568,0.0,0.0,0.0,-13.98017,-0.0573,3.38045,9.67,-1.76,1.85,4.0
1758077931.75301,1758077930.97568,0.0,0.0,0.0,-11.91752,0.22918,3.66693,9.73,-1.91,1.43,4.0
1758077931.77097,1758077930.98568,0.0,0.0,0.0,-9.33921,4.98473,4.69825,9.73,-1.91,1.43,4.0
1758077931.7746,1758077930.99568,0.0,0.0,0.0,-6.47442,12.43318,6.35983,10.88,-2.16,1.14,4.0
1758077931.79073,1758077931.00568,0.0,0.0,0.0,-2.7502,20.16812,8.42248,10.63,-2.27,1.49,4.0
1758077931.79279,1758077931.01568,0.0,0.0,0.0,-0.68755,21.25674,9.39651,10.63,-2.27,1.49,4.0
1758077931.81018,1758077931.02568,0.0,0.0,0.0,1.14592,20.05352,10.25595,9.64,-1.94,1.51,4.0
1758077931.82498,1758077931.03568,0.0,0.0,0.0,4.0107,17.6471,11.00079,9.64,-1.94,1.51,4.0
1758077931.82617,1758077931.04568,0.0,0.0,0.0,5.78687,11.74564,11.00079,9.21,-1.55,1.33,4.0
1758077931.84071,1758077931.05568,0.0,0.0,0.0,7.21927,7.44845,10.59972,9.21,-1.55,1.33,4.0
1758077931.84505,1758077931.06568,0.0,0.0,0.0,8.42248,4.29718,9.91217,9.04,-1.27,1.3,4.0
1758077931.86073,1758077931.07568,0.0,0.0,0.0,9.68299,0.57296,8.0787,9.04,-1.27,1.3,4.0
1758077931.86272,1758077931.08568,0.0,0.0,0.0,10.65701,1.14592,6.87549,9.05,-1.17,1.36,4.0
1758077931.88006,1758077931.09568,0.0,0.0,0.0,11.51645,4.87014,5.61499,9.36,-1.18,1.68,4.0
1758077931.89688,1758077931.10568,0.0,0.0,0.0,12.43318,8.59437,4.52637,9.36,-1.18,1.68,4.0
1758077931.89859,1758077931.11568,0.0,0.0,0.0,13.17803,9.74028,2.92208,9.21,-1.26,1.88,4.0
1758077931.91376,1758077931.12568,0.0,0.0,0.0,13.17803,8.30789,1.83346,9.21,-1.26,1.88,4.0
1758077931.91498,1758077931.13568,0.0,0.0,0.0,13.12073,6.53172,1.20321,8.95,-1.15,1.81,4.0
1758077931.93134,1758077931.14568,0.0,0.0,0.0,13.12073,4.87014,0.74485,8.95,-1.15,1.81,4.0
1758077931.93331,1758077931.15568,0.0,0.0,0.0,12.60507,3.95341,-0.22918,9.32,-1.08,1.68,4.0
1758077931.95215,1758077931.16568,0.0,0.0,0.0,12.08941,4.87014,-0.85944,9.96,-1.07,1.7,4.0
1758077931.95945,1758077931.17568,0.0,0.0,0.0,11.51645,6.18794,-1.60428,9.96,-1.07,1.7,4.0
1758077931.97495,1758077931.18568,0.0,0.0,0.0,10.94349,6.47442,-2.06265,10.12,-1.05,1.59,4.0
1758077931.97634,1758077931.19568,0.0,0.0,0.0,10.31324,6.07335,-2.6929,10.12,-1.05,1.59,4.0
1758077931.99098,1758077931.20568,0.0,0.0,0.0,10.02676,6.13065,-3.03668,9.94,-1.01,1.4,4.0
1758077931.99311,1758077931.21568,0.0,0.0,0.0,9.68299,7.50575,-3.32316,9.94,-1.01,1.4,4.0
1758077932.01094,1758077931.22568,0.0,0.0,0.0,9.39651,8.76626,-4.0107,10.02,-1.03,1.39,4.0
1758077932.01314,1758077931.23568,0.0,0.0,0.0,9.05273,10.65701,-5.21392,10.07,-1.05,1.54,4.0
1758077932.0291,1758077931.24568,0.0,0.0,0.0,8.88085,12.14671,-5.90147,10.07,-1.05,1.54,4.0
1758077932.04482,1758077931.25568,0.0,0.0,0.0,8.88085,12.83425,-7.16197,10.06,-1.1,1.61,4.0
1758077932.04604,1758077931.26568,0.0,0.0,0.0,8.93814,11.17268,-8.47978,10.06,-1.1,1.61,4.0
1758077932.06086,1758077931.27568,0.0,0.0,0.0,9.28192,8.93814,-8.93814,9.62,-1.13,1.47,4.0
