timeStamp,motor_angle_L_uint16,motor_angle_L_float,motor_angle_R_uint16,motor_angle_R_float,motor_vel_L_int16,motor_vel_L_float,motor_vel_R_int16,motor_vel_R_float,flag_num
1758077931.70218,34162.0,187.66032,33830.0,185.83658,3540.0,98.33334,3672.0,102.0,4.0
1758077931.71785,33989.0,186.71001,34020.0,186.88029,3357.0,93.25,3805.0,105.69444,4.0
1758077931.71961,33829.0,185.83109,34218.0,187.96796,2969.0,82.47222,3967.0,110.19444,4.0
1758077931.73521,33690.0,185.06754,34423.0,189.09406,2539.0,70.52778,4120.0,114.44444,4.0
1758077931.73688,33580.0,184.46326,34631.0,190.23666,1936.0,53.77778,4132.0,114.77778,4.0
1758077931.75197,33503.0,184.04028,34836.0,191.36278,1188.0,33.0,3973.0,110.36111,4.0
1758077931.76873,33462.0,183.81506,35031.0,192.43398,506.0,14.05556,3803.0,105.63889,4.0
1758077931.77126,33452.0,183.76013,35219.0,193.46671,11.0,0.30556,3629.0,100.80556,4.0
1758077931.77604,33458.0,183.79309,35398.0,194.44998,-182.0,-5.05556,3428.0,95.22222,4.0
1758077931.79124,33471.0,183.8645,35567.0,195.37834,-306.0,-8.5,3236.0,89.88889,4.0
1758077931.80848,33487.0,183.95239,35723.0,196.23531,-326.0,-9.05556,2990.0,83.05556,4.0
1758077931.81043,33501.0,184.0293,35867.0,197.02632,-236.0,-6.55556,2731.0,75.86111,4.0
1758077931.82523,33511.0,184.08423,35998.0,197.74594,-169.0,-4.69444,2522.0,70.05556,4.0
1758077931.8264,33517.0,184.11719,36118.0,198.40512,-46.0,-1.27778,2271.0,63.08333,4.0
1758077931.84286,33516.0,184.11169,36228.0,199.0094,53.0,1.47222,2063.0,57.30556,4.0
1758077931.84572,33514.0,184.10071,36324.0,199.53674,22.0,0.61111,1799.0,49.97222,4.0
1758077931.86168,33513.0,184.09521,36409.0,200.00366,34.0,0.94444,1569.0,43.58333,4.0
1758077931.86508,33510.0,184.07874,36483.0,200.41017,64.0,1.77778,1347.0,37.41667,4.0
1758077931.88036,33505.0,184.05127,36545.0,200.75075,162.0,4.5,1095.0,30.41667,4.0
1758077931.8972,33493.0,183.98535,36595.0,201.02541,282.0,7.83333,939.0,26.08333,4.0
1758077931.89875,33475.0,183.88647,36636.0,201.25063,369.0,10.25,711.0,19.75,4.0
1758077931.9143,33456.0,183.7821,36666.0,201.41542,396.0,11.0,516.0,14.33333,4.0
1758077931.91514,33434.0,183.66125,36685.0,201.51979,466.0,12.94444,264.0,7.33333,4.0
1758077931.93271,33409.0,183.52393,36692.0,201.55824,503.0,13.97222,73.0,2.02778,4.0
1758077931.9368,33386.0,183.39757,36692.0,201.55824,406.0,11.27778,-25.0,-0.69444,4.0
1758077931.95668,33367.0,183.2932,36692.0,201.55824,372.0,10.33333,0.0,0.0,4.0
1758077931.95969,33347.0,183.18333,36692.0,201.55824,395.0,10.97222,0.0,0.0,4.0
1758077931.97539,33325.0,183.06248,36692.0,201.55824,440.0,12.22222,-4.0,-0.11111,4.0
1758077931.97659,33305.0,182.95262,36692.0,201.55824,372.0,10.33333,0.0,0.0,4.0
1758077931.99136,33286.0,182.84825,36691.0,201.55275,371.0,10.30556,-7.0,-0.19444,4.0
1758077931.99564,33267.0,182.74388,36691.0,201.55275,363.0,10.08333,0.0,0.0,4.0
1758077932.01135,33249.0,182.645,36690.0,201.54726,342.0,9.5,-23.0,-0.63889,4.0
1758077932.01403,33237.0,182.57909,36689.0,201.54176,158.0,4.38889,-39.0,-1.08333,4.0
1758077932.02936,33231.0,182.54613,36684.0,201.5143,98.0,2.72222,-142.0,-3.94444,4.0
1758077932.04541,33229.0,182.53514,36674.0,201.45937,-1.0,-0.02778,-230.0,-6.38889,4.0
1758077932.04618,33231.0,182.54613,36658.0,201.37148,-8.0,-0.22222,-365.0,-10.13889,4.0
1758077932.06181,33231.0,182.54613,36638.0,201.26161,0.0,0.0,-447.0,-12.41667,4.0
1758077932.06269,33231.0,182.54613,36611.0,201.1133,0.0,0.0,-606.0,-16.83333,4.0
1758077932.07922,33231.0,182.54613,36576.0,200.92104,0.0,0.0,-707.0,-19.63889,4.0
1758077932.09541,33231.0,182.54613,36541.0,200.72878,4.0,0.11111,-697.0,-19.36111,4.0
1758077932.09658,33230.0,182.54063,36505.0,200.53102,4.0,0.11111,-709.0,-19.69444,4.0
1758077932.11137,33230.0,182.54063,36472.0,200.34973,0.0,0.0,-615.0,-17.08333,4.0
1758077932.11424,33230.0,182.54063,36443.0,200.19043,0.0,0.0,-532.0,-14.77778,4.0
1758077932.13053,33230.0,182.54063,36420.0,200.06409,0.0,0.0,-354.0,-9.83333,4.0
1758077932.14648,33230.0,182.54063,36408.0,199.99817,0.0,0.0,-189.0,-5.25,4.0
1758077932.14757,33230.0,182.54063,36402.0,199.96521,0.0,0.0,-65.0,-1.80556,4.0
1758077932.16325,33230.0,182.54063,36401.0,199.95972,0.0,0.0,16.0,0.44444,4.0
1758077932.16529,33230.0,182.54063,36401.0,199.95972,0.0,0.0,0.0,0.0,4.0
1758077932.18049,33230.0,182.54063,36401.0,199.95972,-4.0,-0.11111,0.0,0.0,4.0
1758077932.19648,33230.0,182.54063,36401.0,199.95972,0.0,0.0,-7.0,-0.19444,4.0
1758077932.19724,33230.0,182.54063,36400.0,199.95422,0.0,0.0,-42.0,-1.16667,4.0
1758077932.21488,33230.0,182.54063,36396.0,199.93225,-9.0,-0.25,-116.0,-3.22222,4.0
1758077932.21563,33231.0,182.54613,36384.0,199.86633,-1.0,-0.02778,-347.0,-9.63889,4.0
1758077932.23257,33231.0,182.54613,36356.0,199.71252,0.0,0.0,-685.0,-19.02778,4.0
1758077932.23691,33231.0,182.54613,36318.0,199.50378,0.0,0.0,-797.0,-22.13889,4.0
1758077932.25661,33231.0,182.54613,36276.0,199.27307,0.0,0.0,-833.0,-23.13889,4.0
1758077932.25927,33231.0,182.54613,36238.0,199.06433,0.0,0.0,-696.0,-19.33333,4.0
1758077932.27457,33231.0,182.54613,36204.0,198.87753,12.0,0.33333,-640.0,-17.77778,4.0
1758077932.27568,33229.0,182.53514,36177.0,198.72922,29.0,0.80556,-504.0,-14.0,4.0
1758077932.29052,33227.0,182.52415,36154.0,198.60287,73.0,2.02778,-430.0,-11.94444,4.0
1758077932.3066,33220.0,182.4857,36133.0,198.48752,193.0,5.36111,-435.0,-12.08333,4.0
1758077932.30735,33205.0,182.40331,36112.0,198.37216,344.0,9.55556,-367.0,-10.19444,4.0
1758077932.32526,33186.0,182.29893,36092.0,198.2623,409.0,11.36111,-436.0,-12.11111,4.0
1758077932.32569,33167.0,182.19456,36068.0,198.13046,310.0,8.61111,-533.0,-14.80556,4.0
