timeStamp,motor_angle_L_uint16,motor_angle_L_float,motor_angle_R_uint16,motor_angle_R_float,motor_vel_L_int16,motor_vel_L_float,motor_vel_R_int16,motor_vel_R_float,flag_num
1758077882.24231,34379.0,188.85236,41392.0,227.37653,0.0,0.0,-970.0,-26.94444,3.0
1758077882.25834,34379.0,188.85236,41343.0,227.10733,0.0,0.0,-952.0,-26.44444,3.0
1758077882.25912,34379.0,188.85236,41288.0,226.80521,-3.0,-0.08333,-1206.0,-33.5,3.0
1758077882.27431,34379.0,188.85236,41227.0,226.47012,0.0,0.0,-1177.0,-32.69444,3.0
1758077882.29035,34379.0,188.85236,41173.0,226.17349,0.0,0.0,-958.0,-26.61111,3.0
1758077882.29096,34379.0,188.85236,41134.0,225.95926,18.0,0.5,-535.0,-14.86111,3.0
1758077882.30636,34378.0,188.84686,41124.0,225.90433,31.0,0.86111,73.0,2.02778,3.0
1758077882.30767,34376.0,188.83588,41127.0,225.92081,56.0,1.55556,15.0,0.41667,3.0
1758077882.32232,34372.0,188.8139,41127.0,225.92081,79.0,2.19444,0.0,0.0,3.0
1758077882.33835,34367.0,188.78644,41127.0,225.92081,130.0,3.61111,0.0,0.0,3.0
1758077882.33913,34358.0,188.737,41127.0,225.92081,202.0,5.61111,0.0,0.0,3.0
1758077882.35434,34352.0,188.70404,41127.0,225.92081,54.0,1.5,0.0,0.0,3.0
1758077882.37039,34351.0,188.69855,41127.0,225.92081,0.0,0.0,0.0,0.0,3.0
1758077882.371,34351.0,188.69855,41127.0,225.92081,0.0,0.0,0.0,0.0,3.0
1758077882.38643,34351.0,188.69855,41127.0,225.92081,0.0,0.0,0.0,0.0,3.0
1758077882.38716,34351.0,188.69855,41127.0,225.92081,-4.0,-0.11111,0.0,0.0,3.0
1758077882.40239,34351.0,188.69855,41127.0,225.92081,-1.0,-0.02778,-5.0,-0.13889,3.0
1758077882.4184,34351.0,188.69855,41126.0,225.91531,0.0,0.0,0.0,0.0,3.0
1758077882.41921,34352.0,188.70404,41126.0,225.91531,-11.0,-0.30556,-9.0,-0.25,3.0
1758077882.43439,34354.0,188.71503,41125.0,225.90982,-57.0,-1.58333,-34.0,-0.94444,3.0
1758077882.45046,34358.0,188.737,41121.0,225.88785,-112.0,-3.11111,-111.0,-3.08333,3.0
1758077882.45105,34365.0,188.77545,41107.0,225.81094,-139.0,-3.86111,-506.0,-14.05556,3.0
