timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758077864.0458,1758077863.95574,0.0,0.0,0.0,-44.40423,12.43318,-11.74564,9.81,1.68,-0.26,3.0
1758077864.04711,1758077863.96574,0.0,0.0,0.0,-47.49821,15.69904,-9.96947,9.4,1.39,0.53,3.0
1758077864.06192,1758077863.97574,0.0,0.0,0.0,-48.52953,15.87093,-7.96411,9.4,1.39,0.53,3.0
1758077864.07795,1758077863.98574,0.0,0.0,0.0,-49.04519,14.20935,-5.84417,8.92,1.04,0.69,3.0
1758077864.07991,1758077863.99574,0.0,0.0,0.0,-48.70141,11.86023,-3.03668,8.92,1.04,0.69,3.0
1758077864.09608,1758077864.00574,0.0,0.0,0.0,-47.95657,9.11003,-1.43239,8.92,0.74,0.67,3.0
1758077864.09719,1758077864.01574,0.0,0.0,0.0,-47.15443,6.24524,-0.11459,9.2,0.54,0.65,3.0
1758077864.1119,1758077864.02574,0.0,0.0,0.0,-46.35228,4.58366,0.51566,9.2,0.54,0.65,3.0
1758077864.12795,1758077864.03574,0.0,0.0,0.0,-44.51882,1.66158,0.85944,9.64,0.54,0.67,3.0
1758077864.12911,1758077864.04574,0.0,0.0,0.0,-43.88857,-0.40107,0.74485,9.64,0.54,0.67,3.0
1758077864.14396,1758077864.05574,0.0,0.0,0.0,-43.25832,-1.60428,0.45837,9.64,0.73,0.67,3.0
1758077864.14672,1758077864.06574,0.0,0.0,0.0,-42.97184,-3.89611,0.45837,9.64,0.73,0.67,3.0
1758077864.16296,1758077864.07574,0.0,0.0,0.0,-43.20102,-7.73493,0.97403,9.47,0.99,0.84,3.0
1758077864.17997,1758077864.08574,0.0,0.0,0.0,-43.60209,-10.31324,1.83346,9.3,1.21,0.88,3.0
1758077864.18119,1758077864.09574,0.0,0.0,0.0,-44.46153,-12.49048,3.38045,9.3,1.21,0.88,3.0
1758077864.19592,1758077864.10574,0.0,0.0,0.0,-45.26366,-13.12073,4.92744,9.31,1.37,0.81,3.0
1758077864.19746,1758077864.11574,0.0,0.0,0.0,-44.86259,-16.38659,7.67763,9.31,1.37,0.81,3.0
1758077864.21193,1758077864.12574,0.0,0.0,0.0,-40.50812,-38.27358,7.79223,8.84,1.51,1.53,3.0
1758077864.22795,1758077864.13574,0.0,0.0,0.0,-35.69527,-65.54638,-1.3178,8.84,1.51,1.53,3.0
1758077864.22914,1758077864.14574,0.0,0.0,0.0,-30.59595,-59.98868,-13.12073,9.61,1.45,5.19,3.0
1758077864.24556,1758077864.15574,0.0,0.0,0.0,-18.90761,-7.04738,-20.97026,16.33,0.78,2.6,3.0
1758077864.24698,1758077864.16574,0.0,0.0,0.0,-12.77696,5.4431,-21.31403,16.33,0.78,2.6,3.0
1758077864.26229,1758077864.17574,0.0,0.0,0.0,-9.96947,2.34913,-21.31403,10.71,-0.29,0.5,3.0
1758077864.27799,1758077864.18574,0.0,0.0,0.0,-9.22462,0.11459,-19.13679,10.71,-0.29,0.5,3.0
1758077864.2792,1758077864.19574,0.0,0.0,0.0,-11.34457,4.58366,-15.69904,9.7,-0.42,-0.5,3.0
1758077864.29477,1758077864.20574,0.0,0.0,0.0,-15.24068,11.86023,-11.00079,9.7,-0.42,-0.5,3.0
1758077864.296,1758077864.21574,0.0,0.0,0.0,-19.53786,20.62648,-5.72958,10.46,0.91,-1.86,3.0
1758077864.31229,1758077864.22574,0.0,0.0,0.0,-23.0329,33.17426,1.83346,10.46,0.91,-1.86,3.0
1758077864.32829,1758077864.23574,0.0,0.0,0.0,-23.0329,39.64868,5.15662,11.63,2.3,-0.16,3.0
