timeStamp,motor_angle_L_uint16,motor_angle_L_float,motor_angle_R_uint16,motor_angle_R_float,motor_vel_L_int16,motor_vel_L_float,motor_vel_R_int16,motor_vel_R_float,flag_num
1758077942.05588,29574.0,162.45731,36096.0,198.28427,-604.0,-16.77778,-11.0,-0.30556,2.0
1758077942.05901,29621.0,162.71548,36096.0,198.28427,-1218.0,-33.83333,4.0,0.11111,2.0
1758077942.07964,29700.0,163.14946,36095.0,198.27878,-1865.0,-51.80556,-57.0,-1.58333,2.0
1758077942.08045,29814.0,163.7757,36077.0,198.1799,-2592.0,-72.0,-582.0,-16.16667,2.0
1758077942.13622,29973.0,164.64912,36026.0,197.89975,-3569.0,-99.13889,-1315.0,-36.52778,2.0
1758077942.14004,30186.0,165.81918,35939.0,197.42183,-4735.0,-131.52777,-2028.0,-56.33333,2.0
1758077942.1409,30460.0,167.32433,35820.0,196.76814,-5863.0,-162.86111,-2600.0,-72.22222,2.0
1758077942.14129,30780.0,169.08217,35675.0,195.9716,-6594.0,-183.16667,-3057.0,-84.91666,2.0
1758077942.14234,31124.0,170.97185,35514.0,195.0872,-6947.0,-192.97223,-3280.0,-91.11111,2.0
1758077942.14517,31483.0,172.94392,35351.0,194.1918,-7181.0,-199.47223,-3175.0,-88.19444,2.0
1758077942.1458,31844.0,174.92699,35195.0,193.33485,-7073.0,-196.47223,-2940.0,-81.66666,2.0
1758077942.19086,32206.0,176.91554,35054.0,192.56032,-7201.0,-200.02777,-2687.0,-74.63889,2.0
1758077942.19521,32567.0,178.89861,34927.0,191.86266,-7037.0,-195.47223,-2390.0,-66.38889,2.0
1758077942.20554,32920.0,180.83772,34812.0,191.23094,-6943.0,-192.86111,-2146.0,-59.61111,2.0
1758077942.21017,33272.0,182.77135,34710.0,190.67064,-6853.0,-190.36111,-1901.0,-52.80556,2.0
1758077942.21607,33614.0,184.65002,34619.0,190.17075,-6662.0,-185.05556,-1743.0,-48.41667,2.0
1758077942.21936,33947.0,186.47929,34537.0,189.72031,-6541.0,-181.69444,-1556.0,-43.22222,2.0
1758077942.22053,34274.0,188.27557,34462.0,189.30832,-6353.0,-176.47223,-1441.0,-40.02778,2.0
1758077942.23593,34582.0,189.9675,34392.0,188.92377,-5875.0,-163.19444,-1349.0,-37.47222,2.0
1758077942.23924,34869.0,191.54405,34325.0,188.55573,-5543.0,-153.97223,-1303.0,-36.19444,2.0
1758077942.25578,35139.0,193.02724,34259.0,188.19318,-5200.0,-144.44444,-1328.0,-36.88889,2.0
1758077942.25653,35391.0,194.41153,34190.0,187.81415,-4843.0,-134.52777,-1411.0,-39.19444,2.0
1758077942.27631,35628.0,195.71342,34114.0,187.39665,-4593.0,-127.58334,-1550.0,-43.05556,2.0
1758077942.27796,35854.0,196.95491,34030.0,186.93523,-4389.0,-121.91666,-1721.0,-47.80556,2.0
1758077942.29546,36068.0,198.13046,33937.0,186.42436,-4127.0,-114.63889,-1936.0,-53.77778,2.0
1758077942.29618,36267.0,199.22363,33834.0,185.85855,-3798.0,-105.5,-2101.0,-58.36111,2.0
1758077942.316,36450.0,200.22888,33724.0,185.2543,-3507.0,-97.41666,-2256.0,-62.66667,2.0
1758077942.31929,36620.0,201.16273,33607.0,184.61157,-3238.0,-89.94444,-2342.0,-65.05556,2.0
1758077942.33582,36776.0,202.01968,33487.0,183.95239,-2959.0,-82.19444,-2368.0,-65.77778,2.0
1758077942.33661,36917.0,202.79422,33369.0,183.30418,-2687.0,-74.63889,-2306.0,-64.05556,2.0
1758077942.35606,37044.0,203.49188,33254.0,182.67247,-2386.0,-66.27778,-2247.0,-62.41667,2.0
1758077942.35956,37159.0,204.1236,33143.0,182.0627,-2154.0,-59.83333,-2131.0,-59.19444,2.0
1758077942.40693,37262.0,204.68941,33038.0,181.48592,-1930.0,-53.61111,-2042.0,-56.72222,2.0
1758077942.40744,37355.0,205.20027,32938.0,180.9366,-1798.0,-49.94444,-1938.0,-53.83333,2.0
1758077942.41101,37440.0,205.66719,32845.0,180.42572,-1618.0,-44.94444,-1774.0,-49.27778,2.0
1758077942.41289,37518.0,206.09569,32758.0,179.94781,-1478.0,-41.05556,-1641.0,-45.58333,2.0
1758077942.47735,37588.0,206.48021,32677.0,179.50285,-1349.0,-37.47222,-1508.0,-41.88889,2.0
1758077942.47979,37651.0,206.82628,32605.0,179.10735,-1196.0,-33.22222,-1372.0,-38.11111,2.0
1758077942.48054,37707.0,207.1339,32538.0,178.7393,-1015.0,-28.19444,-1239.0,-34.41667,2.0
1758077942.48275,37756.0,207.40306,32479.0,178.41521,-912.0,-25.33333,-1112.0,-30.88889,2.0
1758077942.48554,37795.0,207.61731,32427.0,178.12955,-704.0,-19.55556,-1015.0,-28.19444,2.0
1758077942.48618,37824.0,207.77661,32379.0,177.86588,-441.0,-12.25,-863.0,-23.97222,2.0
1758077942.48821,37837.0,207.84802,32339.0,177.64615,-96.0,-2.66667,-768.0,-21.33333,2.0
1758077942.48878,37833.0,207.82605,32304.0,177.45387,182.0,5.05556,-637.0,-17.69444,2.0
