timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758077840.0027,1758077839.94577,0.0,0.0,0.0,-13.69369,-12.60507,-0.17189,12.45,2.24,-0.4,2.0
1758077840.01879,1758077839.95577,0.0,0.0,0.0,-20.05352,-16.38659,0.68755,12.45,2.24,-0.4,2.0
1758077840.02002,1758077839.96577,0.0,0.0,0.0,-23.66316,-14.43854,2.34913,12.3,1.6,-0.95,2.0
1758077840.03479,1758077839.97577,0.0,0.0,0.0,-26.18417,-7.39116,5.27121,12.3,1.6,-0.95,2.0
1758077840.05101,1758077839.98577,0.0,0.0,0.0,-27.84575,1.3751,8.47978,12.77,0.79,-1.3,2.0
1758077840.0523,1758077839.99577,0.0,0.0,0.0,-28.476,4.29718,11.00079,11.99,0.79,-0.28,2.0
1758077840.06693,1758077840.00577,0.0,0.0,0.0,-28.41871,-4.0107,11.34457,11.99,0.16,-0.28,2.0
1758077840.0683,1758077840.01577,0.0,0.0,0.0,-27.50197,-20.97026,11.57375,11.52,1.0,1.7,2.0
1758077840.08302,1758077840.02577,0.0,0.0,0.0,-23.54857,-48.58683,10.48513,11.52,1.0,1.7,2.0
1758077840.09878,1758077840.03577,0.0,0.0,0.0,-13.23533,-89.83979,0.34377,11.23,0.63,5.29,2.0
1758077840.10004,1758077840.04577,0.0,0.0,0.0,-8.76626,-109.43494,-9.96947,11.23,0.63,5.29,2.0
1758077840.11563,1758077840.05577,0.0,0.0,0.0,-4.18259,-112.98728,-16.50119,13.54,-1.01,5.42,2.0
1758077840.11676,1758077840.06577,0.0,0.0,0.0,-2.92208,-87.43336,-20.22541,13.54,-1.01,5.42,2.0
1758077840.13321,1758077840.07577,0.0,0.0,0.0,-7.79223,-52.19646,-25.21014,13.95,-1.02,3.16,2.0
1758077840.14882,1758077840.08577,0.0,0.0,0.0,-13.34992,-51.85268,-26.01229,8.51,0.37,2.95,2.0
1758077840.15006,1758077840.09577,0.0,0.0,0.0,-20.51189,-60.10328,-26.01229,8.51,0.37,2.95,2.0
1758077840.16486,1758077840.10577,0.0,0.0,0.0,-27.96034,-60.38975,-21.31403,6.73,1.24,2.0,2.0
1758077840.18112,1758077840.11577,0.0,0.0,0.0,-37.58603,-46.75336,-15.35527,6.73,1.24,2.0,2.0
1758077840.18252,1758077840.12577,0.0,0.0,0.0,-42.05511,-38.44547,-8.02141,9.47,1.02,1.13,2.0
1758077840.19716,1758077840.13577,0.0,0.0,0.0,-44.748,-28.99167,-0.74485,9.47,1.02,1.13,2.0
1758077840.1983,1758077840.14577,0.0,0.0,0.0,-45.20637,-12.60507,8.42248,10.21,0.31,1.27,2.0
1758077840.21312,1758077840.15577,0.0,0.0,0.0,-44.11775,-3.60963,11.86023,9.46,-0.17,1.03,2.0
1758077840.22891,1758077840.16577,0.0,0.0,0.0,-42.1124,2.34913,12.89155,9.46,-0.17,1.03,2.0
1758077840.23093,1758077840.17577,0.0,0.0,0.0,-40.50812,5.78687,11.22997,8.12,-0.34,0.88,2.0
1758077840.24591,1758077840.18577,0.0,0.0,0.0,-38.90384,8.88085,5.84417,8.12,-0.34,0.88,2.0
