timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758079510.65424,1758079510.59705,0.0,0.0,0.0,28.01764,23.54857,9.39651,12.29,0.43,0.78,3.0
1758079510.66989,1758079510.60705,0.0,0.0,0.0,22.68913,31.45539,6.47442,11.3,0.92,0.62,3.0
1758079510.67108,1758079510.61705,0.0,0.0,0.0,16.95955,37.01308,1.83346,10.5,1.69,0.61,3.0
1758079510.68614,1758079510.62705,0.0,0.0,0.0,11.51645,39.53409,-2.86479,10.5,1.69,0.61,3.0
1758079510.70216,1758079510.63705,0.0,0.0,0.0,4.52637,39.4195,-9.4538,9.89,2.44,0.88,3.0
1758079510.7035,1758079510.64705,0.0,0.0,0.0,0.51566,39.07573,-13.17803,9.89,2.44,0.88,3.0
1758079510.71817,1758079510.65705,0.0,0.0,0.0,-2.46372,39.13302,-16.38659,9.72,2.71,0.97,3.0
1758079510.71908,1758079510.66705,0.0,0.0,0.0,-4.52637,40.27893,-17.93358,9.72,2.71,0.97,3.0
1758079510.73417,1758079510.67705,0.0,0.0,0.0,-7.16197,42.05511,-18.90761,9.69,2.41,0.9,3.0
1758079510.75015,1758079510.68705,0.0,0.0,0.0,-7.73493,41.25296,-18.10547,9.57,1.74,0.98,3.0
1758079510.75189,1758079510.69705,0.0,0.0,0.0,-7.84952,39.19032,-16.84496,9.57,1.74,0.98,3.0
1758079510.76693,1758079510.70705,0.0,0.0,0.0,-7.84952,35.75257,-15.24068,9.38,1.03,1.14,3.0
1758079510.76809,1758079510.71705,0.0,0.0,0.0,-7.73493,29.96569,-13.12073,9.38,1.03,1.14,3.0
1758079510.78416,1758079510.72705,0.0,0.0,0.0,-8.02141,27.04361,-12.54778,9.4,0.49,1.11,3.0
1758079510.8466,1758079510.73705,0.0,0.0,0.0,-8.70896,24.4653,-12.89155,9.4,0.49,1.11,3.0
1758079510.84894,1758079510.74705,0.0,0.0,0.0,-10.02676,21.7151,-14.15206,9.38,0.37,1.16,3.0
1758079510.85273,1758079510.75705,0.0,0.0,0.0,-11.91752,16.67307,-16.84496,9.11,0.67,1.24,3.0
1758079510.85453,1758079510.76705,0.0,0.0,0.0,-13.12073,13.80828,-18.85031,9.11,0.67,1.24,3.0
1758079510.85589,1758079510.77705,0.0,0.0,0.0,-14.38124,11.74564,-20.51189,9.18,1.11,1.27,3.0
1758079510.85895,1758079510.78705,0.0,0.0,0.0,-15.24068,7.84952,-21.7151,9.18,1.11,1.27,3.0
1758079510.85935,1758079510.79705,0.0,0.0,0.0,-15.06879,4.64096,-21.88699,9.14,1.45,1.14,3.0
1758079510.86094,1758079510.80705,0.0,0.0,0.0,-14.66772,1.83346,-21.25674,9.14,1.45,1.14,3.0
1758079510.87716,1758079510.81705,0.0,0.0,0.0,-13.98017,-0.0573,-19.99623,9.07,1.57,1.09,3.0
1758079510.87894,1758079510.82705,0.0,0.0,0.0,-13.00614,0.0,-17.01685,9.07,1.57,0.96,3.0
1758079510.89894,1758079510.83705,0.0,0.0,0.0,-12.2613,0.45837,-14.83961,9.23,1.42,0.96,3.0
1758079510.90125,1758079510.84705,0.0,0.0,0.0,-11.91752,1.60428,-12.54778,9.2,1.15,0.84,3.0
1758079510.91709,1758079510.85705,0.0,0.0,0.0,-11.91752,2.11994,-10.8289,9.2,1.15,0.84,3.0
1758079510.91879,1758079510.86705,0.0,0.0,0.0,-11.86023,1.43239,-8.36518,9.08,0.76,0.72,3.0
1758079510.93497,1758079510.87705,0.0,0.0,0.0,-12.37589,-0.97403,-7.21927,9.08,0.76,0.72,3.0
1758079510.95095,1758079510.88705,0.0,0.0,0.0,-13.00614,-6.18794,-7.73493,9.0,0.69,0.57,3.0
1758079510.95294,1758079510.89705,0.0,0.0,0.0,-13.23533,-9.85487,-6.24524,9.0,0.69,0.57,3.0
1758079510.96823,1758079510.90705,0.0,0.0,0.0,-14.09476,16.55848,-10.37054,10.02,0.86,0.66,3.0
1758079510.96915,1758079510.91705,0.0,0.0,0.0,-15.12609,33.00237,-12.60507,11.95,1.29,0.7,3.0
1758079510.98423,1758079510.92705,0.0,0.0,0.0,-17.6471,34.49206,-16.73037,11.95,1.29,0.7,3.0
1758079511.00022,1758079510.93705,0.0,0.0,0.0,-19.36597,28.99167,-19.99623,9.72,1.73,1.91,3.0
1758079511.00226,1758079510.94705,0.0,0.0,0.0,-20.05352,18.33465,-21.88699,9.72,1.73,1.91,3.0
1758079511.01906,1758079510.95705,0.0,0.0,0.0,-20.51189,14.49583,-21.31403,9.39,1.86,0.61,3.0
1758079511.02074,1758079510.96705,0.0,0.0,0.0,-21.7151,13.12073,-19.42327,9.39,1.86,0.61,3.0
1758079511.03623,1758079510.97705,0.0,0.0,0.0,-23.89234,14.32395,-15.58445,9.33,1.62,-0.41,3.0
1758079511.03792,1758079510.98705,0.0,0.0,0.0,-24.98096,17.58981,-12.54778,9.4,1.53,0.51,3.0
1758079511.05421,1758079510.99705,0.0,0.0,0.0,-25.49662,18.90761,-9.28192,9.4,1.53,0.51,3.0
1758079511.07027,1758079511.00705,0.0,0.0,0.0,-25.61122,18.9649,-5.95876,9.65,1.49,0.84,3.0
1758079511.07117,1758079511.01705,0.0,0.0,0.0,-25.09555,17.24603,-2.57831,9.65,1.49,0.84,3.0
1758079511.08623,1758079511.02705,0.0,0.0,0.0,-24.5226,15.92823,-1.3751,10.08,1.31,0.88,3.0
1758079511.08796,1758079511.03705,0.0,0.0,0.0,-23.37668,15.12609,-1.3178,10.08,1.31,0.88,3.0
1758079511.10397,1758079511.04705,0.0,0.0,0.0,-22.23076,14.78231,-1.83346,10.49,1.11,0.74,3.0
1758079511.12182,1758079511.05705,0.0,0.0,0.0,-21.02755,14.32395,-3.95341,10.48,1.11,0.84,3.0
1758079511.1236,1758079511.06705,0.0,0.0,0.0,-20.45459,14.38124,-5.32851,10.48,1.1,0.84,3.0
1758079511.13926,1758079511.07705,0.0,0.0,0.0,-20.62648,14.38124,-6.58902,10.25,1.35,0.96,3.0
1758079511.14019,1758079511.08705,0.0,0.0,0.0,-21.14215,14.20935,-7.44845,10.25,1.35,0.96,3.0
1758079511.15496,1758079511.09705,0.0,0.0,0.0,-22.74642,15.35527,-8.02141,10.02,1.63,0.92,3.0
1758079511.17104,1758079511.10705,0.0,0.0,0.0,-24.23611,17.36062,-7.62034,10.02,1.63,0.92,3.0
1758079511.17221,1758079511.11705,0.0,0.0,0.0,-25.61122,19.19409,-6.7609,10.04,1.78,0.81,3.0
1758079511.18704,1758079511.12705,0.0,0.0,0.0,-26.81443,19.99623,-5.78687,10.04,1.78,0.81,3.0
1758079511.18874,1758079511.13705,0.0,0.0,0.0,-27.84575,18.22006,-4.64096,9.83,1.77,0.84,3.0
1758079511.20433,1758079511.14705,0.0,0.0,0.0,-27.96034,14.9542,-4.58366,9.68,1.79,1.07,3.0
1758079511.22111,1758079511.15705,0.0,0.0,0.0,-27.44468,12.14671,-5.27121,9.68,1.79,1.07,3.0
1758079511.22202,1758079511.16705,0.0,0.0,0.0,-26.41335,12.71966,-6.87549,10.19,1.8,1.38,3.0
1758079511.23698,1758079511.17705,0.0,0.0,0.0,-24.23611,16.55848,-7.84952,10.19,1.8,1.38,3.0
1758079511.23826,1758079511.18705,0.0,0.0,0.0,-22.86102,19.42327,-8.42248,10.65,1.71,1.53,3.0
1758079511.25413,1758079511.19705,0.0,0.0,0.0,-21.37133,22.51724,-8.25059,10.65,1.71,1.53,3.0
1758079511.27161,1758079511.20705,0.0,0.0,0.0,-20.68378,22.28806,-6.99009,10.71,1.6,1.56,3.0
1758079511.27363,1758079511.21705,0.0,0.0,0.0,-20.74107,21.88699,-5.90147,10.71,1.59,1.27,3.0
1758079511.28929,1758079511.22705,0.0,0.0,0.0,-21.31403,21.08485,-4.58366,10.71,1.59,1.27,3.0
1758079511.29025,1758079511.23705,0.0,0.0,0.0,-22.23076,20.05352,-3.20856,11.17,1.78,1.24,3.0
1758079511.30531,1758079511.24705,0.0,0.0,0.0,-24.12152,19.42327,-1.3751,11.17,1.78,1.24,3.0
1758079511.32285,1758079511.25705,0.0,0.0,0.0,-25.26744,19.59516,-0.57296,11.7,2.08,1.53,3.0
1758079511.32408,1758079511.26705,0.0,0.0,0.0,-25.8404,20.11082,0.0,11.7,2.08,1.53,3.0
1758079511.339,1758079511.27705,0.0,0.0,0.0,-25.89769,21.02755,0.34377,12.15,2.24,2.04,3.0
1758079511.34052,1758079511.28705,0.0,0.0,0.0,-25.21014,25.72581,0.0573,12.84,2.09,2.35,3.0
1758079511.355,1758079511.29705,0.0,0.0,0.0,-24.35071,30.02299,-0.11459,12.84,2.09,2.35,3.0
1758079511.371,1758079511.30705,0.0,0.0,0.0,-23.26209,34.66395,-0.85944,13.28,1.74,2.65,3.0
1758079511.37259,1758079511.31705,0.0,0.0,0.0,-22.00158,36.61201,-1.43239,13.28,1.74,2.65,3.0
1758079511.38701,1758079511.32705,0.0,0.0,0.0,-20.11082,34.0337,-1.83346,12.9,1.46,3.02,3.0
1758079511.38827,1758079511.33705,0.0,0.0,0.0,-19.25138,30.30947,-2.11994,12.9,1.46,3.02,3.0
1758079511.40437,1758079511.34705,0.0,0.0,0.0,-18.73572,25.8404,-2.34913,12.48,1.48,3.06,3.0
1758079511.42078,1758079511.35705,0.0,0.0,0.0,-18.79302,20.45459,-2.23454,12.48,1.48,3.06,3.0
1758079511.42205,1758079511.36705,0.0,0.0,0.0,-20.22541,11.51645,-1.94806,11.94,1.76,3.07,3.0
1758079511.43733,1758079511.37705,0.0,0.0,0.0,-22.05888,4.92744,-1.94806,11.09,2.1,3.32,3.0
1758079511.43904,1758079511.38705,0.0,0.0,0.0,-24.86637,-2.34913,-1.94806,11.09,2.1,3.32,3.0
1758079511.4572,1758079511.39705,0.0,0.0,0.0,-29.62192,-11.97482,-2.06265,9.88,2.11,3.51,3.0
1758079511.45885,1758079511.40705,0.0,0.0,0.0,-33.05967,-18.44924,-1.83346,9.88,2.11,3.51,3.0
1758079511.47905,1758079511.41705,0.0,0.0,0.0,-36.38282,-24.5226,-2.23454,8.69,1.89,3.61,3.0
1758079511.48064,1758079511.42705,0.0,0.0,0.0,-39.82057,-29.73651,-2.29183,8.69,1.89,3.61,3.0
