timeStamp,motor_angle_L_uint16,motor_angle_L_float,motor_angle_R_uint16,motor_angle_R_float,motor_vel_L_int16,motor_vel_L_float,motor_vel_R_int16,motor_vel_R_float,flag_num
1758077199.17621,44165.0,242.6093,36526.0,200.64638,-6445.0,-179.02777,-2717.0,-75.47222,3.0
1758077199.17688,44470.0,244.28474,36398.0,199.94324,-5772.0,-160.33333,-2450.0,-68.05556,3.0
1758077199.1804,44747.0,245.80637,36281.0,199.30054,-5248.0,-145.77777,-2205.0,-61.25,3.0
1758077199.18115,45000.0,247.19617,36171.0,198.69626,-4759.0,-132.19444,-2137.0,-59.36111,3.0
1758077199.19639,45230.0,248.45961,36062.0,198.0975,-4361.0,-121.13889,-2133.0,-59.25,3.0
1758077199.19748,45444.0,249.63516,35950.0,197.48225,-4108.0,-114.11111,-2277.0,-63.25,3.0
1758077199.21245,45645.0,250.73929,35832.0,196.83406,-3850.0,-106.94444,-2347.0,-65.19444,3.0
1758077199.21324,45832.0,251.76654,35712.0,196.17488,-3586.0,-99.61111,-2455.0,-68.19444,3.0
1758077199.22847,46001.0,252.6949,35588.0,195.4937,-3182.0,-88.38889,-2463.0,-68.41666,3.0
1758077199.24545,46150.0,253.51338,35464.0,194.81255,-2755.0,-76.52778,-2438.0,-67.72222,3.0
1758077199.24631,46278.0,254.21654,35343.0,194.14786,-2330.0,-64.72222,-2370.0,-65.83334,3.0
1758077199.26337,46381.0,254.78233,35226.0,193.50516,-1818.0,-50.5,-2296.0,-63.77778,3.0
1758077199.26591,46458.0,255.20531,35112.0,192.87892,-1293.0,-35.91667,-2184.0,-60.66667,3.0
1758077199.28335,46507.0,255.47449,35005.0,192.29115,-745.0,-20.69444,-2060.0,-57.22222,3.0
1758077199.29861,46528.0,255.58984,34902.0,191.72533,-208.0,-5.77778,-1966.0,-54.61111,3.0
1758077199.39149,46527.0,255.58435,34803.0,191.1815,55.0,1.52778,-1947.0,-54.08333,3.0
1758077199.39368,46526.0,255.57886,34708.0,190.65965,9.0,0.25,-1835.0,-50.97222,3.0
1758077199.39546,46525.0,255.57336,34618.0,190.16525,17.0,0.47222,-1750.0,-48.61111,3.0
1758077199.39623,46524.0,255.56787,34530.0,189.68185,55.0,1.52778,-1689.0,-46.91667,3.0
1758077199.39852,46518.0,255.53491,34450.0,189.2424,172.0,4.77778,-1501.0,-41.69444,3.0
1758077199.39894,46493.0,255.39758,34387.0,188.8963,737.0,20.47222,-1011.0,-28.08333,3.0
1758077199.40199,46430.0,255.0515,34356.0,188.72601,1621.0,45.02778,-323.0,-8.97222,3.0
1758077199.40235,46321.0,254.45274,34357.0,188.73151,2581.0,71.69444,112.0,3.11111,3.0
1758077199.40427,46160.0,253.56831,34362.0,188.75897,3597.0,99.91666,89.0,2.47222,3.0
1758077199.40489,45943.0,252.37628,34369.0,188.79742,4736.0,131.55556,121.0,3.36111,3.0
1758077199.40651,45666.0,250.85464,34377.0,188.84137,5943.0,165.08333,139.0,3.86111,3.0
1758077199.4069,45343.0,249.08034,34378.0,188.84686,6614.0,183.72223,-42.0,-1.16667,3.0
