timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758077127.64206,1758077127.62501,0.0,0.0,0.0,-43.88857,7.10468,-6.24524,10.95,0.8,-0.36,2.0
1758077127.65804,1758077127.63501,0.0,0.0,0.0,-41.94051,4.46907,-3.49504,10.62,0.78,-0.72,2.0
1758077127.65933,1758077127.64501,0.0,0.0,0.0,-39.99245,-1.71887,-0.74485,10.03,0.6,-0.61,2.0
1758077127.67402,1758077127.65501,0.0,0.0,0.0,-37.92981,-7.67763,1.83346,10.03,0.6,-0.61,2.0
1758077127.69003,1758077127.66501,0.0,0.0,0.0,-32.42941,-17.30333,2.92208,11.84,0.14,1.77,2.0
1758077127.69204,1758077127.67501,0.0,0.0,0.0,-25.21014,-28.93437,-1.48969,11.84,0.14,1.77,2.0
1758077127.70726,1758077127.68501,0.0,0.0,0.0,-16.10011,-44.63341,-9.33921,16.52,-1.8,5.52,2.0
1758077127.70825,1758077127.69501,0.0,0.0,0.0,-8.136,-58.90006,-18.73572,16.52,-1.8,5.52,2.0
1758077127.72301,1758077127.70501,0.0,0.0,0.0,-1.77617,-54.14451,-24.57989,17.25,-3.54,4.27,2.0
1758077127.73906,1758077127.71501,0.0,0.0,0.0,-1.48969,-43.4875,-22.34536,14.05,-2.44,0.94,2.0
1758077127.74072,1758077127.72501,0.0,0.0,0.0,-4.58366,-37.18496,-17.24603,14.05,-2.44,0.94,2.0
1758077127.75508,1758077127.73501,0.0,0.0,0.0,-10.25595,-34.89313,-12.08941,9.38,0.13,1.54,2.0
1758077127.75652,1758077127.74501,0.0,0.0,0.0,-20.16812,-24.5226,-5.61499,9.38,0.13,1.54,2.0
1758077127.77243,1758077127.75501,0.0,0.0,0.0,-27.78845,-16.84496,-2.06265,9.17,1.97,2.13,2.0
1758077127.78838,1758077127.76501,0.0,0.0,0.0,-36.6693,-13.06344,-0.11459,9.17,1.97,2.13,2.0
1758077127.78929,1758077127.77501,0.0,0.0,0.0,-46.00851,-8.59437,0.40107,8.3,2.16,2.47,2.0
1758077127.80428,1758077127.78501,0.0,0.0,0.0,-58.55629,1.43239,-1.08862,8.27,1.14,2.55,2.0
1758077127.82033,1758077127.79501,0.0,0.0,0.0,-64.91612,6.35983,-3.49504,8.27,1.14,2.55,2.0
1758077127.82131,1758077127.80501,0.0,0.0,0.0,-69.04142,12.83425,-6.41713,8.99,-0.5,2.1,2.0
1758077127.83635,1758077127.81501,0.0,0.0,0.0,-70.93218,21.48592,-8.93814,8.99,-0.5,2.1,2.0
1758077127.83729,1758077127.82501,0.0,0.0,0.0,-67.78091,35.69527,-9.68299,10.88,-2.2,1.34,2.0
1758077127.85238,1758077127.83501,0.0,0.0,0.0,-62.56699,46.1231,-9.91217,10.88,-2.2,1.34,2.0
1758077127.86838,1758077127.84501,0.0,0.0,0.0,-56.26446,54.48829,-9.91217,11.97,-2.97,1.5,2.0
