timeStamp,motor_angle_L_uint16,motor_angle_L_float,motor_angle_R_uint16,motor_angle_R_float,motor_vel_L_int16,motor_vel_L_float,motor_vel_R_int16,motor_vel_R_float,flag_num
1758078551.19611,35324.0,194.04349,35230.0,193.52713,0.0,0.0,-2315.0,-64.30556,4.0
1758078551.22645,35324.0,194.04349,35117.0,192.90639,0.0,0.0,-2145.0,-59.58333,4.0
1758078551.23022,35324.0,194.04349,35013.0,192.3351,0.0,0.0,-1969.0,-54.69444,4.0
1758078551.2317,35324.0,194.04349,34919.0,191.81871,0.0,0.0,-1785.0,-49.58333,4.0
1758078551.23399,35324.0,194.04349,34834.0,191.35179,0.0,0.0,-1576.0,-43.77778,4.0
1758078551.23712,35324.0,194.04349,34760.0,190.9453,0.0,0.0,-1360.0,-37.77778,4.0
1758078551.37082,35324.0,194.04349,34697.0,190.59923,0.0,0.0,-1158.0,-32.16667,4.0
1758078551.37963,35324.0,194.04349,34644.0,190.30807,0.0,0.0,-940.0,-26.11111,4.0
1758078551.38407,35324.0,194.04349,34605.0,190.09384,0.0,0.0,-664.0,-18.44444,4.0
1758078551.39008,35324.0,194.04349,34576.0,189.93454,-9.0,-0.25,-504.0,-14.0,4.0
1758078551.40081,35326.0,194.05447,34555.0,189.81918,-39.0,-1.08333,-310.0,-8.61111,4.0
1758078551.40133,35331.0,194.08194,34548.0,189.78073,-173.0,-4.80556,0.0,0.0,4.0
1758078551.4067,35344.0,194.15335,34551.0,189.79721,-308.0,-8.55556,36.0,1.0,4.0
1758078551.40913,35364.0,194.26321,34551.0,189.79721,-480.0,-13.33333,-4.0,-0.11111,4.0
1758078551.41484,35389.0,194.40054,34551.0,189.79721,-503.0,-13.97222,0.0,0.0,4.0
1758078551.41635,35414.0,194.53787,34551.0,189.79721,-496.0,-13.77778,0.0,0.0,4.0
1758078551.4182,35443.0,194.69717,34551.0,189.79721,-690.0,-19.16667,0.0,0.0,4.0
1758078551.42061,35483.0,194.91692,34551.0,189.79721,-857.0,-23.80556,0.0,0.0,4.0
1758078551.42128,35534.0,195.19707,34551.0,189.79721,-1099.0,-30.52778,8.0,0.22222,4.0
1758078551.42561,35594.0,195.52666,34551.0,189.79721,-1269.0,-35.25,9.0,0.25,4.0
1758078551.42632,35663.0,195.90569,34551.0,189.79721,-1450.0,-40.27778,0.0,0.0,4.0
1758078551.43145,35739.0,196.3232,34552.0,189.8027,-1585.0,-44.02778,0.0,0.0,4.0
1758078551.43201,35824.0,196.79012,34552.0,189.8027,-1695.0,-47.08333,0.0,0.0,4.0
1758078551.43676,35913.0,197.27901,34552.0,189.8027,-1803.0,-50.08333,0.0,0.0,4.0
1758078551.43713,36005.0,197.78439,34552.0,189.8027,-1862.0,-51.72222,0.0,0.0,4.0
1758078551.43832,36101.0,198.31174,34552.0,189.8027,-1900.0,-52.77778,0.0,0.0,4.0
1758078551.44056,36200.0,198.85556,34552.0,189.8027,-1979.0,-54.97222,0.0,0.0,4.0
1758078551.4418,36300.0,199.40491,34552.0,189.8027,-1991.0,-55.30556,0.0,0.0,4.0
1758078551.44323,36401.0,199.95972,34552.0,189.8027,-1997.0,-55.47222,0.0,0.0,4.0
1758078551.4444,36503.0,200.52003,34552.0,189.8027,-1987.0,-55.19444,0.0,0.0,4.0
1758078551.4459,36604.0,201.07484,34552.0,189.8027,-2007.0,-55.75,0.0,0.0,4.0
1758078551.46309,36706.0,201.63515,34552.0,189.8027,-1991.0,-55.30556,0.0,0.0,4.0
1758078551.46426,36807.0,202.18997,34552.0,189.8027,-2032.0,-56.44444,0.0,0.0,4.0
1758078551.48121,36911.0,202.76126,34552.0,189.8027,-2052.0,-57.0,0.0,0.0,4.0
1758078551.4818,37015.0,203.33258,34552.0,189.8027,-2057.0,-57.13889,0.0,0.0,4.0
1758078551.49862,37121.0,203.91486,34552.0,189.8027,-2114.0,-58.72222,0.0,0.0,4.0
1758078551.50034,37228.0,204.50262,34552.0,189.8027,-2093.0,-58.13889,0.0,0.0,4.0
1758078551.51653,37336.0,205.0959,34552.0,189.8027,-2134.0,-59.27778,0.0,0.0,4.0
1758078551.53434,37442.0,205.67818,34552.0,189.8027,-2116.0,-58.77778,0.0,0.0,4.0
1758078551.53489,37547.0,206.25499,34552.0,189.8027,-2071.0,-57.52778,0.0,0.0,4.0
