timeStamp,motor_angle_L_uint16,motor_angle_L_float,motor_angle_R_uint16,motor_angle_R_float,motor_vel_L_int16,motor_vel_L_float,motor_vel_R_int16,motor_vel_R_float,flag_num
1758078582.18087,37645.0,206.79332,31947.0,175.4928,-3428.0,-95.22222,-829.0,-23.02778,2.0
1758078582.18167,37804.0,207.66675,31903.0,175.25108,-2910.0,-80.83334,-924.0,-25.66667,2.0
1758078582.19705,37936.0,208.39185,31852.0,174.97093,-2409.0,-66.91666,-1143.0,-31.75,2.0
1758078582.19788,38047.0,209.00162,31783.0,174.59189,-1986.0,-55.16667,-1461.0,-40.58333,2.0
1758078582.21391,38137.0,209.496,31700.0,174.13596,-1565.0,-43.47222,-1824.0,-50.66667,2.0
1758078582.23095,38205.0,209.86954,31599.0,173.58115,-1185.0,-32.91667,-2116.0,-58.77778,2.0
1758078582.23165,38254.0,210.1387,31484.0,172.94942,-772.0,-21.44444,-2368.0,-65.77778,2.0
1758078582.24711,38276.0,210.25957,31358.0,172.25726,-243.0,-6.75,-2519.0,-69.97222,2.0
1758078582.25082,38276.0,210.25957,31228.0,171.54315,109.0,3.02778,-2567.0,-71.30556,2.0
1758078582.26611,38269.0,210.2211,31099.0,170.83452,205.0,5.69444,-2520.0,-70.0,2.0
1758078582.26771,38252.0,210.12772,30974.0,170.14786,412.0,11.44444,-2388.0,-66.33334,2.0
1758078582.2858,38228.0,209.99588,30857.0,169.50514,482.0,13.38889,-2226.0,-61.83333,2.0
1758078582.28754,38202.0,209.85306,30750.0,168.91737,546.0,15.16667,-1961.0,-54.47222,2.0
1758078582.30475,38168.0,209.66629,30661.0,168.42848,746.0,20.72222,-1636.0,-45.44444,2.0
1758078582.32016,38126.0,209.43558,30589.0,168.03296,981.0,27.25,-1218.0,-33.83333,2.0
1758078582.32096,38061.0,209.07852,30543.0,167.78027,1480.0,41.11111,-679.0,-18.86111,2.0
1758078582.3362,37965.0,208.55115,30531.0,167.71436,2212.0,61.44444,91.0,2.52778,2.0
1758078582.33697,37834.0,207.83154,30543.0,167.78027,2895.0,80.41666,263.0,7.30556,2.0
1758078582.35218,37669.0,206.92516,30554.0,167.8407,3496.0,97.11111,201.0,5.58333,2.0
1758078582.3682,37476.0,205.86494,30565.0,167.90112,4002.0,111.16666,166.0,4.61111,2.0
1758078582.3703,37260.0,204.67842,30568.0,167.9176,4435.0,123.19444,-9.0,-0.25,2.0
1758078582.38518,37029.0,203.40948,30566.0,167.90662,4641.0,128.91667,-72.0,-2.0,2.0
1758078582.38643,36796.0,202.12955,30560.0,167.87366,4581.0,127.25,-170.0,-4.72222,2.0
1758078582.40219,36569.0,200.88258,30547.0,167.80225,4382.0,121.72222,-359.0,-9.97222,2.0
1758078582.41822,36356.0,199.71252,30527.0,167.69237,4077.0,113.25,-371.0,-10.30556,2.0
1758078582.41982,36159.0,198.63034,30510.0,167.59898,3783.0,105.08334,-247.0,-6.86111,2.0
1758078582.43422,35973.0,197.60861,30504.0,167.56602,3578.0,99.38889,0.0,0.0,2.0
1758078582.45032,35796.0,196.63631,30510.0,167.59898,3447.0,95.75,169.0,4.69444,2.0
1758078582.45102,35620.0,195.66948,30526.0,167.68687,3455.0,95.97222,420.0,11.66667,2.0
1758078582.4662,35442.0,194.69168,30552.0,167.82971,3514.0,97.61111,552.0,15.33333,2.0
1758078582.46696,35269.0,193.74136,30572.0,167.93958,3322.0,92.27778,245.0,6.80556,2.0
