timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758088389.102,1758088386.53635,0.0,0.0,0.0,-15.46986,-24.4653,2.6929,8.77,0.42,0.64,4.0
1758088389.10309,1758088386.54635,0.0,0.0,0.0,-14.9542,-23.89234,3.03668,8.92,0.26,0.55,4.0
1758088389.10366,1758088386.55635,0.0,0.0,0.0,-14.15206,-23.20479,4.0107,9.1,0.16,0.43,4.0
1758088389.10569,1758088386.56635,0.0,0.0,0.0,-13.75099,-22.40265,4.69825,9.1,0.16,0.43,4.0
1758088389.10633,1758088386.57635,0.0,0.0,0.0,-13.46451,-21.42862,5.55769,9.29,0.15,0.44,4.0
1758088389.12385,1758088386.58635,0.0,0.0,0.0,-13.17803,-19.70975,6.41713,9.29,0.15,0.44,4.0
1758088389.12595,1758088386.59635,0.0,0.0,0.0,-12.77696,-16.84496,7.73493,9.42,0.21,0.41,4.0
1758088389.14121,1758088386.60635,0.0,0.0,0.0,-12.43318,-14.83961,8.136,9.42,0.21,0.41,4.0
1758088389.15802,1758088386.61635,0.0,0.0,0.0,-11.91752,-13.5791,8.47978,9.27,0.34,0.36,4.0
1758088389.16072,1758088386.62635,0.0,0.0,0.0,-11.34457,-12.14671,8.65166,9.27,0.34,0.36,4.0
1758088389.17702,1758088386.63635,0.0,0.0,0.0,-9.85487,-9.5684,8.70896,9.15,0.51,0.19,4.0
1758088389.18031,1758088386.64635,0.0,0.0,0.0,-8.76626,-8.99544,8.65166,8.91,0.67,0.16,4.0
1758088389.22367,1758088386.65635,0.0,0.0,0.0,-7.33386,-9.11003,8.25059,8.91,0.67,0.16,4.0
1758088389.22563,1758088386.66635,0.0,0.0,0.0,-4.92744,-10.19865,7.16197,8.63,0.75,0.08,4.0
1758088389.22625,1758088386.67635,0.0,0.0,0.0,-3.20856,-13.17803,6.41713,8.63,0.75,0.08,4.0
1758088389.22834,1758088386.68635,0.0,0.0,0.0,-1.60428,-15.46986,5.72958,8.33,0.74,-0.04,4.0
1758088389.22893,1758088386.69635,0.0,0.0,0.0,-0.0573,-18.33465,5.15662,8.33,0.74,-0.04,4.0
1758088389.24503,1758088386.70635,0.0,0.0,0.0,1.94806,-22.74642,4.69825,7.86,0.72,-0.27,4.0
1758088389.24617,1758088386.71635,0.0,0.0,0.0,3.09397,-26.01229,4.64096,7.34,0.67,-0.33,4.0
1758088389.26125,1758088386.72635,0.0,0.0,0.0,3.83882,-28.59059,4.87014,7.34,0.67,-0.33,4.0
1758088389.27888,1758088386.73635,0.0,0.0,0.0,4.35448,-28.01764,5.72958,7.14,0.77,-0.17,4.0
1758088389.28134,1758088386.74635,0.0,0.0,0.0,3.38045,-23.83505,5.50039,7.14,0.77,-0.17,4.0
1758088389.29967,1758088386.75635,0.0,0.0,0.0,2.57831,-24.80907,5.61499,6.97,1.01,0.03,4.0
1758088389.3049,1758088386.76635,0.0,0.0,0.0,1.66158,-27.78845,5.84417,6.97,1.01,0.03,4.0
1758088389.3053,1758088386.77635,0.0,0.0,0.0,1.14592,-31.74186,6.24524,5.95,1.18,0.34,4.0
1758088389.32058,1758088386.78635,0.0,0.0,0.0,0.45837,-36.38282,6.41713,6.11,1.04,0.95,4.0
1758088389.33627,1758088386.79635,0.0,0.0,0.0,0.22918,-43.54479,4.35448,6.11,1.04,0.95,4.0
1758088389.33805,1758088386.80635,0.0,0.0,0.0,0.17189,-47.95657,0.40107,7.92,-0.05,2.51,4.0
1758088389.35563,1758088386.81635,0.0,0.0,0.0,1.94806,-45.43555,-2.86479,7.92,-0.05,2.51,4.0
1758088389.3566,1758088386.82635,0.0,0.0,0.0,5.72958,-34.43476,-10.48513,13.53,-1.47,5.18,4.0
1758088389.37391,1758088386.83635,0.0,0.0,0.0,10.19865,-26.81443,-14.49583,13.53,-1.47,5.18,4.0
1758088389.37473,1758088386.84635,0.0,0.0,0.0,17.18874,-39.99245,-13.06344,17.21,-3.62,5.41,4.0
1758088389.3909,1758088386.85635,0.0,0.0,0.0,26.24147,-71.90621,-4.87014,17.21,-3.62,5.41,4.0
1758088389.406,1758088386.86635,0.0,0.0,0.0,38.84654,-83.93832,2.00535,12.78,-5.46,3.46,4.0
1758088389.41141,1758088386.87635,0.0,0.0,0.0,45.14908,-66.11933,7.10468,18.26,-6.57,0.27,4.0
1758088389.42601,1758088386.88635,0.0,0.0,0.0,48.70141,-48.64412,9.39651,18.26,-6.57,0.27,4.0
1758088389.43117,1758088386.89635,0.0,0.0,0.0,49.21708,-33.51803,12.08941,19.08,-5.21,-0.28,4.0
1758088389.44598,1758088386.90635,0.0,0.0,0.0,47.89928,-11.57375,13.06344,19.08,-5.21,-0.28,4.0
1758088389.45117,1758088386.91635,0.0,0.0,0.0,47.49821,11.45916,15.24068,16.7,-2.43,-0.26,4.0
1758088389.46602,1758088386.92635,0.0,0.0,0.0,46.86795,26.06958,17.30333,16.7,-2.43,-0.26,4.0
1758088389.47139,1758088386.93635,0.0,0.0,0.0,42.91454,35.86716,18.56383,14.65,-0.96,-0.29,4.0
1758088389.48593,1758088386.94635,0.0,0.0,0.0,38.15899,38.27358,18.10547,14.76,-0.18,1.11,4.0
1758088389.48879,1758088386.95635,0.0,0.0,0.0,32.42941,43.14373,14.32395,14.76,-0.18,1.11,4.0
1758088389.50598,1758088386.96635,0.0,0.0,0.0,26.87172,51.10783,8.136,15.51,-0.28,0.46,4.0
