timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758089444.55145,1758089434.42154,0.0,0.0,0.0,0.40107,-18.9649,4.18259,8.07,1.46,1.11,4.0
1758089444.56796,1758089434.43154,0.0,0.0,0.0,-1.48969,-19.13679,4.87014,8.07,1.46,1.11,4.0
1758089444.56912,1758089434.44154,0.0,0.0,0.0,-3.38045,-17.53251,5.61499,8.27,1.34,1.21,4.0
1758089444.58356,1758089434.45154,0.0,0.0,0.0,-6.13065,-14.72501,6.7609,8.41,1.19,1.38,4.0
1758089444.58876,1758089434.46154,0.0,0.0,0.0,-7.73493,-13.5791,6.99009,8.41,1.19,1.38,4.0
1758089444.60367,1758089434.47154,0.0,0.0,0.0,-9.33921,-12.83425,7.16197,8.42,1.1,1.36,4.0
1758089444.60923,1758089434.48154,0.0,0.0,0.0,-10.8862,-12.43318,7.50575,8.42,1.1,1.36,4.0
1758089444.62366,1758089434.49154,0.0,0.0,0.0,-13.23533,-11.97482,8.59437,8.51,1.07,1.12,4.0
1758089444.6289,1758089434.50154,0.0,0.0,0.0,-14.9542,-12.14671,9.85487,8.51,1.07,1.12,4.0
1758089444.64371,1758089434.51154,0.0,0.0,0.0,-16.61578,-13.06344,11.11538,8.61,1.01,0.97,4.0
1758089444.64919,1758089434.52154,0.0,0.0,0.0,-18.56383,-15.06879,13.69369,8.61,1.01,0.97,4.0
1758089444.66368,1758089434.53154,0.0,0.0,0.0,-21.7724,-18.50654,15.58445,8.48,0.9,0.9,4.0
1758089444.66491,1758089434.54154,0.0,0.0,0.0,-24.00693,-20.45459,17.01685,8.53,0.83,0.75,4.0
1758089444.68356,1758089434.55154,0.0,0.0,0.0,-26.24147,-22.97561,18.62113,8.53,0.83,0.75,4.0
1758089444.68932,1758089434.56154,0.0,0.0,0.0,-29.67921,-26.98631,20.45459,8.4,0.82,0.81,4.0
1758089444.70642,1758089434.57154,0.0,0.0,0.0,-31.16891,-29.33544,20.97026,8.4,0.82,0.81,4.0
1758089444.7117,1758089434.58154,0.0,0.0,0.0,-32.20023,-32.6013,21.42862,8.33,0.82,0.9,4.0
1758089444.72751,1758089434.59154,0.0,0.0,0.0,-32.54401,-35.00772,21.7151,8.33,0.82,0.9,4.0
1758089444.72874,1758089434.60154,0.0,0.0,0.0,-32.25753,-34.14828,21.7724,8.29,0.79,1.01,4.0
1758089444.74398,1758089434.61154,0.0,0.0,0.0,-31.62727,-33.9764,22.11617,8.36,0.89,1.17,4.0
1758089444.7521,1758089434.62154,0.0,0.0,0.0,-30.65324,-33.11696,22.74642,8.36,0.89,1.17,4.0
1758089444.75426,1758089434.63154,0.0,0.0,0.0,-29.50733,-30.65324,22.91831,8.25,0.89,1.18,4.0
1758089444.77208,1758089434.64154,0.0,0.0,0.0,-27.61657,-30.02299,23.49127,8.25,0.89,1.18,4.0
1758089444.78774,1758089434.65154,0.0,0.0,0.0,-26.52795,-29.96569,23.37668,7.71,0.58,0.85,4.0
1758089444.78906,1758089434.66154,0.0,0.0,0.0,-25.55392,-30.13758,23.31938,7.71,0.58,0.85,4.0
1758089444.80405,1758089434.67154,0.0,0.0,0.0,-24.86637,-30.25217,22.97561,7.17,0.28,0.7,4.0
1758089444.80888,1758089434.68154,0.0,0.0,0.0,-23.26209,-30.13758,23.0902,6.65,-0.01,0.55,4.0
1758089444.82367,1758089434.69154,0.0,0.0,0.0,-21.42862,-30.88243,23.26209,6.65,-0.01,0.55,4.0
