timeStamp,motor_angle_L_uint16,motor_angle_L_float,motor_angle_R_uint16,motor_angle_R_float,motor_vel_L_int16,motor_vel_L_float,motor_vel_R_int16,motor_vel_R_float,flag_num
1758089444.53563,38378.0,210.81987,36713.0,201.6736,1572.0,43.66667,0.0,0.0,4.0
1758089444.55201,38295.0,210.36394,36713.0,201.6736,1696.0,47.11111,0.0,0.0,4.0
1758089444.5683,38205.0,209.86954,36713.0,201.6736,1849.0,51.36111,0.0,0.0,4.0
1758089444.56938,38107.0,209.33121,36713.0,201.6736,1995.0,55.41667,0.0,0.0,4.0
1758089444.58496,38002.0,208.75439,36713.0,201.6736,2122.0,58.94444,0.0,0.0,4.0
1758089444.58881,37890.0,208.13916,36713.0,201.6736,2267.0,62.97222,0.0,0.0,4.0
1758089444.60502,37773.0,207.49646,36713.0,201.6736,2361.0,65.58334,0.0,0.0,4.0
1758089444.60948,37649.0,206.81529,36713.0,201.6736,2515.0,69.86111,0.0,0.0,4.0
1758089444.62504,37517.0,206.09019,36713.0,201.6736,2689.0,74.69444,0.0,0.0,4.0
1758089444.62905,37375.0,205.31013,36713.0,201.6736,2893.0,80.36111,0.0,0.0,4.0
1758089444.64536,37224.0,204.48065,36713.0,201.6736,3072.0,85.33334,0.0,0.0,4.0
1758089444.64944,37064.0,203.60175,36713.0,201.6736,3239.0,89.97222,0.0,0.0,4.0
1758089444.66428,36896.0,202.67886,36713.0,201.6736,3384.0,94.0,0.0,0.0,4.0
1758089444.66507,36721.0,201.71754,36713.0,201.6736,3533.0,98.13889,0.0,0.0,4.0
1758089444.68386,36539.0,200.71779,36713.0,201.6736,3688.0,102.44444,0.0,0.0,4.0
1758089444.68969,36350.0,199.67957,36713.0,201.6736,3747.0,104.08334,0.0,0.0,4.0
1758089444.7086,36160.0,198.63583,36713.0,201.6736,3738.0,103.83334,0.0,0.0,4.0
1758089444.71186,35971.0,197.59763,36713.0,201.6736,3712.0,103.11111,-7.0,-0.19444,4.0
1758089444.72808,35783.0,196.5649,36712.0,201.66811,3711.0,103.08334,-19.0,-0.52778,4.0
1758089444.7289,35596.0,195.53764,36711.0,201.66261,3715.0,103.19444,-12.0,-0.33333,4.0
1758089444.74745,35410.0,194.5159,36711.0,201.66261,3645.0,101.25,0.0,0.0,4.0
1758089444.75235,35229.0,193.52164,36711.0,201.66261,3523.0,97.86111,0.0,0.0,4.0
1758089444.75484,35053.0,192.55482,36711.0,201.66261,3396.0,94.33334,0.0,0.0,4.0
1758089444.77304,34884.0,191.62645,36711.0,201.66261,3319.0,92.19444,2.0,0.05556,4.0
1758089444.78876,34719.0,190.72008,36712.0,201.66811,3239.0,89.97222,0.0,0.0,4.0
1758089444.78914,34558.0,189.83566,36712.0,201.66811,3117.0,86.58334,4.0,0.11111,4.0
1758089444.80591,34404.0,188.98969,36712.0,201.66811,3005.0,83.47222,0.0,0.0,4.0
1758089444.80902,34257.0,188.18219,36712.0,201.66811,2844.0,79.0,0.0,0.0,4.0
1758089444.8259,34119.0,187.42412,36712.0,201.66811,2658.0,73.83334,0.0,0.0,4.0
1758089444.82909,33988.0,186.70451,36712.0,201.66811,2511.0,69.75,0.0,0.0,4.0
1758089444.84596,33866.0,186.03433,36712.0,201.66811,2327.0,64.63889,0.0,0.0,4.0
1758089444.84929,33752.0,185.40811,36712.0,201.66811,2162.0,60.05556,0.0,0.0,4.0
1758089444.86597,33649.0,184.84229,36714.0,201.67909,1965.0,54.58333,114.0,3.16667,4.0
1758089444.86926,33556.0,184.33142,36721.0,201.71754,1718.0,47.72222,209.0,5.80556,4.0
1758089444.88435,33475.0,183.88647,36747.0,201.86038,1449.0,40.25,780.0,21.66667,4.0
1758089444.88837,33407.0,183.51292,36810.0,202.20645,1286.0,35.72222,1582.0,43.94444,4.0
1758089444.90432,33351.0,183.20531,36910.0,202.75577,912.0,25.33333,2264.0,62.88889,4.0
1758089444.90677,33326.0,183.06798,37041.0,203.4754,137.0,3.80556,2865.0,79.58334,4.0
