timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758089393.75467,1758089383.80159,0.0,0.0,0.0,8.88085,26.35606,-7.21927,10.4,-2.4,1.57,3.0
1758089393.75585,1758089383.81159,0.0,0.0,0.0,8.88085,27.50197,-6.87549,9.89,-2.26,1.34,3.0
1758089393.77145,1758089383.82159,0.0,0.0,0.0,8.70896,29.9084,-6.47442,9.89,-2.26,1.34,3.0
1758089393.7876,1758089383.83159,0.0,0.0,0.0,8.47978,31.97105,-5.95876,9.42,-2.03,1.21,3.0
1758089393.78966,1758089383.84159,0.0,0.0,0.0,8.42248,33.23156,-5.61499,9.42,-2.03,1.21,3.0
1758089393.80464,1758089383.85159,0.0,0.0,0.0,8.42248,34.37747,-5.15662,8.83,-1.78,1.35,3.0
1758089393.80589,1758089383.86159,0.0,0.0,0.0,8.25059,33.23156,-5.15662,8.83,-1.78,1.35,3.0
1758089393.82069,1758089383.87159,0.0,0.0,0.0,7.62034,27.33009,-5.15662,8.29,-1.49,1.61,3.0
1758089393.83695,1758089383.88159,0.0,0.0,0.0,5.95876,18.56383,-5.21392,7.79,-1.18,1.95,3.0
1758089393.83865,1758089383.89159,0.0,0.0,0.0,3.55234,6.18794,-3.26586,7.79,-1.18,1.95,3.0
1758089393.85368,1758089383.90159,0.0,0.0,0.0,0.80214,-0.97403,0.0573,8.31,-0.98,2.28,3.0
1758089393.8549,1758089383.91159,0.0,0.0,0.0,-4.35448,2.6929,2.92208,8.31,-0.98,2.28,3.0
1758089393.87148,1758089383.92159,0.0,0.0,0.0,-7.50575,5.90147,2.29183,9.84,-0.75,1.79,3.0
1758089393.88769,1758089383.93159,0.0,0.0,0.0,-10.08406,5.55769,0.45837,9.84,-0.75,1.79,3.0
1758089393.88894,1758089383.94159,0.0,0.0,0.0,-12.204,3.89611,-2.7502,9.19,-0.75,1.4,3.0
1758089393.90404,1758089383.95159,0.0,0.0,0.0,-13.5218,7.16197,-10.8862,10.06,-1.19,1.64,3.0
1758089393.90492,1758089383.96159,0.0,0.0,0.0,-12.77696,9.22462,-16.3293,10.06,-1.19,1.64,3.0
1758089393.92072,1758089383.97159,0.0,0.0,0.0,-10.8289,9.91217,-20.79837,11.02,-1.76,2.12,3.0
1758089393.93671,1758089383.98159,0.0,0.0,0.0,-7.79223,10.8862,-24.75178,11.02,-1.76,2.12,3.0
1758089393.93796,1758089383.99159,0.0,0.0,0.0,-6.07335,15.06879,-26.01229,12.35,-2.33,3.15,3.0
1758089393.95284,1758089384.00159,0.0,0.0,0.0,-5.27121,18.50654,-25.72581,12.35,-2.33,3.15,3.0
1758089393.96898,1758089384.01159,0.0,0.0,0.0,-4.81285,22.74642,-24.17882,13.65,-2.74,3.41,3.0
1758089393.96994,1758089384.02159,0.0,0.0,0.0,-4.87014,30.59595,-21.37133,13.65,-2.74,3.41,3.0
1758089393.98475,1758089384.03159,0.0,0.0,0.0,-4.64096,33.63263,-19.99623,14.5,-2.86,3.82,3.0
1758089393.98591,1758089384.04159,0.0,0.0,0.0,-3.95341,34.60666,-18.79302,14.59,-2.64,3.96,3.0
1758089394.00076,1758089384.05159,0.0,0.0,0.0,-2.92208,34.43476,-18.10547,14.59,-2.64,3.96,3.0
1758089394.01697,1758089384.06159,0.0,0.0,0.0,-1.71887,34.43476,-18.9649,14.6,-2.42,4.37,3.0
1758089394.01795,1758089384.07159,0.0,0.0,0.0,-0.85944,32.71589,-20.51189,14.6,-2.42,4.37,3.0
1758089394.033,1758089384.08159,0.0,0.0,0.0,-0.17189,29.9084,-22.68913,14.27,-2.18,4.7,3.0
1758089394.04867,1758089384.09159,0.0,0.0,0.0,0.85944,25.38203,-25.09555,14.27,-2.18,4.7,3.0
1758089394.04989,1758089384.10159,0.0,0.0,0.0,2.7502,16.04282,-27.84575,13.26,-2.05,4.96,3.0
1758089394.06562,1758089384.11159,0.0,0.0,0.0,4.35448,8.93814,-28.93437,11.73,-2.02,4.6,3.0
1758089394.07002,1758089384.12159,0.0,0.0,0.0,5.95876,1.83346,-29.10626,11.73,-2.02,4.6,3.0
1758089394.08589,1758089384.13159,0.0,0.0,0.0,7.62034,-4.81285,-28.87707,10.15,-1.97,4.32,3.0
1758089394.08998,1758089384.14159,0.0,0.0,0.0,10.02676,-14.09476,-27.50197,10.15,-1.97,4.32,3.0
1758089394.10558,1758089384.15159,0.0,0.0,0.0,11.34457,-20.3973,-26.81443,8.63,-1.81,4.15,3.0
1758089394.10749,1758089384.16159,0.0,0.0,0.0,12.71966,-26.18417,-25.43933,8.63,-1.81,4.15,3.0
1758089394.12357,1758089384.17159,0.0,0.0,0.0,13.5218,-31.62727,-24.29341,7.37,-1.38,3.79,3.0
1758089394.12558,1758089384.18159,0.0,0.0,0.0,14.20935,-39.24761,-23.31938,6.48,-0.77,3.5,3.0
1758089394.14916,1758089384.19159,0.0,0.0,0.0,14.15206,-45.14908,-22.97561,6.48,-0.77,3.5,3.0
1758089394.15912,1758089384.20159,0.0,0.0,0.0,13.46451,-49.79003,-22.97561,5.99,-0.08,3.17,3.0
1758089394.16129,1758089384.21159,0.0,0.0,0.0,11.63104,-53.91533,-23.66316,5.99,-0.08,3.17,3.0
1758089394.17802,1758089384.22159,0.0,0.0,0.0,10.08406,-56.49364,-24.12152,6.03,0.43,2.9,3.0
1758089394.17901,1758089384.23159,0.0,0.0,0.0,8.59437,-57.23849,-23.94964,6.03,0.43,2.9,3.0
1758089394.19396,1758089384.24159,0.0,0.0,0.0,7.67763,-56.20716,-22.86102,6.31,0.76,2.64,3.0
1758089394.19525,1758089384.25159,0.0,0.0,0.0,6.87549,-53.68615,-20.85567,6.31,0.76,2.58,3.0
