timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758089303.81177,1758089293.86168,0.0,0.0,0.0,-37.58603,-24.4653,8.76626,9.93,1.1,-0.4,2.0
1758089303.82744,1758089293.87168,0.0,0.0,0.0,-38.73195,-22.68913,9.39651,9.93,1.1,-0.4,2.0
1758089303.84388,1758089293.88168,0.0,0.0,0.0,-40.50812,-16.61578,11.11538,10.17,1.05,-0.35,2.0
1758089303.84617,1758089293.89168,0.0,0.0,0.0,-41.31026,-11.86023,12.43318,10.17,1.05,-0.35,2.0
1758089303.86087,1758089293.90168,0.0,0.0,0.0,-41.65404,-10.94349,14.03747,10.65,1.0,0.61,2.0
1758089303.86186,1758089293.91168,0.0,0.0,0.0,-41.94051,-15.64175,13.86558,10.65,1.0,0.61,2.0
1758089303.87827,1758089293.92168,0.0,0.0,0.0,-40.62271,-24.63719,13.17803,11.09,0.8,1.6,2.0
1758089303.89371,1758089293.93168,0.0,0.0,0.0,-38.21629,-30.13758,11.17268,12.65,0.26,2.28,2.0
1758089303.89486,1758089293.94168,0.0,0.0,0.0,-35.2942,-29.67921,9.28192,12.65,0.26,2.28,2.0
1758089303.90968,1758089293.95168,0.0,0.0,0.0,-32.54401,-24.00693,6.47442,15.29,-0.69,2.65,2.0
1758089303.91193,1758089293.96168,0.0,0.0,0.0,-28.07493,-24.29341,0.74485,15.29,-0.69,2.65,2.0
1758089303.92664,1758089293.97168,0.0,0.0,0.0,-26.41335,-26.41335,-2.86479,14.57,-1.42,1.71,2.0
1758089303.94289,1758089293.98168,0.0,0.0,0.0,-24.86637,-21.60051,-3.72423,14.57,-1.42,1.71,2.0
1758089303.94389,1758089293.99168,0.0,0.0,0.0,-24.12152,-18.73572,-2.00535,12.38,-0.95,0.59,2.0
1758089303.95868,1758089294.00168,0.0,0.0,0.0,-23.60586,-15.46986,2.46372,9.86,-0.35,0.61,2.0
1758089303.96008,1758089294.01168,0.0,0.0,0.0,-23.37668,-12.204,5.78687,9.86,-0.35,0.61,2.0
1758089303.97572,1758089294.02168,0.0,0.0,0.0,-23.60586,-9.33921,7.50575,9.29,0.21,1.5,2.0
1758089303.99205,1758089294.03168,0.0,0.0,0.0,-24.12152,-6.58902,8.0787,9.29,0.21,1.5,2.0
1758089303.9929,1758089294.04168,0.0,0.0,0.0,-24.98096,-5.15662,6.70361,8.75,0.08,1.4,2.0
1758089304.00759,1758089294.05168,0.0,0.0,0.0,-25.72581,-3.32316,5.78687,8.75,0.08,1.4,2.0
1758089304.0096,1758089294.06168,0.0,0.0,0.0,-26.81443,-4.98473,4.35448,8.21,-0.26,1.42,2.0
1758089304.02599,1758089294.07168,0.0,0.0,0.0,-28.01764,-4.92744,2.92208,8.21,-0.26,1.42,2.0
1758089304.04194,1758089294.08168,0.0,0.0,0.0,-28.99167,-0.40107,2.29183,7.87,-0.57,1.44,2.0
1758089304.04291,1758089294.09168,0.0,0.0,0.0,-29.9084,4.18259,1.66158,8.6,-1.02,1.64,2.0
1758089304.05769,1758089294.10168,0.0,0.0,0.0,-30.48136,6.7609,1.83346,8.6,-1.02,1.64,2.0
1758089304.0737,1758089294.11168,0.0,0.0,0.0,-29.33544,9.68299,2.92208,8.73,-1.46,1.69,2.0
1758089304.07523,1758089294.12168,0.0,0.0,0.0,-27.73116,11.57375,3.95341,8.73,-1.46,1.69,2.0
1758089304.08967,1758089294.13168,0.0,0.0,0.0,-25.26744,14.32395,5.27121,9.21,-1.75,1.35,2.0
1758089304.092,1758089294.14168,0.0,0.0,0.0,-22.34536,17.36062,6.53172,9.21,-1.75,1.35,2.0
1758089304.10775,1758089294.15168,0.0,0.0,0.0,-18.50654,18.62113,7.96411,9.81,-1.9,1.21,2.0
1758089304.12358,1758089294.16168,0.0,0.0,0.0,-16.84496,18.79302,8.02141,10.19,-1.83,1.1,2.0
1758089304.12559,1758089294.17168,0.0,0.0,0.0,-15.92823,20.11082,7.44845,10.19,-1.83,1.1,2.0
1758089304.14095,1758089294.18168,0.0,0.0,0.0,-15.87093,20.85567,6.18794,10.83,-1.77,0.98,2.0
1758089304.14186,1758089294.19168,0.0,0.0,0.0,-16.55848,21.14215,4.18259,10.83,-1.77,0.98,2.0
1758089304.15669,1758089294.20168,0.0,0.0,0.0,-17.87628,21.7151,2.92208,10.81,-1.45,0.82,2.0
1758089304.1737,1758089294.21168,0.0,0.0,0.0,-19.19409,22.28806,1.77617,10.81,-1.45,0.82,2.0
1758089304.17486,1758089294.22168,0.0,0.0,0.0,-20.85567,22.86102,1.20321,10.59,-1.14,0.84,2.0
1758089304.18967,1758089294.23168,0.0,0.0,0.0,-22.68913,23.60586,1.20321,10.33,-1.03,1.03,2.0
1758089304.19199,1758089294.24168,0.0,0.0,0.0,-23.66316,23.26209,1.08862,10.33,-1.03,1.03,2.0
1758089304.20668,1758089294.25168,0.0,0.0,0.0,-24.12152,23.0329,1.3751,10.01,-0.99,1.0,2.0
1758089304.22265,1758089294.26168,0.0,0.0,0.0,-24.17882,22.63183,1.60428,10.01,-0.99,1.0,2.0
1758089304.22416,1758089294.27168,0.0,0.0,0.0,-23.72045,21.48592,1.48969,9.75,-1.1,0.91,2.0
1758089304.2387,1758089294.28168,0.0,0.0,0.0,-22.91831,20.51189,1.77617,9.75,-1.1,0.91,2.0
1758089304.23988,1758089294.29168,0.0,0.0,0.0,-22.05888,19.59516,1.83346,9.44,-1.34,0.82,2.0
1758089304.25564,1758089294.30168,0.0,0.0,0.0,-20.97026,18.10547,1.66158,9.28,-1.34,0.71,2.0
1758089304.2717,1758089294.31168,0.0,0.0,0.0,-20.34,16.95955,1.48969,9.28,-1.45,0.71,2.0
1758089304.27289,1758089294.32168,0.0,0.0,0.0,-19.76705,15.75634,1.43239,9.24,-1.41,0.71,2.0
1758089304.2879,1758089294.33168,0.0,0.0,0.0,-19.19409,14.03747,1.08862,9.24,-1.41,0.71,2.0
