timeStamp,motor_angle_L_uint16,motor_angle_L_float,motor_angle_R_uint16,motor_angle_R_float,motor_vel_L_int16,motor_vel_L_float,motor_vel_R_int16,motor_vel_R_float,flag_num
1758089303.81116,36296.0,199.38293,31317.0,172.03204,2463.0,68.41666,-1085.0,-30.13889,2.0
1758089303.81182,36171.0,198.69626,31268.0,171.76288,2464.0,68.44444,-934.0,-25.94444,2.0
1758089303.82884,36045.0,198.00412,31223.0,171.51569,2505.0,69.58334,-812.0,-22.55556,2.0
1758089303.84424,35914.0,197.2845,31187.0,171.31793,2642.0,73.38889,-613.0,-17.02778,2.0
1758089303.84634,35772.0,196.50447,31165.0,171.19707,2946.0,81.83334,-287.0,-7.97222,2.0
1758089303.86125,35614.0,195.63652,31161.0,171.17509,3253.0,90.36111,83.0,2.30556,2.0
1758089303.862,35442.0,194.69168,31170.0,171.22455,3515.0,97.63889,249.0,6.91667,2.0
1758089303.87883,35255.0,193.66446,31191.0,171.3399,3775.0,104.86111,505.0,14.02778,2.0
1758089303.89425,35055.0,192.56581,31225.0,171.52667,4083.0,113.41666,811.0,22.52778,2.0
1758089303.89499,34838.0,191.37376,31268.0,171.76288,4418.0,122.72222,843.0,23.41667,2.0
1758089303.91027,34612.0,190.13229,31309.0,171.9881,4404.0,122.33334,733.0,20.36111,2.0
1758089303.91218,34401.0,188.97321,31341.0,172.16388,3893.0,108.13889,496.0,13.77778,2.0
1758089303.92723,34227.0,188.0174,31353.0,172.2298,3128.0,86.88889,55.0,1.52778,2.0
1758089303.94324,34087.0,187.24834,31351.0,172.21881,2501.0,69.47222,-46.0,-1.27778,2.0
1758089303.94405,33972.0,186.61662,31352.0,172.2243,2120.0,58.88889,50.0,1.38889,2.0
1758089303.95925,33868.0,186.04532,31359.0,172.26276,1993.0,55.36111,268.0,7.44444,2.0
1758089303.96049,33763.0,185.46854,31386.0,172.41107,2146.0,59.61111,735.0,20.41667,2.0
1758089303.97629,33647.0,184.8313,31442.0,172.7187,2415.0,67.08334,1447.0,40.19444,2.0
