timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758074616.24339,1758074615.99377,0.0,0.0,0.0,19.42327,-10.8289,-15.29797,9.03,0.47,5.8,6.0
1758074616.24541,1758074616.00377,0.0,0.0,0.0,18.50654,-9.68299,-12.89155,8.66,0.22,5.81,6.0
1758074616.2604,1758074616.01377,0.0,0.0,0.0,17.47521,-8.93814,-12.08941,8.66,0.22,5.81,6.0
1758074616.27866,1758074616.02377,0.0,0.0,0.0,16.50119,-8.59437,-13.12073,8.43,-0.2,5.32,6.0
1758074616.28054,1758074616.03377,0.0,0.0,0.0,15.41257,-7.79223,-16.21471,8.43,-0.2,5.32,6.0
1758074616.29543,1758074616.04377,0.0,0.0,0.0,15.87093,-7.10468,-18.44924,8.41,-0.29,5.32,6.0
1758074616.30012,1758074616.05377,0.0,0.0,0.0,17.18874,-6.41713,-20.45459,8.41,-0.29,5.32,6.0
1758074616.3157,1758074616.06377,0.0,0.0,0.0,19.42327,-5.55769,-22.28806,8.52,-0.32,5.21,6.0
1758074616.31745,1758074616.07377,0.0,0.0,0.0,24.23611,-3.72423,-23.31938,8.58,-0.42,5.04,6.0
1758074616.33245,1758074616.08377,0.0,0.0,0.0,28.01764,-2.29183,-22.91831,8.58,-0.42,5.04,6.0
1758074616.33599,1758074616.09377,0.0,0.0,0.0,31.85646,-0.85944,-21.42862,8.45,-0.48,4.54,6.0
1758074616.3515,1758074616.10377,0.0,0.0,0.0,37.01308,2.00535,-17.53251,8.45,-0.48,4.54,6.0
1758074616.36989,1758074616.11377,0.0,0.0,0.0,39.19032,2.40642,-14.09476,8.25,-0.35,4.28,6.0
1758074616.3711,1758074616.12377,0.0,0.0,0.0,41.08107,2.46372,-10.8289,8.25,-0.35,4.28,6.0
1758074616.38969,1758074616.13377,0.0,0.0,0.0,42.34158,2.86479,-7.62034,7.83,0.03,4.16,6.0
1758074616.39093,1758074616.14377,0.0,0.0,0.0,43.02913,2.92208,-3.38045,7.83,0.03,4.16,6.0
1758074616.40839,1758074616.15377,0.0,0.0,0.0,42.62806,2.92208,-1.48969,7.75,0.49,4.14,6.0
1758074616.4101,1758074616.16377,0.0,0.0,0.0,41.99781,2.92208,-0.17189,7.71,0.78,4.0,6.0
1758074616.4258,1758074616.17377,0.0,0.0,0.0,40.85189,2.29183,0.97403,7.71,0.78,4.0,6.0
1758074616.42676,1758074616.18377,0.0,0.0,0.0,38.50277,0.45837,0.97403,7.57,0.83,4.0,6.0
1758074616.4452,1758074616.19377,0.0,0.0,0.0,36.95578,-1.48969,1.43239,7.57,0.83,4.0,6.0
1758074616.44709,1758074616.20377,0.0,0.0,0.0,35.3515,-3.89611,1.71887,7.49,0.83,3.89,6.0
1758074616.46385,1758074616.21377,0.0,0.0,0.0,33.40344,-6.87549,1.60428,7.49,0.83,3.89,6.0
1758074616.46478,1758074616.22377,0.0,0.0,0.0,28.70519,-8.42248,0.34377,7.49,0.9,3.68,6.0
1758074616.47993,1758074616.23377,0.0,0.0,0.0,25.72581,-9.22462,-0.22918,7.68,1.32,3.55,6.0
1758074616.49558,1758074616.24377,0.0,0.0,0.0,22.28806,-9.68299,-1.43239,7.68,1.32,3.55,6.0
1758074616.49707,1758074616.25377,0.0,0.0,0.0,18.9649,-10.19865,-2.29183,7.63,1.74,3.54,6.0
1758074616.51347,1758074616.26377,0.0,0.0,0.0,14.49583,-11.11538,-2.63561,7.63,1.74,3.54,6.0
1758074616.51598,1758074616.27377,0.0,0.0,0.0,12.204,-11.57375,-2.29183,7.64,1.78,3.43,6.0
1758074616.53269,1758074616.28377,0.0,0.0,0.0,10.37054,-11.17268,-1.3751,7.64,1.78,3.43,6.0
1758074616.5347,1758074616.29377,0.0,0.0,0.0,8.99544,-11.11538,1.03132,7.84,1.51,3.31,6.0
1758074616.55526,1758074616.30377,0.0,0.0,0.0,7.33386,-11.11538,2.57831,7.99,1.07,3.2,6.0
1758074616.55621,1758074616.31377,0.0,0.0,0.0,6.24524,-11.34457,3.89611,7.99,1.07,3.2,6.0
1758074616.57401,1758074616.32377,0.0,0.0,0.0,4.87014,-11.45916,5.15662,8.15,0.75,3.13,6.0
1758074616.57632,1758074616.33377,0.0,0.0,0.0,2.34913,-11.45916,6.07335,8.15,0.75,3.13,6.0
1758074616.59596,1758074616.34377,0.0,0.0,0.0,0.51566,-11.11538,6.41713,8.14,0.77,3.05,6.0
1758074616.59708,1758074616.35377,0.0,0.0,0.0,-1.43239,-10.48513,6.24524,8.14,0.77,3.05,6.0
1758074616.61601,1758074616.36377,0.0,0.0,0.0,-3.66693,-11.28727,6.24524,8.13,0.96,3.06,6.0
1758074616.67604,1758074616.37377,0.0,0.0,0.0,-6.8182,-11.45916,5.55769,8.34,0.96,3.06,6.0
1758074616.7043,1758074616.38377,0.0,0.0,0.0,-9.62569,-11.34457,5.32851,8.34,1.05,3.06,6.0
1758074616.73096,1758074616.39377,0.0,0.0,0.0,-12.204,-10.02676,5.09932,8.75,1.06,3.05,6.0
1758074616.7357,1758074616.40377,0.0,0.0,0.0,-15.06879,-8.02141,5.50039,8.75,1.06,3.05,6.0
1758074616.7408,1758074616.41377,0.0,0.0,0.0,-19.82434,-1.83346,6.47442,9.12,1.05,3.11,6.0
1758074616.74248,1758074616.42377,0.0,0.0,0.0,-23.26209,2.63561,6.07335,9.12,1.05,3.11,6.0
1758074616.7458,1758074616.43377,0.0,0.0,0.0,-26.24147,2.40642,5.90147,9.04,1.06,3.32,6.0
1758074616.75046,1758074616.44377,0.0,0.0,0.0,-29.50733,0.68755,4.18259,9.04,1.06,3.32,6.0
1758074616.75121,1758074616.45377,0.0,0.0,0.0,-33.00237,-6.47442,2.86479,8.47,1.2,3.22,6.0
1758074616.75553,1758074616.46377,0.0,0.0,0.0,-35.00772,-10.65701,1.60428,8.67,1.46,2.84,6.0
1758074616.75632,1758074616.47377,0.0,0.0,0.0,-37.12767,-13.69369,0.11459,8.67,1.46,2.84,6.0
1758074616.76064,1758074616.48377,0.0,0.0,0.0,-38.61736,-16.90226,-1.3178,9.04,1.57,2.72,6.0
1758074616.76497,1758074616.49377,0.0,0.0,0.0,-40.27893,-23.49127,-4.52637,9.04,1.57,2.72,6.0
1758074616.76969,1758074616.50377,0.0,0.0,0.0,-40.39353,-33.11696,-5.21392,8.89,1.26,2.8,6.0
1758074616.77023,1758074616.51377,0.0,0.0,0.0,-39.70598,-39.53409,-6.47442,8.89,1.26,2.8,6.0
1758074616.77468,1758074616.52377,0.0,0.0,0.0,-37.47144,-43.60209,-5.84417,9.16,0.77,2.39,6.0
