timeStamp,motor_angle_L_uint16,motor_angle_L_float,motor_angle_R_uint16,motor_angle_R_float,motor_vel_L_int16,motor_vel_L_float,motor_vel_R_int16,motor_vel_R_float,flag_num
1758074568.7964,33116.0,181.91438,37219.0,204.45319,-1401.0,-38.91667,-2485.0,-69.02778,6.0
1758074568.79899,33209.0,182.42528,37073.0,203.65118,-2189.0,-60.80556,-3148.0,-87.44444,6.0
1758074568.81524,33346.0,183.17784,36894.0,202.66788,-3040.0,-84.44444,-3788.0,-105.22222,6.0
1758074568.81824,33521.0,184.13916,36690.0,201.54726,-3795.0,-105.41666,-4180.0,-116.11111,6.0
1758074568.83514,33729.0,185.28177,36476.0,200.3717,-4309.0,-119.69444,-4228.0,-117.44444,6.0
1758074568.85082,33960.0,186.5507,36270.0,199.24011,-4650.0,-129.16667,-3944.0,-109.55556,6.0
1758074568.85115,34198.0,187.85809,36084.0,198.21835,-4701.0,-130.58333,-3494.0,-97.05556,6.0
1758074568.86653,34436.0,189.1655,35922.0,197.32845,-4694.0,-130.38889,-2931.0,-81.41666,6.0
1758074568.87009,34675.0,190.47836,35790.0,196.60335,-4771.0,-132.52777,-2359.0,-65.52778,6.0
1758074568.88553,34919.0,191.81871,35686.0,196.03203,-4890.0,-135.83333,-1852.0,-51.44444,6.0
1758074568.88682,35171.0,193.20302,35600.0,195.55962,-5047.0,-140.19444,-1606.0,-44.61111,6.0
1758074568.90331,35434.0,194.64774,35524.0,195.14214,-5367.0,-149.08333,-1472.0,-40.88889,6.0
1758074568.92053,35718.0,196.20784,35446.0,194.71365,-5794.0,-160.94444,-1566.0,-43.5,6.0
1758074568.92116,36023.0,197.88327,35362.0,194.25223,-6138.0,-170.5,-1786.0,-49.61111,6.0
1758074568.93765,36344.0,199.64661,35266.0,193.72488,-6527.0,-181.30556,-1957.0,-54.36111,6.0
1758074568.93936,36686.0,201.52528,35159.0,193.1371,-6904.0,-191.77777,-2203.0,-61.19444,6.0
1758074568.95535,37041.0,203.4754,35042.0,192.4944,-7094.0,-197.05556,-2330.0,-64.72222,6.0
1758074568.95665,37404.0,205.46944,34920.0,191.8242,-7255.0,-201.52777,-2456.0,-68.22222,6.0
1758074568.97583,37774.0,207.50195,34795.0,191.13756,-7245.0,-201.25,-2441.0,-67.80556,6.0
