timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758074629.91508,1758074629.67375,0.0,0.0,0.0,64.22858,-15.92823,5.95876,9.01,-1.88,1.68,7.0
1758074629.97123,1758074629.68375,0.0,0.0,0.0,61.76485,-26.98631,4.52637,9.01,-1.88,1.68,7.0
1758074629.97999,1758074629.69375,0.0,0.0,0.0,58.15522,-32.71589,1.83346,10.04,-1.19,1.63,7.0
1758074629.98178,1758074629.70375,0.0,0.0,0.0,51.22243,-26.35606,-2.06265,10.04,-1.19,1.63,7.0
1758074629.99054,1758074629.71375,0.0,0.0,0.0,47.38361,-10.08406,-2.23454,12.75,-0.39,2.27,7.0
1758074629.99085,1758074629.72375,0.0,0.0,0.0,42.62806,4.35448,-4.23989,12.75,-0.39,2.27,7.0
1758074630.00088,1758074629.73375,0.0,0.0,0.0,36.32552,13.98017,-8.65166,12.58,0.06,3.77,7.0
1758074630.06993,1758074629.74375,0.0,0.0,0.0,29.50733,7.33386,-11.45916,8.79,-0.04,3.9,7.0
1758074630.07497,1758074629.75375,0.0,0.0,0.0,22.91831,-24.86637,-12.43318,8.79,-0.04,3.9,7.0
1758074630.0831,1758074629.76375,0.0,0.0,0.0,20.74107,-45.37826,-7.21927,6.68,-0.43,1.48,7.0
1758074630.08544,1758074629.77375,0.0,0.0,0.0,21.60051,-43.54479,-0.85944,6.68,-0.43,1.48,7.0
1758074630.08975,1758074629.78375,0.0,0.0,0.0,22.34536,-32.77319,1.66158,10.34,-1.13,1.08,7.0
1758074630.0901,1758074629.79375,0.0,0.0,0.0,23.83505,-24.00693,4.46907,10.34,-1.13,1.08,7.0
1758074630.09132,1758074629.80375,0.0,0.0,0.0,25.72581,-15.87093,5.84417,10.48,-1.68,1.99,7.0
1758074630.09527,1758074629.81375,0.0,0.0,0.0,27.33009,-6.58902,5.72958,10.48,-1.68,3.29,7.0
1758074630.10043,1758074629.82375,0.0,0.0,0.0,27.2155,-2.11994,3.60963,10.0,-1.85,3.29,7.0
1758074630.10174,1758074629.83375,0.0,0.0,0.0,26.52795,1.83346,1.48969,9.97,-1.31,2.46,7.0
1758074630.10963,1758074629.84375,0.0,0.0,0.0,25.38203,5.32851,-0.0573,9.97,-1.31,2.46,7.0
1758074630.11024,1758074629.85375,0.0,0.0,0.0,22.51724,11.22997,-1.71887,10.34,-0.51,2.66,7.0
1758074630.11128,1758074629.86375,0.0,0.0,0.0,20.34,12.37589,-2.57831,10.34,-0.51,2.66,7.0
1758074630.12851,1758074629.87375,0.0,0.0,0.0,17.6471,12.43318,-3.55234,9.79,0.01,2.63,7.0
1758074630.12983,1758074629.88375,0.0,0.0,0.0,15.29797,12.71966,-4.0107,9.79,0.01,2.63,7.0
1758074630.1499,1758074629.89375,0.0,0.0,0.0,12.204,14.32395,-4.29718,9.41,0.16,2.94,7.0
1758074630.15024,1758074629.90375,0.0,0.0,0.0,10.71431,16.10011,-4.46907,9.43,0.12,2.86,7.0
1758074630.16932,1758074629.91375,0.0,0.0,0.0,10.02676,17.76169,-3.83882,9.43,0.12,2.86,7.0
1758074630.17071,1758074629.92375,0.0,0.0,0.0,9.74028,19.82434,-4.1253,9.66,0.0,2.81,7.0
1758074630.17533,1758074629.93375,0.0,0.0,0.0,10.65701,21.7724,-3.38045,9.66,0.0,2.81,7.0
1758074630.1896,1758074629.94375,0.0,0.0,0.0,11.86023,20.11082,-3.26586,9.8,-0.23,2.93,7.0
1758074630.2055,1758074629.95375,0.0,0.0,0.0,13.40721,16.73037,-3.60963,9.8,-0.23,2.93,7.0
1758074630.20989,1758074629.96375,0.0,0.0,0.0,16.272,13.00614,-4.64096,9.54,-0.54,3.04,7.0
1758074630.22576,1758074629.97375,0.0,0.0,0.0,18.27736,10.02676,-5.84417,9.61,-0.73,2.94,7.0
1758074630.23053,1758074629.98375,0.0,0.0,0.0,20.05352,7.39116,-7.62034,9.61,-0.73,2.94,7.0
1758074630.24576,1758074629.99375,0.0,0.0,0.0,21.48592,4.29718,-9.33921,9.4,-0.64,3.08,7.0
1758074630.25052,1758074630.00375,0.0,0.0,0.0,22.68913,1.03132,-11.63104,9.4,-0.64,3.08,7.0
