timeStamp,motor_angle_L_uint16,motor_angle_L_float,motor_angle_R_uint16,motor_angle_R_float,motor_vel_L_int16,motor_vel_L_float,motor_vel_R_int16,motor_vel_R_float,flag_num
1758074629.91734,33304.0,182.94713,35187.0,193.29091,-743.0,-20.63889,-3943.0,-109.52778,7.0
1758074629.9777,33332.0,183.10094,34993.0,192.22523,-453.0,-12.58333,-3802.0,-105.61111,7.0
1758074629.98023,33354.0,183.22179,34801.0,191.17052,-395.0,-10.97222,-3757.0,-104.36111,7.0
1758074629.9849,33371.0,183.31517,34606.0,190.09933,-225.0,-6.25,-3920.0,-108.88889,7.0
1758074629.99078,33380.0,183.36461,34395.0,188.94025,-149.0,-4.13889,-4363.0,-121.19444,7.0
1758074629.99977,33386.0,183.39757,34156.0,187.62737,-97.0,-2.69444,-5049.0,-140.25,7.0
1758074630.00117,33396.0,183.4525,33880.0,186.11124,-312.0,-8.66667,-5720.0,-158.88889,7.0
1758074630.07473,33421.0,183.58984,33575.0,184.43579,-611.0,-16.97222,-5980.0,-166.11111,7.0
1758074630.08013,33454.0,183.77112,33282.0,182.82628,-608.0,-16.88889,-5516.0,-153.22223,7.0
1758074630.08521,33477.0,183.89746,33018.0,181.37605,-253.0,-7.02778,-4908.0,-136.33333,7.0
1758074630.08561,33477.0,183.89746,32794.0,180.14557,159.0,4.41667,-4034.0,-112.05556,7.0
1758074630.09002,33460.0,183.80408,32617.0,179.17326,487.0,13.52778,-3108.0,-86.33334,7.0
1758074630.09069,33427.0,183.6228,32487.0,178.45915,784.0,21.77778,-2152.0,-59.77778,7.0
1758074630.09512,33379.0,183.35912,32407.0,178.01968,1057.0,29.36111,-1193.0,-33.13889,7.0
1758074630.09575,33326.0,183.06798,32369.0,177.81094,999.0,27.75,-433.0,-12.02778,7.0
1758074630.1007,33281.0,182.82079,32362.0,177.77249,803.0,22.30556,31.0,0.86111,7.0
1758074630.10556,33251.0,182.65599,32363.0,177.77798,428.0,11.88889,0.0,0.0,7.0
1758074630.11014,33245.0,182.62303,32363.0,177.77798,-80.0,-2.22222,0.0,0.0,7.0
1758074630.11071,33253.0,182.66698,32363.0,177.77798,-192.0,-5.33333,0.0,0.0,7.0
1758074630.11143,33265.0,182.73289,32362.0,177.77249,-279.0,-7.75,-4.0,-0.11111,7.0
1758074630.12966,33284.0,182.83727,32362.0,177.77249,-398.0,-11.05556,-3.0,-0.08333,7.0
1758074630.13131,33306.0,182.95811,32361.0,177.767,-465.0,-12.91667,-15.0,-0.41667,7.0
1758074630.15014,33335.0,183.11742,32360.0,177.76151,-646.0,-17.94444,-3.0,-0.08333,7.0
1758074630.15105,33375.0,183.33714,32360.0,177.76151,-849.0,-23.58333,-7.0,-0.19444,7.0
1758074630.16971,33421.0,183.58984,32360.0,177.76151,-918.0,-25.5,0.0,0.0,7.0
1758074630.17097,33471.0,183.8645,32360.0,177.76151,-1039.0,-28.86111,0.0,0.0,7.0
1758074630.17557,33526.0,184.16663,32360.0,177.76151,-1058.0,-29.38889,0.0,0.0,7.0
1758074630.19008,33573.0,184.4248,32360.0,177.76151,-857.0,-23.80556,0.0,0.0,7.0
1758074630.20877,33611.0,184.63354,32360.0,177.76151,-662.0,-18.38889,0.0,0.0,7.0
1758074630.21003,33639.0,184.78735,32360.0,177.76151,-458.0,-12.72222,0.0,0.0,7.0
1758074630.22879,33655.0,184.87524,32360.0,177.76151,-227.0,-6.30556,0.0,0.0,7.0
1758074630.2308,33662.0,184.9137,32360.0,177.76151,-38.0,-1.05556,0.0,0.0,7.0
1758074630.24878,33662.0,184.9137,32360.0,177.76151,0.0,0.0,0.0,0.0,7.0
1758074630.25081,33662.0,184.9137,32359.0,177.75601,-29.0,-0.80556,-35.0,-0.97222,7.0
1758074630.27015,33666.0,184.9357,32354.0,177.72855,-127.0,-3.52778,-169.0,-4.69444,7.0
1758074630.27135,33682.0,185.02359,32339.0,177.64615,-507.0,-14.08333,-418.0,-11.61111,7.0
1758074630.28854,33722.0,185.24332,32309.0,177.48134,-1058.0,-29.38889,-776.0,-21.55556,7.0
1758074630.29054,33795.0,185.64432,32255.0,177.18471,-1711.0,-47.52778,-1257.0,-34.91667,7.0
1758074630.3104,33898.0,186.21011,32180.0,176.77271,-2279.0,-63.30556,-1584.0,-44.0,7.0
1758074630.31084,34025.0,186.90776,32094.0,176.30029,-2677.0,-74.36111,-1761.0,-48.91667,7.0
1758074630.31999,34167.0,187.68779,32005.0,175.8114,-2900.0,-80.55556,-1769.0,-49.13889,7.0
1758074630.33701,34320.0,188.52826,31918.0,175.33348,-3097.0,-86.02778,-1613.0,-44.80556,7.0
1758074630.34052,34480.0,189.4072,31841.0,174.91051,-3215.0,-89.30556,-1410.0,-39.16667,7.0
1758074630.35697,34643.0,190.30258,31779.0,174.56992,-3211.0,-89.19444,-1042.0,-28.94444,7.0
1758074630.36041,34806.0,191.19798,31733.0,174.31723,-3173.0,-88.13889,-836.0,-23.22222,7.0
1758074630.37732,34964.0,192.06593,31699.0,174.13046,-3117.0,-86.58334,-520.0,-14.44444,7.0
1758074630.38064,35120.0,192.92287,31679.0,174.0206,-3078.0,-85.5,-230.0,-6.38889,7.0
1758074630.39621,35276.0,193.77982,31671.0,173.97665,-3114.0,-86.5,-156.0,-4.33333,7.0
1758074630.4006,35440.0,194.68069,31666.0,173.94919,-3339.0,-92.75,-32.0,-0.88889,7.0
1758074630.41968,35617.0,195.653,31666.0,173.94919,-3653.0,-101.47222,0.0,0.0,7.0
1758074630.42014,35809.0,196.70772,31666.0,173.94919,-3918.0,-108.83334,-9.0,-0.25,7.0
1758074630.43732,36012.0,197.82285,31666.0,173.94919,-4082.0,-113.38889,0.0,0.0,7.0
1758074630.43862,36224.0,198.98743,31666.0,173.94919,-4217.0,-117.13889,0.0,0.0,7.0
1758074630.45581,36435.0,200.14648,31666.0,173.94919,-4082.0,-113.38889,0.0,0.0,7.0
1758074630.45794,36637.0,201.25612,31667.0,173.95468,-3891.0,-108.08334,0.0,0.0,7.0
