timeStamp,motor_angle_L_uint16,motor_angle_L_float,motor_angle_R_uint16,motor_angle_R_float,motor_vel_L_int16,motor_vel_L_float,motor_vel_R_int16,motor_vel_R_float,flag_num
1758074580.68976,31150.0,171.11467,35696.0,196.08696,-168.0,-4.66667,6949.0,193.02777,2.0
1758074580.69052,31162.0,171.18059,36039.0,197.97116,-275.0,-7.63889,6603.0,183.41667,2.0
1758074580.69164,31177.0,171.263,36357.0,199.71802,-342.0,-9.5,6061.0,168.36111,2.0
1758074580.69239,31197.0,171.37286,36644.0,201.29457,-473.0,-13.13889,5328.0,148.0,2.0
1758074580.6967,31239.0,171.60358,36880.0,202.59097,-1117.0,-31.02778,4053.0,112.58334,2.0
1758074580.69753,31315.0,172.02106,37048.0,203.51385,-1775.0,-49.30556,2776.0,77.11111,2.0
1758074580.69851,31416.0,172.57587,37155.0,204.10162,-2182.0,-60.61111,1654.0,45.94444,2.0
1758074580.71531,31530.0,173.2021,37210.0,204.40375,-2273.0,-63.13889,671.0,18.63889,2.0
1758074580.71641,31642.0,173.81735,37218.0,204.44769,-2082.0,-57.83333,-69.0,-1.91667,2.0
1758074580.73146,31736.0,174.33371,37217.0,204.4422,-1661.0,-46.13889,0.0,0.0,2.0
1758074580.75071,31805.0,174.71274,37217.0,204.4422,-1110.0,-30.83333,0.0,0.0,2.0
1758074580.75182,31845.0,174.93248,37217.0,204.4422,-538.0,-14.94444,0.0,0.0,2.0
1758074580.77001,31857.0,174.9984,37216.0,204.43671,-14.0,-0.38889,-12.0,-0.33333,2.0
1758074580.77066,31854.0,174.98192,37213.0,204.42023,9.0,0.25,-109.0,-3.02778,2.0
1758074580.78998,31855.0,174.98741,37202.0,204.3598,-7.0,-0.19444,-283.0,-7.86111,2.0
1758074580.79048,31856.0,174.9929,37187.0,204.2774,-26.0,-0.72222,-368.0,-10.22222,2.0
1758074580.80995,31857.0,174.9984,37162.0,204.14008,-42.0,-1.16667,-568.0,-15.77778,2.0
1758074580.81041,31862.0,175.02586,37125.0,203.93683,-147.0,-4.08333,-895.0,-24.86111,2.0
1758074580.82773,31874.0,175.09178,37067.0,203.61823,-326.0,-9.05556,-1390.0,-38.61111,2.0
1758074580.83069,31895.0,175.20714,36984.0,203.16226,-544.0,-15.11111,-1848.0,-51.33333,2.0
1758074580.84996,31930.0,175.3994,36876.0,202.569,-770.0,-21.38889,-2308.0,-64.11111,2.0
1758074580.85046,31971.0,175.62463,36745.0,201.8494,-809.0,-22.47222,-2769.0,-76.91666,2.0
1758074580.86978,32012.0,175.84985,36595.0,201.02541,-754.0,-20.94444,-3137.0,-87.13889,2.0
1758074580.87097,32046.0,176.03662,36425.0,200.09155,-635.0,-17.63889,-3463.0,-96.19444,2.0
1758074580.88848,32082.0,176.23438,36236.0,199.05334,-715.0,-19.86111,-3957.0,-109.91666,2.0
1758074580.89093,32120.0,176.44312,36016.0,197.84482,-805.0,-22.36111,-4555.0,-126.52778,2.0
1758074580.9084,32168.0,176.70679,35768.0,196.4825,-1027.0,-28.52778,-5120.0,-142.22223,2.0
1758074580.90889,32227.0,177.0309,35498.0,194.99931,-1245.0,-34.58333,-5441.0,-151.13889,2.0
1758074580.92464,32291.0,177.38246,35216.0,193.45023,-1253.0,-34.80556,-5585.0,-155.13889,2.0
1758074580.94026,32355.0,177.73404,34930.0,191.87914,-1203.0,-33.41667,-5696.0,-158.22223,2.0
1758074580.94059,32411.0,178.04166,34645.0,190.31357,-1016.0,-28.22222,-5610.0,-155.83333,2.0
1758074580.95661,32460.0,178.31084,34366.0,188.78094,-928.0,-25.77778,-5433.0,-150.91667,2.0
1758074580.95856,32500.0,178.53056,34093.0,187.2813,-683.0,-18.97222,-5353.0,-148.69444,2.0
1758074580.97364,32531.0,178.70085,33825.0,185.80911,-550.0,-15.27778,-5191.0,-144.19444,2.0
1758074580.97649,32554.0,178.82719,33568.0,184.39734,-402.0,-11.16667,-5024.0,-139.55556,2.0
1758074580.99258,32575.0,178.94255,33318.0,183.02403,-457.0,-12.69444,-4913.0,-136.47223,2.0
1758074581.01101,32608.0,179.12383,33065.0,181.63423,-826.0,-22.94444,-5107.0,-141.86111,2.0
1758074581.01214,32661.0,179.41496,32796.0,180.15656,-1230.0,-34.16667,-5505.0,-152.91667,2.0
