timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758074434.55609,1758074434.54394,0.0,0.0,0.0,-7.39116,3.60963,-2.11994,9.44,0.67,2.19,2.0
1758074434.55731,1758074434.55394,0.0,0.0,0.0,-8.30789,4.52637,-0.0573,9.16,0.68,2.05,2.0
1758074434.57236,1758074434.56394,0.0,0.0,0.0,-9.85487,5.15662,1.83346,8.89,0.76,1.98,2.0
1758074434.5733,1758074434.57394,0.0,0.0,0.0,-11.91752,5.50039,3.72423,8.89,0.76,1.98,2.0
1758074434.58819,1758074434.58394,0.0,0.0,0.0,-16.272,6.41713,6.13065,8.96,0.88,1.82,2.0
1758074434.60653,1758074434.59394,0.0,0.0,0.0,-19.76705,6.35983,6.99009,8.96,0.88,1.82,2.0
1758074434.60677,1758074434.60394,0.0,0.0,0.0,-23.0902,3.20856,7.96411,9.04,1.08,1.9,2.0
1758074434.62015,1758074434.61394,0.0,0.0,0.0,-27.1582,-2.23454,7.84952,9.04,1.08,1.9,2.0
1758074434.6364,1758074434.62394,0.0,0.0,0.0,-33.51803,-3.55234,6.99009,8.88,1.23,2.13,2.0
1758074434.63738,1758074434.63394,0.0,0.0,0.0,-37.24226,-1.3751,6.07335,9.5,1.27,1.92,2.0
1758074434.65236,1758074434.64394,0.0,0.0,0.0,-40.7946,0.22918,5.84417,9.5,1.27,1.92,2.0
1758074434.65333,1758074434.65394,0.0,0.0,0.0,-44.51882,-0.11459,5.32851,9.42,1.28,2.41,2.0
1758074434.66816,1758074434.66394,0.0,0.0,0.0,-50.64947,-3.38045,3.89611,9.42,1.28,2.41,2.0
1758074434.68411,1758074434.67394,0.0,0.0,0.0,-54.66018,-6.24524,2.40642,9.14,0.96,2.41,2.0
1758074434.68547,1758074434.68394,0.0,0.0,0.0,-59.12925,-8.59437,0.40107,9.14,0.96,2.41,2.0
1758074434.70012,1758074434.69394,0.0,0.0,0.0,-63.42643,-10.31324,-1.48969,9.19,0.84,2.03,2.0
1758074434.71613,1758074434.70394,0.0,0.0,0.0,-68.75494,-18.16276,-4.69825,8.91,1.0,1.77,2.0
1758074434.71894,1758074434.71394,0.0,0.0,0.0,-70.58841,-31.28349,-4.87014,8.91,1.0,1.77,2.0
1758074434.73438,1758074434.72394,0.0,0.0,0.0,-70.6457,-41.59674,-3.83882,8.22,0.7,1.21,2.0
1758074434.73651,1758074434.73394,0.0,0.0,0.0,-69.49979,-48.9879,-0.11459,8.22,0.7,1.21,2.0
1758074434.75144,1758074434.74394,0.0,0.0,0.0,-70.41652,-49.33167,5.84417,9.14,0.35,0.49,2.0
1758074434.75235,1758074434.75394,0.0,0.0,0.0,-71.84892,-10.59972,3.60963,9.14,0.35,0.49,2.0
1758074434.76837,1758074434.76394,0.0,0.0,0.0,-72.99483,16.61578,7.21927,13.05,0.5,1.5,2.0
1758074434.7842,1758074434.77394,0.0,0.0,0.0,-76.0315,-15.41257,7.04738,13.05,0.5,1.5,2.0
