timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758075754.84606,1758075754.85194,0.0,0.0,0.0,-11.97482,7.50575,22.57454,8.52,-1.44,0.05,3.0
1758075754.8473,1758075754.86194,0.0,0.0,0.0,-8.36518,9.91217,17.76169,8.47,-1.42,-0.12,3.0
1758075754.862,1758075754.87194,0.0,0.0,0.0,-5.61499,12.204,14.03747,8.47,-1.42,-0.12,3.0
1758075754.86325,1758075754.88194,0.0,0.0,0.0,-2.23454,12.2613,10.65701,8.84,-1.27,0.21,3.0
1758075754.87809,1758075754.89194,0.0,0.0,0.0,1.3178,9.5684,7.16197,8.84,-1.27,0.21,3.0
1758075754.8944,1758075754.90194,0.0,0.0,0.0,7.44845,18.85031,4.18259,8.99,-1.14,0.12,3.0
1758075754.89568,1758075754.91194,0.0,0.0,0.0,11.63104,32.71589,2.57831,10.91,-1.38,0.32,3.0
1758075754.91014,1758075754.92194,0.0,0.0,0.0,15.64175,47.15443,1.43239,10.91,-1.38,0.32,3.0
1758075754.91215,1758075754.93194,0.0,0.0,0.0,18.62113,50.59217,0.74485,10.97,-1.82,0.82,3.0
1758075754.9312,1758075754.94194,0.0,0.0,0.0,23.20479,26.75713,-1.77617,10.97,-1.82,0.82,3.0
1758075754.93235,1758075754.95194,0.0,0.0,0.0,26.12688,2.86479,0.22918,8.7,-1.72,1.17,3.0
1758075754.94818,1758075754.96194,0.0,0.0,0.0,28.476,-13.75099,3.95341,8.7,-1.72,1.17,3.0
1758075754.96415,1758075754.97194,0.0,0.0,0.0,30.25217,-17.6471,8.25059,9.6,-1.8,0.55,3.0
1758075754.96537,1758075754.98194,0.0,0.0,0.0,31.16891,-9.05273,11.74564,11.3,-1.22,0.79,3.0
1758075754.98085,1758075754.99194,0.0,0.0,0.0,31.62727,-5.27121,13.40721,11.3,-1.22,0.79,3.0
1758075754.98211,1758075755.00194,0.0,0.0,0.0,31.91375,-2.57831,13.00614,10.51,-0.54,1.01,3.0
1758075754.9982,1758075755.01194,0.0,0.0,0.0,31.51268,-0.85944,9.4538,10.51,-0.54,1.01,3.0
1758075755.01597,1758075755.02194,0.0,0.0,0.0,29.9084,-5.84417,6.70361,9.66,-0.22,1.53,3.0
1758075755.01717,1758075755.03194,0.0,0.0,0.0,29.04896,-17.58981,4.23989,9.66,-0.22,1.53,3.0
1758075755.03216,1758075755.04194,0.0,0.0,0.0,29.67921,-32.48671,6.35983,8.71,-0.15,3.88,3.0
1758075755.03337,1758075755.05194,0.0,0.0,0.0,27.1582,-25.55392,11.80293,8.71,-0.15,3.88,3.0
1758075755.04932,1758075755.06194,0.0,0.0,0.0,23.72045,-9.05273,14.03747,11.81,0.45,1.64,3.0
1758075755.06629,1758075755.07194,0.0,0.0,0.0,21.25674,-1.60428,15.0115,11.79,0.53,0.2,3.0
1758075755.06745,1758075755.08194,0.0,0.0,0.0,19.70975,-2.7502,15.24068,11.79,0.53,0.2,3.0
1758075755.08227,1758075755.09194,0.0,0.0,0.0,20.05352,-0.68755,13.17803,8.95,-0.65,0.09,3.0
1758075755.08347,1758075755.10194,0.0,0.0,0.0,21.94428,3.09397,11.45916,8.95,-0.65,0.09,3.0
1758075755.09826,1758075755.11194,0.0,0.0,0.0,24.80907,6.58902,10.19865,9.39,-1.66,0.49,3.0
1758075755.11612,1758075755.12194,0.0,0.0,0.0,27.50197,10.25595,9.22462,9.39,-1.66,0.49,3.0
1758075755.11728,1758075755.13194,0.0,0.0,0.0,31.11161,16.67307,9.11003,10.12,-1.94,0.24,3.0
1758075755.13228,1758075755.14194,0.0,0.0,0.0,32.37212,21.14215,9.33921,10.82,-1.58,0.15,3.0
1758075755.13348,1758075755.15194,0.0,0.0,0.0,33.05967,25.49662,9.22462,10.82,-1.58,0.15,3.0
1758075755.14855,1758075755.16194,0.0,0.0,0.0,32.54401,28.41871,8.30789,10.68,-0.84,-0.08,3.0
1758075755.16535,1758075755.17194,0.0,0.0,0.0,30.53865,28.64789,6.47442,10.68,-0.84,-0.08,3.0
1758075755.16674,1758075755.18194,0.0,0.0,0.0,28.70519,26.18417,4.92744,10.23,-0.14,0.37,3.0
1758075755.18158,1758075755.19194,0.0,0.0,0.0,26.87172,22.51724,3.83882,10.23,-0.14,0.37,3.0
1758075755.18249,1758075755.20194,0.0,0.0,0.0,24.80907,21.31403,3.49504,10.09,0.23,0.79,3.0
1758075755.19929,1758075755.21194,0.0,0.0,0.0,20.62648,26.52795,3.95341,11.08,0.35,0.81,3.0
1758075755.216,1758075755.22194,0.0,0.0,0.0,17.36062,32.42941,4.35448,11.08,0.35,0.81,3.0
1758075755.21723,1758075755.23194,0.0,0.0,0.0,13.5218,37.92981,4.35448,11.54,0.25,0.55,3.0
1758075755.23228,1758075755.24194,0.0,0.0,0.0,8.42248,46.35228,3.09397,11.54,0.25,0.55,3.0
1758075755.23432,1758075755.25194,0.0,0.0,0.0,5.4431,51.10783,1.77617,11.8,-0.11,0.36,3.0
1758075755.24969,1758075755.26194,0.0,0.0,0.0,2.86479,56.952,0.11459,11.8,-0.11,0.36,3.0
1758075755.26613,1758075755.27194,0.0,0.0,0.0,1.03132,62.22322,-1.71887,12.43,-0.54,0.65,3.0
1758075755.26745,1758075755.28194,0.0,0.0,0.0,-0.74485,66.06203,-4.87014,12.43,-0.54,1.05,3.0
