timeStamp,motor_angle_L_uint16,motor_angle_L_float,motor_angle_R_uint16,motor_angle_R_float,motor_vel_L_int16,motor_vel_L_float,motor_vel_R_int16,motor_vel_R_float,flag_num
1758075754.84668,32563.0,178.87663,44028.0,241.85672,-294.0,-8.16667,-769.0,-21.36111,3.0
1758075754.84744,32587.0,179.00847,43975.0,241.56558,-569.0,-15.80556,-1232.0,-34.22222,3.0
1758075754.86265,32623.0,179.20622,43892.0,241.10962,-818.0,-22.72222,-1944.0,-54.0,3.0
1758075754.86332,32677.0,179.50285,43775.0,240.46692,-1277.0,-35.47222,-2650.0,-73.61111,3.0
1758075754.8787,32753.0,179.92035,43621.0,239.62096,-1596.0,-44.33333,-3360.0,-93.33334,3.0
1758075754.89476,32836.0,180.37628,43432.0,238.58275,-1687.0,-46.86111,-4047.0,-112.41666,3.0
1758075754.89596,32918.0,180.82674,43206.0,237.34128,-1565.0,-43.47222,-4741.0,-131.69444,3.0
1758075754.91152,32998.0,181.26619,42943.0,235.89655,-1561.0,-43.36111,-5554.0,-154.27777,3.0
1758075754.91356,33080.0,181.71663,42643.0,234.24858,-1626.0,-45.16667,-6203.0,-172.30556,3.0
1758075754.93178,33168.0,182.20006,42286.0,232.28748,-1458.0,-40.5,-6157.0,-171.02777,3.0
1758075754.93324,33225.0,182.51317,42023.0,230.84276,-1072.0,-29.77778,-5778.0,-160.5,3.0
1758075754.9488,33257.0,182.68895,41745.0,229.31563,-271.0,-7.52778,-5279.0,-146.63889,3.0
1758075754.96476,33252.0,182.66148,41495.0,227.94232,323.0,8.97222,-4685.0,-130.13889,3.0
1758075754.96558,33221.0,182.4912,41276.0,226.73929,828.0,23.0,-4050.0,-112.5,3.0
1758075754.98146,33172.0,182.22203,41088.0,225.70657,1049.0,29.13889,-3512.0,-97.55556,3.0
1758075754.98272,33117.0,181.91988,40921.0,224.7892,1112.0,30.88889,-3144.0,-87.33334,3.0
1758075754.99877,33061.0,181.61226,40773.0,223.9762,1075.0,29.86111,-2756.0,-76.55556,3.0
1758075755.01654,33011.0,181.3376,40647.0,223.28406,926.0,25.72222,-2220.0,-61.66667,3.0
1758075755.01729,32961.0,181.06294,40561.0,222.81161,1076.0,29.88889,-1247.0,-34.63889,3.0
1758075755.03276,32902.0,180.73885,40526.0,222.61935,1258.0,34.94444,-218.0,-6.05556,3.0
1758075755.0335,32831.0,180.34882,40535.0,222.66879,1522.0,42.27778,306.0,8.5,3.0
1758075755.05153,32752.0,179.91486,40553.0,222.76767,1555.0,43.19444,460.0,12.77778,3.0
1758075755.06686,32676.0,179.49736,40577.0,222.89954,1457.0,40.47222,512.0,14.22222,3.0
1758075755.06757,32610.0,179.13481,40602.0,223.03687,1202.0,33.38889,486.0,13.5,3.0
1758075755.08288,32554.0,178.82719,40627.0,223.17419,983.0,27.30556,526.0,14.61111,3.0
1758075755.08362,32512.0,178.59648,40657.0,223.33899,695.0,19.30556,610.0,16.94444,3.0
1758075755.09921,32486.0,178.45366,40689.0,223.51477,400.0,11.11111,610.0,16.94444,3.0
1758075755.11666,32474.0,178.38774,40716.0,223.66309,120.0,3.33333,512.0,14.22222,3.0
1758075755.11742,32472.0,178.37675,40742.0,223.80591,0.0,0.0,534.0,14.83333,3.0
1758075755.13287,32472.0,178.37675,40770.0,223.95972,0.0,0.0,578.0,16.05556,3.0
1758075755.13372,32472.0,178.37675,40800.0,224.12451,0.0,0.0,571.0,15.86111,3.0
1758075755.14885,32472.0,178.37675,40826.0,224.26733,0.0,0.0,388.0,10.77778,3.0
1758075755.16569,32472.0,178.37675,40841.0,224.34975,0.0,0.0,240.0,6.66667,3.0
1758075755.16699,32472.0,178.37675,40848.0,224.3882,0.0,0.0,126.0,3.5,3.0
1758075755.18193,32472.0,178.37675,40858.0,224.44313,0.0,0.0,274.0,7.61111,3.0
1758075755.18389,32471.0,178.37126,40877.0,224.5475,31.0,0.86111,471.0,13.08333,3.0
1758075755.19986,32467.0,178.34929,40913.0,224.74525,157.0,4.36111,868.0,24.11111,3.0
1758075755.21661,32455.0,178.28337,40963.0,225.01991,245.0,6.80556,1081.0,30.02778,3.0
1758075755.21729,32441.0,178.20645,41025.0,225.36049,294.0,8.16667,1326.0,36.83333,3.0
1758075755.2329,32430.0,178.14603,41100.0,225.77249,135.0,3.75,1548.0,43.0,3.0
1758075755.23447,32428.0,178.13504,41183.0,226.22842,-4.0,-0.11111,1729.0,48.02778,3.0
1758075755.25004,32429.0,178.14053,41272.0,226.71732,-4.0,-0.11111,1776.0,49.33333,3.0
1758075755.26716,32429.0,178.14053,41365.0,227.22821,-8.0,-0.22222,1853.0,51.47222,3.0
1758075755.26756,32430.0,178.14603,41457.0,227.73358,-25.0,-0.69444,1829.0,50.80556,3.0
1758075755.2829,32432.0,178.15701,41545.0,228.21698,-58.0,-1.61111,1656.0,46.0,3.0
1758075755.28492,32437.0,178.18448,41622.0,228.63997,-120.0,-3.33333,1374.0,38.16667,3.0
1758075755.29987,32443.0,178.21744,41680.0,228.95857,-110.0,-3.05556,955.0,26.52778,3.0
1758075755.31778,32448.0,178.24492,41717.0,229.16182,-116.0,-3.22222,481.0,13.36111,3.0
1758075755.31859,32458.0,178.29985,41726.0,229.21126,-280.0,-7.77778,-103.0,-2.86111,3.0
1758075755.33396,32475.0,178.39323,41716.0,229.15633,-363.0,-10.08333,-247.0,-6.86111,3.0
1758075755.33512,32501.0,178.53606,41694.0,229.03548,-648.0,-18.0,-560.0,-15.55556,3.0
1758075755.35038,32546.0,178.78325,41655.0,228.82124,-1039.0,-28.86111,-953.0,-26.47222,3.0
1758075755.36762,32613.0,179.15129,41590.0,228.46417,-1510.0,-41.94444,-1579.0,-43.86111,3.0
1758075755.37274,32704.0,179.65118,41493.0,227.93134,-2024.0,-56.22222,-2165.0,-60.13889,3.0
1758075755.37339,32823.0,180.30487,41365.0,227.22821,-2598.0,-72.16666,-2799.0,-77.75,3.0
1758075755.39059,32969.0,181.10689,41205.0,226.34927,-3151.0,-87.52778,-3408.0,-94.66666,3.0
1758075755.395,33144.0,182.06819,41014.0,225.30006,-3682.0,-102.27778,-4035.0,-112.08334,3.0
1758075755.41177,33345.0,183.17235,40793.0,224.08606,-4192.0,-116.44444,-4593.0,-127.58334,3.0
1758075755.41705,33572.0,184.41931,40548.0,222.7402,-4656.0,-129.33333,-4940.0,-137.22223,3.0
1758075755.43304,33823.0,185.79813,40289.0,221.31746,-5140.0,-142.77777,-5208.0,-144.66667,3.0
1758075755.43386,34101.0,187.32524,40013.0,219.80132,-5743.0,-159.52777,-5594.0,-155.38889,3.0
1758075755.44898,34411.0,189.02814,39720.0,218.1918,-6398.0,-177.72223,-5937.0,-164.91667,3.0
1758075755.46497,34745.0,190.8629,39415.0,216.51637,-6776.0,-188.22223,-6124.0,-170.11111,3.0
1758075755.46652,35107.0,192.85146,39093.0,214.74754,-7461.0,-207.25,-6531.0,-181.41667,3.0
1758075755.48211,35500.0,195.0103,38754.0,212.88531,-7973.0,-221.47223,-6787.0,-188.52777,3.0
1758075755.48324,35919.0,197.31197,38411.0,211.00114,-8541.0,-237.25,-6809.0,-189.13889,3.0
1758075755.49979,36372.0,199.80042,38060.0,209.07303,-9080.0,-252.22223,-7019.0,-194.97223,3.0
1758075755.51603,36842.0,202.38223,37705.0,207.12291,-9467.0,-262.97223,-6960.0,-193.33333,3.0
1758075755.51756,37334.0,205.08492,37355.0,205.20027,-9796.0,-272.11111,-6897.0,-191.58333,3.0
1758075755.53381,37843.0,207.88098,37007.0,203.28864,-10122.0,-281.16666,-6811.0,-189.19444,3.0
1758075755.53448,38354.0,210.68803,36676.0,201.47035,-9996.0,-277.66666,-6327.0,-175.75,3.0
1758075755.55389,38860.0,213.46762,36365.0,199.76196,-10038.0,-278.83334,-6039.0,-167.75,3.0
1758075755.55477,39368.0,216.25819,36067.0,198.12497,-9974.0,-277.05554,-5745.0,-159.58333,3.0
1758075755.57191,39878.0,219.05974,35787.0,196.58687,-10168.0,-282.44446,-5401.0,-150.02777,3.0
1758075755.57397,40383.0,221.83383,35516.0,195.09819,-9963.0,-276.75,-5297.0,-147.13889,3.0
1758075755.5925,40892.0,224.6299,35249.0,193.6315,-10057.0,-279.36111,-5211.0,-144.75,3.0
1758075755.59411,41402.0,227.43146,34989.0,192.20326,-10146.0,-281.83334,-5039.0,-139.97223,3.0
1758075755.61011,41922.0,230.28795,34736.0,190.81346,-10215.0,-283.75,-4996.0,-138.77777,3.0
1758075755.6271,42438.0,233.12245,34483.0,189.42368,-10336.0,-287.11111,-5073.0,-140.91667,3.0
1758075755.62885,42954.0,235.95697,34232.0,188.04486,-9970.0,-276.94446,-4835.0,-134.30556,3.0
1758075755.64593,43459.0,238.73106,33995.0,186.74297,-9917.0,-275.47223,-4643.0,-128.97223,3.0
1758075755.64672,43948.0,241.41727,33761.0,185.45755,-9460.0,-262.77777,-4672.0,-129.77777,3.0
1758075755.66215,44422.0,244.02107,33522.0,184.14465,-9340.0,-259.44446,-4750.0,-131.94444,3.0
1758075755.66297,44873.0,246.4985,33287.0,182.85374,-8649.0,-240.25,-4500.0,-125.0,3.0
1758075755.68032,45290.0,248.7892,33072.0,181.67268,-7920.0,-220.0,-4040.0,-112.22222,3.0
1758075755.69616,45655.0,250.79422,32879.0,180.61249,-6651.0,-184.75,-3589.0,-99.69444,3.0
1758075755.70036,45961.0,252.47517,32711.0,179.68964,-5594.0,-155.38889,-3172.0,-88.11111,3.0
1758075755.71623,46210.0,253.843,32564.0,178.88213,-4423.0,-122.86111,-2742.0,-76.16666,3.0
1758075755.71676,46400.0,254.8867,32434.0,178.168,-3271.0,-90.86111,-2440.0,-67.77778,3.0
1758075755.73227,46534.0,255.6228,32319.0,177.53627,-2218.0,-61.61111,-2195.0,-60.97222,3.0
