timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758076889.18416,1758076889.136,0.0,0.0,0.0,-14.09476,6.07335,-10.02676,13.45,0.11,4.14,1.0
1758076889.18534,1758076889.146,0.0,0.0,0.0,-15.41257,7.62034,-9.62569,13.14,0.43,2.87,1.0
1758076889.20108,1758076889.156,0.0,0.0,0.0,-17.6471,9.85487,-8.36518,13.14,0.43,2.87,1.0
1758076889.21762,1758076889.166,0.0,0.0,0.0,-21.94428,11.86023,-6.24524,13.49,1.02,3.72,1.0
1758076889.21885,1758076889.176,0.0,0.0,0.0,-23.54857,13.40721,-5.61499,13.11,1.12,4.03,1.0
1758076889.23338,1758076889.186,0.0,0.0,0.0,-24.00693,16.73037,-5.72958,13.11,1.12,4.03,1.0
1758076889.23433,1758076889.196,0.0,0.0,0.0,-23.49127,18.27736,-6.35983,12.38,0.55,4.48,1.0
1758076889.25011,1758076889.206,0.0,0.0,0.0,-22.34536,15.87093,-7.84952,12.38,0.55,4.48,1.0
1758076889.2661,1758076889.216,0.0,0.0,0.0,-21.37133,11.57375,-8.47978,10.5,0.15,4.21,1.0
1758076889.26731,1758076889.226,0.0,0.0,0.0,-21.14215,5.90147,-8.88085,10.5,0.15,4.21,1.0
1758076889.28212,1758076889.236,0.0,0.0,0.0,-21.7151,-0.68755,-8.93814,8.41,0.11,3.62,1.0
1758076889.29849,1758076889.246,0.0,0.0,0.0,-22.91831,-9.74028,-8.76626,7.03,0.2,3.26,1.0
1758076889.2996,1758076889.256,0.0,0.0,0.0,-24.57989,-15.75634,-8.65166,7.03,0.2,3.26,1.0
1758076889.31434,1758076889.266,0.0,0.0,0.0,-26.24147,-23.0902,-8.02141,6.56,0.22,3.33,1.0
1758076889.31559,1758076889.276,0.0,0.0,0.0,-28.13223,-34.95043,-6.13065,6.56,0.22,3.33,1.0
1758076889.33046,1758076889.286,0.0,0.0,0.0,-28.59059,-40.39353,-4.64096,7.11,-0.15,3.22,1.0
1758076889.34739,1758076889.296,0.0,0.0,0.0,-28.30412,-43.31561,-3.32316,7.11,-0.15,3.22,1.0
1758076889.34828,1758076889.306,0.0,0.0,0.0,-27.67386,-44.00316,-2.46372,8.61,-0.66,3.16,1.0
