timeStamp,motor_angle_L_uint16,motor_angle_L_float,motor_angle_R_uint16,motor_angle_R_float,motor_vel_L_int16,motor_vel_L_float,motor_vel_R_int16,motor_vel_R_float,flag_num
1758076889.18469,42678.0,234.44084,34549.0,189.78622,2309.0,64.13889,-760.0,-21.11111,1.0
1758076889.18556,42575.0,233.87502,34509.0,189.5665,1859.0,51.63889,-823.0,-22.86111,1.0
1758076889.20168,42492.0,233.41908,34461.0,189.30283,1474.0,40.94444,-964.0,-26.77778,1.0
1758076889.21793,42422.0,233.03456,34415.0,189.05011,1332.0,37.0,-877.0,-24.36111,1.0
1758076889.21911,42354.0,232.66101,34378.0,188.84686,1406.0,39.05556,-579.0,-16.08333,1.0
1758076889.23374,42274.0,232.22156,34358.0,188.737,1684.0,46.77778,-246.0,-6.83333,1.0
1758076889.23491,42177.0,231.68872,34355.0,188.72052,2132.0,59.22222,65.0,1.80556,1.0
1758076889.25068,42055.0,231.01854,34361.0,188.75348,2613.0,72.58334,147.0,4.08333,1.0
1758076889.26668,41907.0,230.20555,34372.0,188.8139,3187.0,88.52778,298.0,8.27778,1.0
1758076889.26744,41730.0,229.23323,34392.0,188.92377,3734.0,103.72222,473.0,13.13889,1.0
1758076889.28269,41526.0,228.11261,34421.0,189.08307,4207.0,116.86111,613.0,17.02778,1.0
1758076889.29876,41302.0,226.88211,34454.0,189.26437,4527.0,125.75,651.0,18.08333,1.0
1758076889.29985,41067.0,225.5912,34482.0,189.41818,4720.0,131.11111,500.0,13.88889,1.0
1758076889.31469,40822.0,224.24536,34499.0,189.51157,4870.0,135.27777,269.0,7.47222,1.0
1758076889.31584,40572.0,222.87204,34509.0,189.5665,4990.0,138.61111,169.0,4.69444,1.0
1758076889.33176,40319.0,221.48225,34521.0,189.63242,5027.0,139.63889,324.0,9.0,1.0
1758076889.34766,40063.0,220.07597,34542.0,189.74777,5061.0,140.58333,538.0,14.94444,1.0
1758076889.34841,39805.0,218.65872,34577.0,189.94003,5168.0,143.55556,785.0,21.80556,1.0
1758076889.36369,39543.0,217.2195,34623.0,190.19272,5184.0,144.0,1001.0,27.80556,1.0
1758076889.36495,39282.0,215.78575,34684.0,190.5278,5093.0,141.47223,1333.0,37.02778,1.0
