timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758076822.31837,1758076822.29606,0.0,0.0,0.0,-60.33246,-18.85031,-11.86023,11.0,-0.52,0.0,2.0
1758076822.31931,1758076822.30606,0.0,0.0,0.0,-62.05133,-15.58445,-12.2613,11.0,-0.52,0.0,2.0
1758076822.33402,1758076822.31606,0.0,0.0,0.0,-63.65561,-12.49048,-12.2613,11.16,-0.62,-0.3,2.0
1758076822.35003,1758076822.32606,0.0,0.0,0.0,-65.83286,-9.11003,-11.63104,11.16,-0.62,-0.3,2.0
1758076822.35203,1758076822.33606,0.0,0.0,0.0,-65.83286,-8.65166,-11.34457,10.94,-0.84,-0.09,2.0
1758076822.36705,1758076822.34606,0.0,0.0,0.0,-64.74423,-12.14671,-11.51645,11.23,-1.08,0.69,2.0
1758076822.36851,1758076822.35606,0.0,0.0,0.0,-62.79618,-21.88699,-11.80293,11.23,-1.08,0.69,2.0
1758076822.38429,1758076822.36606,0.0,0.0,0.0,-57.81144,-48.64412,-13.69369,10.68,-1.09,2.12,2.0
1758076822.40031,1758076822.37606,0.0,0.0,0.0,-52.54023,-61.99404,-15.87093,10.68,-1.09,2.12,2.0
1758076822.40124,1758076822.38606,0.0,0.0,0.0,-45.20637,-68.06739,-18.16276,11.69,-1.09,3.35,2.0
1758076822.41803,1758076822.39606,0.0,0.0,0.0,-38.15899,-68.92683,-21.94428,11.69,-1.09,3.35,2.0
1758076822.41924,1758076822.40606,0.0,0.0,0.0,-28.30412,-78.38063,-26.35606,13.78,-1.1,5.25,2.0
1758076822.43401,1758076822.41606,0.0,0.0,0.0,-23.83505,-78.38063,-26.12688,12.45,-0.15,4.52,2.0
1758076822.45035,1758076822.42606,0.0,0.0,0.0,-22.05888,-74.14074,-24.29341,12.45,-0.15,4.52,2.0
1758076822.45233,1758076822.43606,0.0,0.0,0.0,-23.37668,-67.37984,-21.08485,10.24,1.03,3.04,2.0
1758076822.46708,1758076822.44606,0.0,0.0,0.0,-32.37212,-62.05133,-17.81899,10.24,1.03,3.04,2.0
1758076822.46823,1758076822.45606,0.0,0.0,0.0,-39.70598,-58.55629,-17.36062,7.86,1.41,3.42,2.0
1758076822.48605,1758076822.46606,0.0,0.0,0.0,-45.83662,-54.94666,-18.10547,7.86,1.41,3.42,2.0
1758076822.504,1758076822.47606,0.0,0.0,0.0,-49.96192,-49.27437,-18.50654,9.24,0.93,4.23,2.0
1758076822.50751,1758076822.48606,0.0,0.0,0.0,-52.19646,-38.90384,-18.33465,11.58,0.07,3.25,2.0
1758076822.50947,1758076822.49606,0.0,0.0,0.0,-51.45161,-29.73651,-17.81899,11.58,0.07,3.25,2.0
1758076822.52913,1758076822.50606,0.0,0.0,0.0,-49.50356,-19.19409,-16.90226,12.21,-0.55,2.1,2.0
1758076822.5305,1758076822.51606,0.0,0.0,0.0,-45.26366,-3.20856,-13.98017,12.21,-0.55,2.1,2.0
1758076822.54817,1758076822.52606,0.0,0.0,0.0,-42.57077,4.92744,-11.28727,11.29,-0.77,1.75,2.0
1758076822.55311,1758076822.53606,0.0,0.0,0.0,-40.16434,12.54778,-8.65166,11.29,-0.77,1.75,2.0
1758076822.56888,1758076822.54606,0.0,0.0,0.0,-37.81522,17.99088,-6.13065,9.78,-0.9,1.57,2.0
1758076822.57194,1758076822.55606,0.0,0.0,0.0,-34.26288,24.86637,-2.06265,9.78,-0.9,1.57,2.0
1758076822.58809,1758076822.56606,0.0,0.0,0.0,-31.91375,30.19488,-0.11459,8.87,-1.12,1.14,2.0
1758076822.59393,1758076822.57606,0.0,0.0,0.0,-29.67921,34.89313,1.03132,8.73,-1.37,0.86,2.0
1758076822.60934,1758076822.58606,0.0,0.0,0.0,-27.44468,37.58603,1.71887,8.73,-1.37,0.86,2.0
1758076822.6137,1758076822.59606,0.0,0.0,0.0,-23.89234,41.08107,2.40642,8.52,-1.18,0.87,2.0
1758076822.62939,1758076822.60606,0.0,0.0,0.0,-22.00158,43.37291,2.7502,8.52,-1.18,0.87,2.0
1758076822.63338,1758076822.61606,0.0,0.0,0.0,-20.62648,44.748,3.20856,8.57,-0.75,0.83,2.0
1758076822.64908,1758076822.62606,0.0,0.0,0.0,-19.82434,45.03448,3.66693,8.57,-0.75,0.83,2.0
1758076822.65109,1758076822.63606,0.0,0.0,0.0,-19.99623,44.28964,4.18259,8.4,-0.27,0.73,2.0
