timeStamp,motor_angle_L_uint16,motor_angle_L_float,motor_angle_R_uint16,motor_angle_R_float,motor_vel_L_int16,motor_vel_L_float,motor_vel_R_int16,motor_vel_R_float,flag_num
1758075028.77342,35022.0,192.38454,33225.0,182.51317,6608.0,183.55556,-3758.0,-104.38889,4.0
1758075028.77424,34690.0,190.56078,33043.0,181.51338,6404.0,177.88889,-3497.0,-97.13889,4.0
1758075028.78941,34382.0,188.86884,32873.0,180.57953,5754.0,159.83333,-3268.0,-90.77778,4.0
1758075028.80581,34125.0,187.45708,32714.0,179.70612,4487.0,124.63889,-2999.0,-83.30556,4.0
1758075028.80616,33941.0,186.44633,32571.0,178.92058,2862.0,79.5,-2728.0,-75.77778,4.0
1758075028.82137,33851.0,185.95193,32450.0,178.25591,998.0,27.72222,-2088.0,-58.0,4.0
1758075028.82218,33844.0,185.91348,32375.0,177.8439,-362.0,-10.05556,-896.0,-24.88889,4.0
1758075028.83741,33877.0,186.09476,32376.0,177.8494,-806.0,-22.38889,579.0,16.08333,4.0
1758075028.85342,33923.0,186.34746,32441.0,178.20645,-1014.0,-28.16667,1824.0,50.66667,4.0
1758075028.85421,33977.0,186.64409,32573.0,178.93156,-1097.0,-30.47222,3229.0,89.69444,4.0
1758075028.86943,34039.0,186.98466,32777.0,180.05219,-1316.0,-36.55556,4476.0,124.33334,4.0
1758075028.88624,34113.0,187.39116,33034.0,181.46394,-1547.0,-42.97222,5452.0,151.44444,4.0
1758075028.88702,34198.0,187.85809,33330.0,183.08995,-1760.0,-48.88889,6131.0,170.30556,4.0
1758075028.90242,34294.0,188.38544,33650.0,184.84778,-1991.0,-55.30556,6409.0,178.02777,4.0
1758075028.90377,34402.0,188.9787,33978.0,186.64958,-2263.0,-62.86111,6568.0,182.44444,4.0
1758075028.91844,34526.0,189.65988,34317.0,188.51178,-2581.0,-71.69444,6764.0,187.88889,4.0
1758075028.93693,34662.0,190.40695,34659.0,190.39047,-2721.0,-75.58334,6750.0,187.5,4.0
1758075028.93767,34801.0,191.17052,34996.0,192.24171,-2713.0,-75.36111,6637.0,184.36111,4.0
1758075028.95531,34935.0,191.9066,35334.0,194.09842,-2590.0,-71.94444,6640.0,184.44444,4.0
1758075028.95579,35061.0,192.59877,35664.0,195.91118,-2403.0,-66.75,6448.0,179.11111,4.0
1758075028.97247,35176.0,193.23048,35986.0,197.68002,-2114.0,-58.72222,6311.0,175.30556,4.0
1758075028.97393,35271.0,193.75235,36302.0,199.41589,-1617.0,-44.91667,6201.0,172.25,4.0
1758075028.99232,35333.0,194.09293,36608.0,201.09682,-937.0,-26.02778,5952.0,165.33333,4.0
1758075028.9952,35361.0,194.24673,36908.0,202.74478,-224.0,-6.22222,5893.0,163.69444,4.0
1758075029.01047,35353.0,194.20279,37205.0,204.37628,371.0,10.30556,5851.0,162.52777,4.0
1758075029.0118,35329.0,194.07095,37494.0,205.96382,571.0,15.86111,5587.0,155.19444,4.0
1758075029.02757,35293.0,193.8732,37770.0,207.47998,814.0,22.61111,5389.0,149.69444,4.0
1758075029.04353,35245.0,193.60953,38037.0,208.94669,1043.0,28.97222,5187.0,144.08333,4.0
1758075029.0462,35183.0,193.26894,38292.0,210.34746,1304.0,36.22222,4918.0,136.61111,4.0
1758075029.06144,35113.0,192.88441,38533.0,211.67133,1463.0,40.63889,4649.0,129.13889,4.0
1758075029.06214,35035.0,192.45595,38761.0,212.92377,1551.0,43.08333,4437.0,123.25,4.0
1758075029.07748,34956.0,192.02199,38978.0,214.11581,1589.0,44.13889,4187.0,116.30556,4.0
1758075029.0935,34877.0,191.588,39180.0,215.22545,1513.0,42.02778,3801.0,105.58334,4.0
1758075029.09426,34803.0,191.1815,39361.0,216.21974,1397.0,38.80556,3382.0,93.94444,4.0
1758075029.10953,34737.0,190.81895,39518.0,217.08217,1236.0,34.33333,2858.0,79.38889,4.0
1758075029.11237,34679.0,190.50034,39647.0,217.7908,1081.0,30.02778,2360.0,65.55556,4.0
1758075029.12848,34631.0,190.23666,39756.0,218.38956,848.0,23.55556,1951.0,54.19444,4.0
1758075029.14561,34591.0,190.01694,39846.0,218.88396,745.0,20.69444,1708.0,47.44444,4.0
1758075029.14606,34558.0,189.83566,39926.0,219.32341,564.0,15.66667,1502.0,41.72222,4.0
1758075029.16159,34535.0,189.70932,39996.0,219.70793,373.0,10.36111,1305.0,36.25,4.0
1758075029.16234,34522.0,189.63791,40056.0,220.03752,175.0,4.86111,1089.0,30.25,4.0
1758075029.17757,34519.0,189.62143,40105.0,220.30672,-50.0,-1.38889,914.0,25.38889,4.0
1758075029.19366,34523.0,189.6434,40147.0,220.53743,-53.0,-1.47222,732.0,20.33333,4.0
1758075029.19438,34524.0,189.6489,40177.0,220.70222,10.0,0.27778,498.0,13.83333,4.0
1758075029.2096,34523.0,189.6434,40198.0,220.81758,0.0,0.0,344.0,9.55556,4.0
1758075029.22561,34523.0,189.6434,40214.0,220.90547,0.0,0.0,256.0,7.11111,4.0
1758075029.22692,34523.0,189.6434,40220.0,220.93843,0.0,0.0,0.0,0.0,4.0
1758075029.24294,34523.0,189.6434,40217.0,220.92195,0.0,0.0,-51.0,-1.41667,4.0
1758075029.2433,34523.0,189.6434,40215.0,220.91096,0.0,0.0,-47.0,-1.30556,4.0
1758075029.25865,34523.0,189.6434,40209.0,220.87801,-5.0,-0.13889,-182.0,-5.05556,4.0
1758075029.27458,34524.0,189.6489,40189.0,220.76814,0.0,0.0,-565.0,-15.69444,4.0
1758075029.27598,34524.0,189.6489,40147.0,220.53743,-20.0,-0.55556,-1065.0,-29.58333,4.0
1758075029.2906,34525.0,189.65439,40077.0,220.15291,-1.0,-0.02778,-1614.0,-44.83333,4.0
1758075029.29266,34525.0,189.65439,39981.0,219.62553,0.0,0.0,-2167.0,-60.19444,4.0
