timeStamp,motor_angle_L_uint16,motor_angle_L_float,motor_angle_R_uint16,motor_angle_R_float,motor_vel_L_int16,motor_vel_L_float,motor_vel_R_int16,motor_vel_R_float,flag_num
1758075013.94074,32854.0,180.47516,41676.0,228.9366,2509.0,69.69444,4001.0,111.13889,2.0
1758075013.95755,32720.0,179.73907,41874.0,230.02428,2780.0,77.22222,3780.0,105.0,2.0
1758075013.95816,32574.0,178.93706,42061.0,231.0515,2934.0,81.5,3591.0,99.75,2.0
1758075013.97477,32423.0,178.10757,42232.0,231.99084,2982.0,82.83334,3179.0,88.30556,2.0
1758075013.97566,32284.0,177.34401,42367.0,232.73242,2517.0,69.91666,2283.0,63.41667,2.0
1758075013.99236,32178.0,176.76172,42447.0,233.17189,1740.0,48.33333,983.0,27.30556,2.0
1758075013.99314,32116.0,176.42114,42454.0,233.21034,825.0,22.91667,-308.0,-8.55556,2.0
1758075014.00957,32103.0,176.34973,42422.0,233.03456,-68.0,-1.88889,-962.0,-26.72222,2.0
1758075014.02536,32110.0,176.38818,42354.0,232.66101,-192.0,-5.33333,-1608.0,-44.66667,2.0
1758075014.02757,32125.0,176.47058,42248.0,232.07874,-350.0,-9.72222,-2466.0,-68.5,2.0
1758075014.04272,32152.0,176.6189,42095.0,231.23827,-618.0,-17.16667,-3420.0,-95.0,2.0
1758075014.04607,32196.0,176.86061,41893.0,230.12865,-1021.0,-28.36111,-4443.0,-123.41666,2.0
1758075014.06532,32257.0,177.19569,41638.0,228.72786,-1305.0,-36.25,-5440.0,-151.11111,2.0
1758075014.06686,32327.0,177.58023,41339.0,227.08536,-1417.0,-39.36111,-6190.0,-171.94444,2.0
1758075014.08257,32398.0,177.97025,41009.0,225.2726,-1357.0,-37.69444,-6751.0,-187.52777,2.0
1758075014.08696,32460.0,178.31084,40657.0,223.33899,-1122.0,-31.16667,-7025.0,-195.13889,2.0
1758075014.10259,32519.0,178.63493,40295.0,221.35042,-1221.0,-33.91667,-7250.0,-201.38889,2.0
1758075014.10779,32578.0,178.95903,39917.0,219.27397,-1109.0,-30.80556,-7703.0,-213.97223,2.0
1758075014.12274,32628.0,179.23369,39510.0,217.03822,-861.0,-23.91667,-8250.0,-229.16667,2.0
1758075014.12566,32658.0,179.39848,39071.0,214.62669,-349.0,-9.69444,-9018.0,-250.5,2.0
1758075014.14317,32668.0,179.45341,38584.0,211.95148,-139.0,-3.86111,-9968.0,-276.88889,2.0
1758075014.14655,32676.0,179.49736,38051.0,209.02359,-235.0,-6.52778,-11037.0,-306.58334,2.0
1758075014.16296,32702.0,179.64018,37465.0,205.80452,-740.0,-20.55556,-11829.0,-328.58334,2.0
1758075014.16334,32751.0,179.90936,36858.0,202.47012,-1078.0,-29.94444,-11904.0,-330.66666,2.0
1758075014.17886,32801.0,180.18402,36294.0,199.37195,-817.0,-22.69444,-10649.0,-295.80554,2.0
1758075014.19657,32829.0,180.33783,35783.0,196.5649,-337.0,-9.36111,-9591.0,-266.41666,2.0
1758075014.19719,32837.0,180.38177,35324.0,194.04349,-91.0,-2.52778,-8863.0,-246.19444,2.0
1758075014.21285,32845.0,180.42572,34896.0,191.69237,-245.0,-6.80556,-8118.0,-225.5,2.0
1758075014.23278,32873.0,180.57953,34500.0,189.51706,-846.0,-23.5,-7680.0,-213.33333,2.0
1758075014.23768,32940.0,180.94759,34115.0,187.40215,-1716.0,-47.66667,-7510.0,-208.61111,2.0
1758075014.23893,33059.0,181.60127,33741.0,185.34769,-2840.0,-78.88889,-7310.0,-203.05556,2.0
1758075014.2571,33239.0,182.59007,33376.0,183.34264,-4048.0,-112.44444,-7126.0,-197.94444,2.0
1758075014.25743,33481.0,183.91943,33029.0,181.43648,-5281.0,-146.69444,-6583.0,-182.86111,2.0
1758075014.27282,33786.0,185.59488,32719.0,179.73358,-6588.0,-183.0,-5721.0,-158.91667,2.0
1758075014.27524,34153.0,187.61089,32458.0,178.29985,-7632.0,-212.0,-4594.0,-127.61111,2.0
1758075014.29085,34561.0,189.85214,32265.0,177.23964,-8416.0,-233.77777,-3218.0,-89.38889,2.0
1758075014.2929,35008.0,192.30763,32143.0,176.56946,-9202.0,-255.61111,-1790.0,-49.72222,2.0
1758075014.30973,35485.0,194.9279,32092.0,176.28931,-9672.0,-268.66666,-427.0,-11.86111,2.0
1758075014.31247,35993.0,197.71848,32094.0,176.30029,-10262.0,-285.05554,147.0,4.08333,2.0
1758075014.33216,36523.0,200.6299,32100.0,176.33325,-10701.0,-297.25,98.0,2.72222,2.0
