timeStamp,timeStampAlign,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,flag_num
1758075481.27551,1758075481.24493,0.0,0.0,0.0,48.12846,19.99623,-4.46907,9.7,1.28,0.45,4.0
1758075481.2767,1758075481.25493,0.0,0.0,0.0,47.32632,26.69983,-6.41713,9.7,1.28,0.45,4.0
1758075481.2915,1758075481.26493,0.0,0.0,0.0,47.32632,34.14828,-7.39116,10.72,1.2,0.82,4.0
1758075481.29278,1758075481.27493,0.0,0.0,0.0,46.35228,34.95043,-8.136,10.72,1.2,0.82,4.0
1758075481.30756,1758075481.28493,0.0,0.0,0.0,45.55015,30.25217,-7.73493,9.73,1.03,1.07,4.0
1758075481.32383,1758075481.29493,0.0,0.0,0.0,44.8053,25.09555,-6.8182,8.99,0.89,0.87,4.0
1758075481.32504,1758075481.30493,0.0,0.0,0.0,43.88857,21.37133,-5.21392,8.99,0.89,0.87,4.0
1758075481.33977,1758075481.31493,0.0,0.0,0.0,42.39888,16.61578,-2.6929,9.42,0.91,0.92,4.0
1758075481.35585,1758075481.32493,0.0,0.0,0.0,41.31026,13.80828,-1.03132,9.42,0.91,0.92,4.0
1758075481.3568,1758075481.33493,0.0,0.0,0.0,40.16434,11.80293,0.34377,9.6,1.04,0.92,4.0
1758075481.37187,1758075481.34493,0.0,0.0,0.0,39.13302,10.37054,1.14592,9.6,1.04,0.92,4.0
1758075481.37363,1758075481.35493,0.0,0.0,0.0,37.35685,9.4538,1.71887,9.62,1.19,0.85,4.0
1758075481.38851,1758075481.36493,0.0,0.0,0.0,35.86716,10.02676,1.48969,9.63,1.34,0.8,4.0
1758075481.40456,1758075481.37493,0.0,0.0,0.0,34.32018,10.25595,1.20321,9.63,1.34,0.8,4.0
1758075481.40573,1758075481.38493,0.0,0.0,0.0,32.6013,9.91217,0.51566,9.46,1.46,0.72,4.0
1758075481.4208,1758075481.39493,0.0,0.0,0.0,30.02299,9.96947,-0.0573,9.46,1.46,0.72,4.0
1758075481.42178,1758075481.40493,0.0,0.0,0.0,28.07493,9.91217,-0.40107,9.5,1.54,0.66,4.0
1758075481.43783,1758075481.41493,0.0,0.0,0.0,26.12688,9.85487,-0.45837,9.5,1.54,0.66,4.0
1758075481.45389,1758075481.42493,0.0,0.0,0.0,23.94964,9.62569,-0.11459,9.56,1.58,0.6,4.0
1758075481.45508,1758075481.43493,0.0,0.0,0.0,21.02755,9.4538,0.45837,9.59,1.53,0.52,4.0
1758075481.46961,1758075481.44493,0.0,0.0,0.0,19.13679,9.4538,1.48969,9.59,1.53,0.52,4.0
1758075481.48587,1758075481.45493,0.0,0.0,0.0,17.47521,9.74028,2.86479,9.56,1.45,0.54,4.0
1758075481.48627,1758075481.46493,0.0,0.0,0.0,15.35527,9.28192,4.87014,9.56,1.45,0.54,4.0
1758075481.50194,1758075481.47493,0.0,0.0,0.0,14.09476,8.65166,6.07335,9.42,1.34,0.55,4.0
1758075481.50311,1758075481.48493,0.0,0.0,0.0,13.34992,8.36518,7.33386,9.42,1.34,0.55,4.0
1758075481.51773,1758075481.49493,0.0,0.0,0.0,12.71966,8.65166,8.59437,9.46,1.24,0.56,4.0
1758075481.53398,1758075481.50493,0.0,0.0,0.0,11.45916,10.19865,9.85487,9.46,1.24,0.54,4.0
1758075481.53488,1758075481.51493,0.0,0.0,0.0,10.54242,11.11538,10.25595,9.69,1.18,0.54,4.0
1758075481.54996,1758075481.52493,0.0,0.0,0.0,9.62569,11.57375,10.37054,9.67,1.17,0.63,4.0
1758075481.56592,1758075481.53493,0.0,0.0,0.0,8.99544,11.86023,10.54242,9.67,1.17,0.63,4.0
1758075481.56635,1758075481.54493,0.0,0.0,0.0,7.21927,13.00614,10.25595,9.63,1.18,0.57,4.0
1758075481.58194,1758075481.55493,0.0,0.0,0.0,6.35983,11.45916,10.65701,9.63,1.18,0.57,4.0
1758075481.58318,1758075481.56493,0.0,0.0,0.0,5.32851,11.11538,10.8289,9.47,1.19,0.49,4.0
1758075481.5977,1758075481.57493,0.0,0.0,0.0,4.18259,9.74028,11.11538,9.47,1.19,0.49,4.0
1758075481.61371,1758075481.58493,0.0,0.0,0.0,2.23454,7.62034,11.86023,9.45,1.3,0.37,4.0
1758075481.61528,1758075481.59493,0.0,0.0,0.0,0.85944,5.95876,12.60507,9.44,1.34,0.38,4.0
1758075481.62991,1758075481.60493,0.0,0.0,0.0,-0.22918,3.89611,13.17803,9.44,1.34,0.38,4.0
